Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,48.271277,[13 34] ; [81 13],[31.33333333 15.66666667] ; [62.66666667 31.33333333],1
r2,1,0.0,25.677835,[27 19] ; [88  6],[37.78571429  8.21428571] ; [77.21428571 16.78571429],1
r3,1,5e-06,20.846893,[26 21] ; [83 10],[36.59285714 10.40714286] ; [72.40714286 20.59285714],1
v4,1,0.000433,12.384805,[28 19] ; [80 13],[36.25714286 10.74285714] ; [71.74285714 21.25714286],1
u3,1,0.002503,9.138462,[ 7 19] ; [26 14],[13. 13.] ; [20. 20.],0
a7,1,0.024799,5.037887,[21 26] ; [60 33],[27.19285714 19.80714286] ; [53.80714286 39.19285714],0
b4,1,0.028948,4.770677,[22 25] ; [62 32],[28. 19.] ; [56. 38.],0
a5,1,0.031083,4.648352,[20 27] ; [58 36],[26. 21.] ; [52. 42.],0
p2,1,0.032013,4.597826,[18 29] ; [54 40],[24. 23.] ; [48. 46.],0
u1,1,0.032246,4.585366,[ 2 45] ; [16 78],[ 6. 41.] ; [12. 82.],0
v1,1,0.034336,4.477912,[11 36] ; [39 55],[16.66666667 30.33333333] ; [33.33333333 60.66666667],0
a2,1,0.057247,3.615385,[ 4 43] ; [20 74],[ 8. 39.] ; [16. 78.],0
d4,1,0.083602,2.993455,[28 19] ; [68 24],[32.46043165 14.53956835] ; [63.53956835 28.46043165],0
s8,1,0.091176,2.85349,[ 4 43] ; [18 74],[ 7.43884892 39.56115108] ; [14.56115108 77.43884892],0
s3,1,0.092041,2.838301,[13 33] ; [40 53],[17.53956835 28.46043165] ; [35.46043165 57.53956835],0
d5,1,0.100549,2.696809,[27 20] ; [67 27],[31.33333333 15.66666667] ; [62.66666667 31.33333333],0
v3,1,0.104679,2.632762,[ 9 38] ; [29 61],[13.03649635 33.96350365] ; [24.96350365 65.03649635],0
s2,1,0.119223,2.427498,[10 37] ; [31 60],[13.96376812 33.03623188] ; [27.03623188 63.96376812],0
s4,1,0.11993,2.41824,[11 36] ; [12 80],[ 7.77697842 39.22302158] ; [15.22302158 76.77697842],0
a3,1,0.133748,2.248456,[21 26] ; [54 39],[25.17857143 21.82142857] ; [49.82142857 43.17857143],0
n4,1,0.14156,2.16092,[25 22] ; [62 32],[29. 18.] ; [58. 36.],0
a1,1,0.143842,2.136364,[ 5 42] ; [ 4 90],[ 3. 44.] ; [ 6. 88.],0
d1,1,0.148374,2.088889,[16 31] ; [44 50],[20. 27.] ; [40. 54.],0
u2,1,0.162762,1.94838,[ 9 16] ; [21 18],[11.71875 13.28125] ; [18.28125 20.71875],0
p11,1,0.184222,1.763229,[16 31] ; [43 51],[19.66666667 27.33333333] ; [39.33333333 54.66666667],0
s6,1,0.189135,1.724343,[16 31] ; [42 50],[19.61151079 27.38848921] ; [38.38848921 53.61151079],0
a4,1,0.205286,1.604364,[14 32] ; [39 55],[17.41428571 28.58571429] ; [35.58571429 58.41428571],0
d3,1,0.232234,1.427126,[22 25] ; [54 40],[25.33333333 21.66666667] ; [50.66666667 43.33333333],0
s7,1,0.264083,1.247228,[ 7 37] ; [21 65],[ 9.47692308 34.52307692] ; [18.52307692 67.47692308],0
b5,1,0.278376,1.175,[24 23] ; [57 37],[27. 20.] ; [54. 40.],0
n2,1,0.407048,0.687407,[11 11] ; [22 14],[12.51724138  9.48275862] ; [20.48275862 15.51724138],0
v2,1,0.448827,0.573612,[16 31] ; [37 54],[18.05072464 28.94927536] ; [34.94927536 56.05072464],0
n1,1,0.475501,0.509165,[ 6 15] ; [14 23],[ 7.24137931 13.75862069] ; [12.75862069 24.24137931],0
p5,1,0.533074,0.388529,[ 1 45] ; [ 4 90],[ 1.64285714 44.35714286] ; [ 3.35714286 90.64285714],0
p4,1,0.538732,0.377895,[16 31] ; [37 57],[17.66666667 29.33333333] ; [35.33333333 58.66666667],0
