Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.054514,3.696875,[4 1] ; [ 5 11],[2.14285714 2.85714286] ; [6.85714286 9.14285714],0
a5,1,0.054514,3.696875,[1 4] ; [11  5],[2.85714286 2.14285714] ; [9.14285714 6.85714286],0
n6,1,0.070645,3.267974,[3 2] ; [14  1],[4.25 0.75] ; [12.75  2.25],0
d1,1,0.096731,2.758636,[4 1] ; [ 6 10],[2.38095238 2.61904762] ; [7.61904762 8.38095238],0
a6,1,0.236724,1.4,[4 1] ; [8 8],[2.85714286 2.14285714] ; [9.14285714 6.85714286],0
a7,1,0.247879,1.335216,[2 3] ; [11  5],[3.0952381 1.9047619] ; [9.9047619 6.0952381],0
s7,1,0.313267,1.016852,[1 3] ; [8 7],[1.89473684 2.10526316] ; [7.10526316 7.89473684],0
d2,1,0.330157,0.948281,[2 3] ; [ 3 13],[1.19047619 3.80952381] ; [ 3.80952381 12.19047619],0
v4,1,0.360585,0.835855,[4 1] ; [15  1],[4.52380952 0.47619048] ; [14.47619048  1.52380952],0
r2,1,0.371093,0.8,[3 2] ; [12  3],[3.75 1.25] ; [11.25  3.75],0
s2,1,0.374857,0.7875,[3 2] ; [ 6 10],[2.14285714 2.85714286] ; [6.85714286 9.14285714],0
p10,1,0.389424,0.740741,[4 1] ; [14  1],[4.5 0.5] ; [13.5  1.5],0
v1,1,0.416793,0.659341,[4 1] ; [9 6],[3.25 1.75] ; [9.75 5.25],0
v3,1,0.468717,0.525,[1 4] ; [ 6 10],[1.66666667 3.33333333] ; [ 5.33333333 10.66666667],0
p7,1,0.516937,0.42,[3 2] ; [12  4],[3.57142857 1.42857143] ; [11.42857143  4.57142857],0
r4,1,0.516937,0.42,[3 2] ; [12  4],[3.57142857 1.42857143] ; [11.42857143  4.57142857],0
s6,1,0.516937,0.42,[3 2] ; [12  4],[3.57142857 1.42857143] ; [11.42857143  4.57142857],0
a3,1,0.525392,0.403295,[3 2] ; [7 9],[2.38095238 2.61904762] ; [7.61904762 8.38095238],0
p11,1,0.675706,0.175,[4 1] ; [14  2],[4.28571429 0.71428571] ; [13.71428571  2.28571429],0
b5,1,0.695943,0.152727,[3 2] ; [8 8],[2.61904762 2.38095238] ; [8.38095238 7.61904762],0
v2,1,0.695943,0.152727,[2 3] ; [8 8],[2.38095238 2.61904762] ; [7.61904762 8.38095238],0
s5,1,0.700668,0.147778,[3 2] ; [7 7],[2.63157895 2.36842105] ; [7.36842105 6.63157895],0
d5,1,0.71714,0.13125,[3 2] ; [11  5],[3.33333333 1.66666667] ; [10.66666667  5.33333333],0
p3,1,0.71714,0.13125,[3 2] ; [11  5],[3.33333333 1.66666667] ; [10.66666667  5.33333333],0
a4,1,0.818769,0.0525,[1 4] ; [ 4 12],[1.19047619 3.80952381] ; [ 3.80952381 12.19047619],0
s3,1,0.919964,0.010096,[2 3] ; [ 6 10],[1.9047619 3.0952381] ; [6.0952381 9.9047619],0
b4,1,0.919964,0.010096,[3 2] ; [10  6],[3.0952381 1.9047619] ; [9.9047619 6.0952381],0
n5,1,0.950458,0.00386,[4 1] ; [13  3],[4.04761905 0.95238095] ; [12.95238095  3.04761905],0
n4,1,0.950458,0.00386,[4 1] ; [13  3],[4.04761905 0.95238095] ; [12.95238095  3.04761905],0
