Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.000683,11.534812,[11 31] ; [12  4],[16.65517241 25.34482759] ; [6.34482759 9.65517241],1
b4,1,0.001758,9.786088,[18 25] ; [14  2],[23.3220339 19.6779661] ; [8.6779661 7.3220339],0
p9,1,0.004251,8.173375,[ 8 32] ; [9 6],[12.36363636 27.63636364] ; [ 4.63636364 10.36363636],0
n6,1,0.004321,8.143885,[13 29] ; [11  4],[17.68421053 24.31578947] ; [6.31578947 8.68421053],0
s8,1,0.005433,7.729457,[ 1 42] ; [ 4 12],[ 3.6440678 39.3559322] ; [ 1.3559322 14.6440678],0
s7,1,0.010034,6.628788,[ 5 35] ; [7 9],[ 8.57142857 31.42857143] ; [ 3.42857143 12.57142857],0
v2,1,0.012687,6.212206,[10 31] ; [9 6],[13.91071429 27.08928571] ; [5.08928571 9.91071429],0
p10,1,0.018635,5.535457,[10 32] ; [9 7],[13.75862069 28.24137931] ; [ 5.24137931 10.75862069],0
n3,1,0.043871,4.061538,[ 6 16] ; [7 4],[ 8.66666667 13.33333333] ; [4.33333333 6.66666667],0
n2,1,0.057015,3.622159,[ 9 13] ; [9 3],[11.64705882 10.35294118] ; [6.35294118 5.64705882],0
b3,1,0.081062,3.043481,[15 14] ; [2 8],[12.64102564 16.35897436] ; [4.35897436 5.64102564],0
b2,1,0.081062,3.043481,[15 14] ; [2 8],[12.64102564 16.35897436] ; [4.35897436 5.64102564],0
d2,1,0.085733,2.952727,[21 21] ; [12  4],[23.89655172 18.10344828] ; [9.10344828 6.89655172],0
s5,1,0.089806,2.877853,[ 2 40] ; [ 3 13],[ 3.62068966 38.37931034] ; [ 1.37931034 14.62068966],0
d1,1,0.115465,2.477787,[17 26] ; [10  6],[19.6779661 23.3220339] ; [7.3220339 8.6779661],0
n5,1,0.119737,2.420755,[25 17] ; [13  3],[27.51724138 14.48275862] ; [10.48275862  5.51724138],0
p5,1,0.11989,2.418759,[ 1 41] ; [ 2 14],[ 2.17241379 39.82758621] ; [ 0.82758621 15.17241379],0
s6,1,0.129376,2.299977,[ 6 37] ; [ 5 11],[ 8.01694915 34.98305085] ; [ 2.98305085 13.01694915],0
p8,1,0.140764,2.169591,[ 6 36] ; [ 5 11],[ 7.96551724 34.03448276] ; [ 3.03448276 12.96551724],0
v1,1,0.146415,2.109205,[ 9 34] ; [6 9],[11.12068966 31.87931034] ; [ 3.87931034 11.12068966],0
b1,1,0.158117,1.992143,[25 18] ; [ 6 10],[22.59322034 20.40677966] ; [8.40677966 7.59322034],0
d4,1,0.17732,1.819941,[27 16] ; [13  3],[29.15254237 13.84745763] ; [10.84745763  5.15254237],0
a1,1,0.1815,1.785296,[ 9 34] ; [ 1 15],[ 7.28813559 35.71186441] ; [ 2.71186441 13.28813559],0
p3,1,0.218286,1.515603,[ 5 37] ; [ 4 12],[ 6.51724138 35.48275862] ; [ 2.48275862 13.51724138],0
u3,1,0.291699,1.111765,[ 4 13] ; [2 2],[ 4.85714286 12.14285714] ; [1.14285714 2.85714286],0
p6,1,0.311419,1.024649,[ 2 39] ; [ 2 14],[ 2.87719298 38.12280702] ; [ 1.12280702 14.87719298],0
a8,1,0.324872,0.969231,[ 2 38] ; [ 2 14],[ 2.85714286 37.14285714] ; [ 1.14285714 14.85714286],0
p4,1,0.334307,0.932143,[ 6 36] ; [ 4 12],[ 7.24137931 34.75862069] ; [ 2.75862069 13.24137931],0
a3,1,0.348353,0.879449,[26 16] ; [12  4],[27.51724138 14.48275862] ; [10.48275862  5.51724138],0
r1,1,0.352731,0.863609,[13 29] ; [ 3 13],[11.5862069 30.4137931] ; [ 4.4137931 11.5862069],0
p7,1,0.423587,0.640342,[ 7 34] ; [ 4 11],[ 8.05357143 32.94642857] ; [ 2.94642857 12.05357143],0
v3,1,0.434663,0.610332,[ 9 33] ; [ 5 11],[10.13793103 31.86206897] ; [ 3.86206897 12.13793103],0
s2,1,0.444476,0.584699,[ 7 36] ; [ 4 12],[ 8.01694915 34.98305085] ; [ 2.98305085 13.01694915],0
u1,1,0.498263,0.458635,[ 3 40] ; [ 2 14],[ 3.6440678 39.3559322] ; [ 1.3559322 14.6440678],0
d3,1,0.505928,0.44248,[20 23] ; [9 7],[21.13559322 21.86440678] ; [7.86440678 8.13559322],0
d5,1,0.558513,0.342286,[26 17] ; [11  5],[26.96610169 16.03389831] ; [10.03389831  5.96610169],0
a2,1,0.648711,0.207529,[ 6 37] ; [ 3 13],[ 6.55932203 36.44067797] ; [ 2.44067797 13.55932203],0
p1,1,0.648711,0.207529,[ 6 37] ; [ 3 13],[ 6.55932203 36.44067797] ; [ 2.44067797 13.55932203],0
r2,1,0.655306,0.199275,[24 16] ; [8 7],[23.27272727 16.72727273] ; [8.72727273 6.27272727],0
s3,1,0.656236,0.198128,[13 29] ; [ 4 12],[12.31034483 29.68965517] ; [ 4.68965517 11.31034483],0
b5,1,0.690257,0.158807,[19 24] ; [8 8],[19.6779661 23.3220339] ; [7.3220339 8.6779661],0
s1,1,0.69527,0.153439,[ 7 35] ; [ 2 14],[ 6.51724138 35.48275862] ; [ 2.48275862 13.51724138],0
a5,1,0.761799,0.091881,[25 18] ; [10  6],[25.50847458 17.49152542] ; [9.49152542 6.50847458],0
v4,1,0.835939,0.042887,[17 25] ; [ 6 10],[16.65517241 25.34482759] ; [6.34482759 9.65517241],0
a4,1,0.835939,0.042887,[17 25] ; [ 6 10],[16.65517241 25.34482759] ; [6.34482759 9.65517241],0
a6,1,0.849865,0.035831,[23 20] ; [9 7],[23.3220339 19.6779661] ; [8.6779661 7.3220339],0
