Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,72.731129,[ 1 75] ; [108  76],[31.86153846 44.13846154] ; [ 77.13846154 106.86153846],1
d5,1,0.0,65.826689,[24 52] ; [153  31],[51.73846154 24.26153846] ; [125.26153846  58.73846154],1
a5,1,0.0,36.14203,[27 49] ; [138  46],[48.23076923 27.76923077] ; [116.76923077  67.23076923],1
a3,1,0.0,29.443639,[31 45] ; [139  44],[49.88416988 26.11583012] ; [120.11583012  62.88416988],1
d3,1,9e-06,19.672811,[15 61] ; [91 93],[30.98461538 45.01538462] ; [ 75.01538462 108.98461538],1
a4,1,2.6e-05,17.668816,[16 59] ; [91 92],[31.10465116 43.89534884] ; [ 75.89534884 107.10465116],1
d2,1,0.0001,15.135639,[20 56] ; [96 86],[34.17054264 41.82945736] ; [ 81.82945736 100.17054264],1
s5,1,0.000244,13.459114,[11 63] ; [ 67 107],[23.27419355 50.72580645] ; [ 54.72580645 119.27419355],1
r3,1,0.000246,13.439225,[55 21] ; [166  18],[64.6 11.4] ; [156.4  27.6],1
r1,1,0.000275,13.233612,[37 39] ; [133  51],[49.69230769 26.30769231] ; [120.30769231  63.69230769],1
v2,1,0.000367,12.69242,[20 51] ; [95 84],[32.66 38.34] ; [82.34 96.66],1
r4,1,0.001166,10.544042,[46 30] ; [147  37],[56.41538462 19.58461538] ; [136.58461538  47.41538462],0
p3,1,0.002057,9.497637,[20 56] ; [86 97],[31.1042471 44.8957529] ; [ 74.8957529 108.1042471],0
p10,1,0.002575,9.086247,[40 34] ; [133  48],[50.20392157 23.79607843] ; [122.79607843  58.20392157],0
p9,1,0.002746,8.969207,[44 30] ; [141  40],[53.68627451 20.31372549] ; [131.31372549  49.68627451],0
v1,1,0.003168,8.708215,[24 51] ; [94 86],[34.70588235 40.29411765] ; [83.29411765 96.70588235],0
s7,1,0.00598,7.556336,[23 50] ; [88 86],[32.80566802 40.19433198] ; [78.19433198 95.80566802],0
s8,1,0.014328,5.997308,[22 54] ; [ 83 100],[30.81081081 45.18918919] ; [ 74.18918919 108.81081081],0
s2,1,0.014472,5.979608,[24 51] ; [89 94],[32.84883721 42.15116279] ; [ 80.15116279 102.84883721],0
v3,1,0.020027,5.40957,[16 57] ; [ 66 112],[23.84860558 49.15139442] ; [ 58.15139442 119.84860558],0
s6,1,0.022566,5.201604,[34 41] ; [109  70],[42.22440945 32.77559055] ; [100.77559055  78.22440945],0
n6,1,0.023812,5.108282,[50 26] ; [144  38],[57.14728682 18.85271318] ; [136.85271318  45.14728682],0
p7,1,0.043603,4.071884,[35 41] ; [107  72],[42.32156863 33.67843137] ; [99.67843137 79.32156863],0
b2,1,0.072855,3.217497,[14 34] ; [53 67],[19.14285714 28.85714286] ; [47.85714286 72.14285714],0
b3,1,0.072855,3.217497,[14 34] ; [53 67],[19.14285714 28.85714286] ; [47.85714286 72.14285714],0
p4,1,0.076885,3.129553,[28 48] ; [88 92],[34.4375 41.5625] ; [81.5625 98.4375],0
r2,1,0.078703,3.091489,[61 14] ; [161  19],[65.29411765  9.70588235] ; [156.70588235  23.29411765],0
p8,1,0.079956,3.065795,[25 51] ; [80 99],[31.29411765 44.70588235] ; [ 73.70588235 105.29411765],0
s3,1,0.089442,2.884388,[32 42] ; [100  82],[38.15625 35.84375] ; [93.84375 88.15625],0
a6,1,0.105885,2.614595,[35 41] ; [ 65 119],[29.23076923 46.76923077] ; [ 70.76923077 113.23076923],0
p6,1,0.108803,2.571515,[17 58] ; [ 58 119],[22.32142857 52.67857143] ; [ 52.67857143 124.32142857],0
p2,1,0.112463,2.519264,[48 28] ; [133  49],[53.31782946 22.68217054] ; [127.68217054  54.31782946],0
u2,1,0.169349,1.888699,[18 27] ; [24 20],[21.23595506 23.76404494] ; [20.76404494 23.23595506],0
u3,1,0.279642,1.168831,[15 30] ; [20 25],[17.5 27.5] ; [17.5 27.5],0
s1,1,0.313141,1.017382,[ 5 69] ; [  7 176],[ 3.45525292 70.54474708] ; [  8.54474708 174.45525292],0
a8,1,0.343142,0.898656,[ 9 60] ; [ 16 162],[ 6.98380567 62.01619433] ; [ 18.01619433 159.98380567],0
a2,1,0.344815,0.892449,[ 4 72] ; [ 16 168],[ 5.84615385 70.15384615] ; [ 14.15384615 169.84615385],0
p12,1,0.357394,0.847031,[ 5 71] ; [  7 172],[ 3.57647059 72.42352941] ; [  8.42352941 170.57647059],0
v4,1,0.43046,0.621582,[62 12] ; [161  23],[63.96124031 10.03875969] ; [159.03875969  24.96124031],0
p11,1,0.474026,0.512577,[52 24] ; [134  50],[54.36923077 21.63076923] ; [131.63076923  52.36923077],0
a1,1,0.509338,0.435427,[ 3 73] ; [ 11 173],[ 4.09230769 71.90769231] ; [  9.90769231 174.09230769],0
n4,1,0.568413,0.325345,[53 23] ; [134  49],[54.87258687 21.12741313] ; [132.12741313  50.87258687],0
u1,1,0.616715,0.250512,[ 3 73] ; [ 10 174],[ 3.8 72.2] ; [  9.2 174.8],0
n2,1,0.669705,0.181947,[25 11] ; [39 14],[25.88764045 10.11235955] ; [38.11235955 14.88764045],0
n3,1,0.690494,0.158551,[23 11] ; [33 19],[22.13953488 11.86046512] ; [33.86046512 18.13953488],0
p1,1,0.699958,0.148515,[ 6 70] ; [ 12 171],[ 5.28185328 70.71814672] ; [ 12.71814672 170.28185328],0
b5,1,0.775099,0.081631,[37 39] ; [86 98],[35.95384615 40.04615385] ; [87.04615385 96.95384615],0
n5,1,0.809472,0.058133,[55 21] ; [129  53],[54.20155039 21.79844961] ; [129.79844961  52.20155039],0
b1,1,0.836947,0.042354,[37 39] ; [87 97],[36.24615385 39.75384615] ; [87.75384615 96.24615385],0
b4,1,0.919602,0.010188,[41 35] ; [98 86],[40.63076923 35.36923077] ; [98.36923077 85.63076923],0
n1,1,0.971761,0.001253,[14 21] ; [21 32],[13.92045455 21.07954545] ; [21.07954545 31.92045455],0
s4,1,0.990486,0.000142,[15 61] ; [ 36 147],[14.96525097 61.03474903] ; [ 36.03474903 146.96525097],0
