Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,48.029304,[43 56] ; [210  50],[69.76880223 29.23119777] ; [183.23119777  76.76880223],1
d3,1,0.0,39.122418,[43 56] ; [203  58],[67.65 31.35] ; [178.35  82.65],1
a2,1,0.0,26.992533,[ 8 91] ; [ 93 168],[27.775 71.225] ; [ 73.225 187.775],1
u1,1,5e-06,20.847556,[ 8 91] ; [ 82 179],[24.75 74.25] ; [ 65.25 195.75],1
b5,1,9.5e-05,15.237329,[40 59] ; [165  96],[56.375 42.625] ; [148.625 112.375],1
v4,1,0.004218,8.187708,[90  9] ; [253   6],[94.85195531  4.14804469] ; [248.14804469  10.85195531],0
s8,1,0.00588,7.586775,[65 34] ; [127 130],[53.39325843 45.60674157] ; [138.60674157 118.39325843],0
d1,1,0.007742,7.092206,[53 46] ; [179  82],[63.8 35.2] ; [168.2  92.8],0
r2,1,0.008041,7.024389,[89  9] ; [253   7],[93.62011173  4.37988827] ; [248.37988827  11.62011173],0
b1,1,0.01339,6.116774,[53 46] ; [102 159],[42.625 56.375] ; [112.375 148.625],0
r4,1,0.017328,5.662846,[87 12] ; [248  13],[92.125  6.875] ; [242.875  18.125],0
p4,1,0.030749,4.666937,[76 23] ; [225  36],[82.775 16.225] ; [218.225  42.775],0
v2,1,0.05498,3.682695,[52 43] ; [168  87],[59.71428571 35.28571429] ; [160.28571429  94.71428571],0
b4,1,0.083768,2.99023,[48 51] ; [153 108],[55.275 43.725] ; [145.725 115.275],0
u3,1,0.110164,2.551865,[ 9 13] ; [37 24],[12.19277108  9.80722892] ; [33.80722892 27.19277108],0
n2,1,0.11731,2.452873,[11  6] ; [31  6],[13.22222222  3.77777778] ; [28.77777778  8.22222222],0
v1,1,0.121751,2.394644,[55 40] ; [171  85],[61.16809117 33.83190883] ; [164.83190883  91.16809117],0
s5,1,0.127748,2.319665,[45 49] ; [ 97 153],[38.80232558 55.19767442] ; [103.19767442 146.80232558],0
r1,1,0.129534,2.298075,[77 22] ; [219  40],[81.8547486 17.1452514] ; [214.1452514  44.8547486],0
s1,1,0.180019,1.797471,[ 5 94] ; [  6 253],[ 3.04189944 95.95810056] ; [  7.95810056 251.04189944],0
s7,1,0.19354,1.690461,[64 33] ; [140 100],[58.71810089 38.28189911] ; [145.28189911  94.71810089],0
d5,1,0.200251,1.640543,[80 18] ; [227  34],[83.80501393 14.19498607] ; [223.19498607  37.80501393],0
