Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,126.514101,[ 61 163] ; [320 119],[128.7239819  95.2760181] ; [252.2760181 186.7239819],1
s2,1,0.0,119.530902,[ 48 176] ; [294 150],[114.68263473 109.31736527] ; [227.31736527 216.68263473],1
s7,1,0.0,80.583729,[ 53 162] ; [270 165],[106.83846154 108.16153846] ; [216.16153846 218.83846154],1
s8,1,0.0,75.733173,[ 50 176] ; [256 189],[103.06408346 122.93591654] ; [202.93591654 242.06408346],1
s5,1,0.0,56.451501,[ 31 189] ; [189 246],[ 73.89312977 146.10687023] ; [146.10687023 288.89312977],1
s4,1,0.0,27.572684,[ 12 214] ; [ 92 348],[ 35.29129129 190.70870871] ; [ 68.70870871 371.29129129],1
p9,1,3e-06,21.809474,[180  46] ; [408  35],[198.6367713  27.3632287] ; [389.3632287  53.6367713],1
n5,1,7e-06,20.145529,[150  74] ; [369  79],[173.  51.] ; [346. 102.],1
p4,1,5.7e-05,16.195421,[113 111] ; [296 149],[136.94469357  87.05530643] ; [272.05530643 172.94469357],1
p6,1,5.8e-05,16.15251,[ 59 162] ; [188 252],[ 82.58245083 138.41754917] ; [164.41754917 275.58245083],1
p10,1,6.5e-05,15.941561,[176  48] ; [400  45],[192.86098655  31.13901345] ; [383.13901345  61.86098655],1
p12,1,0.000185,13.979593,[  7 216] ; [ 53 392],[ 20.02994012 202.97005988] ; [ 39.97005988 405.02994012],1
r4,1,0.000525,12.02341,[203  23] ; [432  16],[212.92284866  13.07715134] ; [422.07715134  25.92284866],1
u1,1,0.000832,11.169487,[ 24 202] ; [ 94 354],[ 39.56676558 186.43323442] ; [ 78.43323442 369.56676558],1
a2,1,0.002087,9.471049,[ 37 189] ; [121 327],[ 52.97922849 173.02077151] ; [105.02077151 342.97922849],0
n6,1,0.002478,9.156916,[183  42] ; [400  46],[195.49180328  29.50819672] ; [387.50819672  58.49180328],0
p3,1,0.005302,7.773511,[ 99 125] ; [248 198],[116.0119403 107.9880597] ; [230.9880597 215.0119403],0
p5,1,0.00717,7.229883,[ 15 208] ; [ 61 383],[ 25.40929535 197.59070465] ; [ 50.59070465 393.40929535],0
v1,1,0.008199,6.989562,[108 114] ; [257 175],[123.89908257  98.10091743] ; [241.10091743 190.89908257],0
p8,1,0.008848,6.853162,[108 115] ; [259 179],[123.81391831  99.18608169] ; [243.18608169 194.81391831],0
a5,1,0.013803,6.063133,[154  72] ; [344 103],[167.2332838  58.7667162] ; [330.7667162 116.2332838],0
p7,1,0.018322,5.565051,[133  89] ; [298 133],[146.52679939  75.47320061] ; [284.47320061 146.52679939],0
v4,1,0.023931,5.099596,[214  10] ; [441   7],[218.33333333   5.66666667] ; [436.66666667  11.33333333],0
r1,1,0.025201,5.010044,[177  49] ; [380  66],[187.32440476  38.67559524] ; [369.67559524  76.32440476],0
d5,1,0.031888,4.604521,[173  53] ; [372  74],[183.28869048  42.71130952] ; [361.71130952  84.28869048],0
n4,1,0.036122,4.391341,[169  57] ; [366  82],[179.39169139  46.60830861] ; [355.60830861  92.39169139],0
d1,1,0.04928,3.865782,[124 102] ; [281 167],[135.80118694  90.19881306] ; [269.19881306 178.80118694],0
a3,1,0.065471,3.393077,[153  73] ; [332 114],[163.11011905  62.88988095] ; [321.88988095 124.11011905],0
u4,1,0.071316,3.252473,[  2 224] ; [ 14 434],[  5.36498516 220.63501484] ; [ 10.63501484 437.36498516],0
d4,1,0.096705,2.759065,[178  47] ; [375  70],[185.70895522  39.29104478] ; [367.29104478  77.70895522],0
d3,1,0.138141,2.19855,[148  78] ; [317 129],[156.38392857  69.61607143] ; [308.61607143 137.38392857],0
d2,1,0.140679,2.170513,[ 97 127] ; [220 226],[105.98208955 118.01791045] ; [211.01791045 234.98208955],0
v3,1,0.14136,2.163093,[ 79 137] ; [184 248],[ 87.66666667 128.33333333] ; [175.33333333 256.66666667],0
b5,1,0.144525,2.129109,[125 101] ; [274 174],[133.78931751  92.21068249] ; [265.21068249 182.78931751],0
a1,1,0.152411,2.047948,[  7 219] ; [ 25 423],[ 10.72997033 215.27002967] ; [ 21.27002967 426.72997033],0
u2,1,0.168768,1.893849,[38 34] ; [73 43],[42.5106383 29.4893617] ; [68.4893617 47.5106383],0
a4,1,0.168848,1.893142,[ 92 134] ; [206 239],[100.36959762 125.63040238] ; [197.63040238 247.36959762],0
n2,1,0.170499,1.878552,[36 16] ; [63 16],[39.29770992 12.70229008] ; [59.70229008 19.29770992],0
u3,1,0.243093,1.362567,[41 32] ; [75 41],[44.8042328 28.1957672] ; [71.1957672 44.8042328],0
r3,1,0.265599,1.239335,[216   9] ; [437  11],[218.31352155   6.68647845] ; [434.68647845  13.31352155],0
p2,1,0.282155,1.156682,[186  37] ; [385  60],[190.61826347  32.38173653] ; [380.38173653  64.61826347],0
b1,1,0.28444,1.145754,[ 83 143] ; [146 302],[ 76.78635015 149.21364985] ; [152.21364985 295.78635015],0
s1,1,0.300759,1.070827,[  4 219] ; [ 14 427],[  6.04518072 216.95481928] ; [ 11.95481928 429.04518072],0
a8,1,0.320103,0.988527,[ 24 183] ; [ 59 348],[ 27.98208469 179.01791531] ; [ 55.01791531 351.98208469],0
n1,1,0.409936,0.678986,[17 34] ; [32 47],[19.22307692 31.77692308] ; [29.77692308 49.22307692],0
