Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,4.1e-05,16.824724,[ 4 72] ; [15 30],[11.9338843 64.0661157] ; [ 7.0661157 37.9338843],1
s2,1,0.000471,12.225429,[12 65] ; [20 25],[20.19672131 56.80327869] ; [11.80327869 33.19672131],1
s3,1,0.003703,8.423886,[22 54] ; [25 20],[29.52066116 46.47933884] ; [17.47933884 27.52066116],0
p10,1,0.005296,7.775579,[36 40] ; [33 12],[43.33884298 32.66115702] ; [25.66115702 19.33884298],0
a6,1,0.014161,6.017987,[35 42] ; [32 15],[41.60483871 35.39516129] ; [25.39516129 21.60483871],0
r4,1,0.014699,5.952241,[46 31] ; [38  9],[52.16129032 24.83870968] ; [31.83870968 15.16129032],0
a4,1,0.031479,4.626667,[19 58] ; [ 4 41],[14.51639344 62.48360656] ; [ 8.48360656 36.51639344],0
u2,1,0.040333,4.203809,[14 29] ; [17 13],[18.26027397 24.73972603] ; [12.73972603 17.26027397],0
b1,1,0.041224,4.166781,[39 38] ; [15 32],[33.53225806 43.46774194] ; [20.46774194 26.53225806],0
p4,1,0.050338,3.830161,[20 56] ; [20 26],[24.91803279 51.08196721] ; [15.08196721 30.91803279],0
p9,1,0.055103,3.678979,[43 32] ; [35 12],[47.95081967 27.04918033] ; [30.04918033 16.95081967],0
s4,1,0.055622,3.663343,[ 7 70] ; [10 37],[10.55645161 66.44354839] ; [ 6.44354839 40.55645161],0
v4,1,0.071373,3.251155,[58 18] ; [42  5],[61.78861789 14.21138211] ; [38.21138211  8.78861789],0
d4,1,0.075769,3.153404,[30 47] ; [26 21],[34.77419355 42.22580645] ; [21.22580645 25.77419355],0
a7,1,0.109769,2.557548,[34 42] ; [28 19],[38.30894309 37.69105691] ; [23.69105691 23.30894309],0
p11,1,0.125294,2.349863,[47 30] ; [35 12],[50.91935484 26.08064516] ; [31.08064516 15.91935484],0
r3,1,0.128746,2.307564,[57 18] ; [41  6],[60.24590164 14.75409836] ; [37.75409836  9.24590164],0
p12,1,0.138173,2.198188,[ 3 74] ; [ 5 42],[ 4.96774194 72.03225806] ; [ 3.03225806 43.96774194],0
d2,1,0.146942,2.103712,[20 57] ; [ 7 40],[16.76612903 60.23387097] ; [10.23387097 36.76612903],0
a3,1,0.166312,1.915873,[34 41] ; [15 31],[30.37190083 44.62809917] ; [18.62809917 27.37190083],0
p3,1,0.171281,1.871693,[19 58] ; [17 30],[22.35483871 54.64516129] ; [13.64516129 33.35483871],0
d3,1,0.171977,1.865629,[25 52] ; [21 26],[28.56451613 48.43548387] ; [17.43548387 29.56451613],0
s1,1,0.205416,1.603445,[ 6 70] ; [ 1 43],[ 4.43333333 71.56666667] ; [ 2.56666667 41.43333333],0
s8,1,0.210452,1.568314,[ 6 71] ; [ 7 40],[ 8.07258065 68.92741935] ; [ 4.92741935 42.07258065],0
r1,1,0.222987,1.485045,[40 36] ; [30 17],[43.25203252 32.74796748] ; [26.74796748 20.25203252],0
p1,1,0.223576,1.48127,[ 8 69] ; [ 2 45],[ 6.20967742 70.79032258] ; [ 3.79032258 43.20967742],0
n6,1,0.247099,1.339634,[49 27] ; [35 12],[51.90243902 24.09756098] ; [32.09756098 14.90243902],0
p6,1,0.266219,1.236124,[12 64] ; [11 35],[14.32786885 61.67213115] ; [ 8.67213115 37.32786885],0
p8,1,0.269571,1.218929,[23 52] ; [19 28],[25.81967213 49.18032787] ; [16.18032787 30.81967213],0
v3,1,0.286988,1.133698,[17 59] ; [14 31],[19.47107438 56.52892562] ; [11.52892562 33.47107438],0
p2,1,0.309413,1.03318,[42 35] ; [30 17],[44.70967742 32.29032258] ; [27.29032258 19.70967742],0
d1,1,0.399605,0.709516,[ 4 73] ; [ 1 46],[ 3.10483871 73.89516129] ; [ 1.89516129 45.10483871],0
b4,1,0.407728,0.685416,[40 37] ; [28 19],[42.22580645 34.77419355] ; [25.77419355 21.22580645],0
u3,1,0.408373,0.683534,[14 29] ; [13 18],[15.68918919 27.31081081] ; [11.31081081 19.68918919],0
n1,1,0.461743,0.541667,[10 17] ; [3 9],[ 9. 18.] ; [4. 8.],0
n4,1,0.541171,0.373373,[41 35] ; [28 19],[42.63414634 33.36585366] ; [26.36585366 20.63414634],0
a5,1,0.548837,0.359405,[27 50] ; [19 28],[28.56451613 48.43548387] ; [17.43548387 29.56451613],0
r2,1,0.554879,0.348649,[58 18] ; [38  9],[59.31707317 16.68292683] ; [36.68292683 10.31707317],0
p7,1,0.57944,0.307141,[32 43] ; [22 24],[33.47107438 41.52892562] ; [20.52892562 25.47107438],0
a1,1,0.591083,0.288656,[ 7 70] ; [ 3 44],[ 6.20967742 70.79032258] ; [ 3.79032258 43.20967742],0
n3,1,0.630954,0.230769,[18  8] ; [8 5],[17.33333333  8.66666667] ; [8.66666667 4.33333333],0
n5,1,0.633009,0.228003,[43 32] ; [29 18],[44.26229508 30.73770492] ; [27.73770492 19.26229508],0
n2,1,0.663766,0.188981,[19  8] ; [10  3],[19.575  7.425] ; [9.425 3.575],0
a8,1,0.695707,0.152976,[ 7 66] ; [ 5 37],[ 7.6173913 65.3826087] ; [ 4.3826087 37.6173913],0
b5,1,0.752382,0.099541,[42 35] ; [27 20],[42.84677419 34.15322581] ; [26.15322581 20.84677419],0
v1,1,0.774681,0.081943,[29 47] ; [16 29],[28.26446281 47.73553719] ; [16.73553719 28.26446281],0
b2,1,0.810756,0.057337,[18 34] ; [ 6 13],[17.57746479 34.42253521] ; [ 6.42253521 12.57746479],0
b3,1,0.810756,0.057337,[18 34] ; [ 6 13],[17.57746479 34.42253521] ; [ 6.42253521 12.57746479],0
v2,1,0.816153,0.054054,[25 48] ; [16 28],[25.58119658 47.41880342] ; [15.41880342 28.58119658],0
u1,1,0.868816,0.027279,[ 2 75] ; [ 1 46],[ 1.86290323 75.13709677] ; [ 1.13709677 45.86290323],0
