Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,0.0,41.201376,[96 18] ; [ 2 15],[85.28244275 28.71755725] ; [12.71755725  4.28244275],1
r2,1,0.0,33.332949,[112   2] ; [9 6],[106.93023256   7.06976744] ; [14.06976744  0.93023256],1
r3,1,0.0,30.590301,[109   3] ; [10  7],[103.31782946   8.68217054] ; [15.68217054  1.31782946],1
v4,1,6.2e-05,16.050226,[112   2] ; [13  4],[108.77862595   5.22137405] ; [16.22137405  0.77862595],1
s6,1,0.000248,13.430329,[98 13] ; [9 8],[92.7890625 18.2109375] ; [14.2109375  2.7890625],1
p9,1,0.000554,11.925508,[100  11] ; [10  7],[95.390625 15.609375] ; [14.609375  2.390625],1
s5,1,0.00144,10.15362,[63 43] ; [ 2 12],[57.41666667 48.58333333] ; [7.58333333 6.41666667],0
n6,1,0.001793,9.750725,[96 17] ; [9 8],[91.26923077 21.73076923] ; [13.73076923  3.26923077],0
a5,1,0.006511,7.403137,[89 25] ; [8 9],[84.41221374 29.58778626] ; [12.58778626  4.41221374],0
b4,1,0.028994,4.767982,[72 42] ; [ 6 11],[67.8778626 46.1221374] ; [10.1221374  6.8778626],0
v1,1,0.032401,4.577179,[58 55] ; [ 4 13],[53.89230769 59.10769231] ; [8.10769231 8.89230769],0
p10,1,0.043484,4.076492,[95 17] ; [11  6],[92.03100775 19.96899225] ; [13.96899225  3.03100775],0
s8,1,0.054648,3.69278,[62 52] ; [ 5 12],[58.30534351 55.69465649] ; [8.69465649 8.30534351],0
p4,1,0.060208,3.531654,[74 40] ; [ 7 10],[70.48854962 43.51145038] ; [10.51145038  6.48854962],0
n2,1,0.061369,3.5,[22  6] ; [3 4],[20.  8.] ; [5. 2.],0
v3,1,0.062704,3.464393,[38 73] ; [ 2 15],[34.6875 76.3125] ; [ 5.3125 11.6875],0
n5,1,0.07012,3.280199,[79 35] ; [8 9],[75.70992366 38.29007634] ; [11.29007634  5.70992366],0
d1,1,0.094709,2.792457,[83 31] ; [9 8],[80.0610687 33.9389313] ; [11.9389313  5.0610687],0
a2,1,0.094871,2.789719,[27 87] ; [ 1 16],[24.36641221 89.63358779] ; [ 3.63358779 13.36641221],0
a4,1,0.098444,2.730579,[58 56] ; [ 5 12],[54.82442748 59.17557252] ; [8.17557252 8.82442748],0
u1,1,0.107553,2.589811,[26 88] ; [ 1 16],[23.49618321 90.50381679] ; [ 3.50381679 13.49618321],0
a3,1,0.148666,2.085883,[86 28] ; [10  7],[83.54198473 30.45801527] ; [12.45801527  4.54198473],0
n4,1,0.155854,2.014001,[74 40] ; [8 9],[71.35877863 42.64122137] ; [10.64122137  6.35877863],0
a6,1,0.155854,2.014001,[74 40] ; [8 9],[71.35877863 42.64122137] ; [10.64122137  6.35877863],0
d5,1,0.165176,1.926192,[101  13] ; [13  4],[99.20610687 14.79389313] ; [14.79389313  2.20610687],0
s3,1,0.175113,1.838616,[85 29] ; [10  7],[82.67175573 31.32824427] ; [12.32824427  4.67175573],0
p3,1,0.277393,1.179818,[63 51] ; [ 7 10],[60.91603053 53.08396947] ; [9.08396947 7.91603053],0
p6,1,0.287821,1.129784,[55 57] ; [ 6 11],[52.96124031 59.03875969] ; [8.03875969 8.96124031],0
p11,1,0.307109,1.043069,[81 33] ; [10  7],[79.19083969 34.80916031] ; [11.80916031  5.19083969],0
u2,1,0.308711,1.036184,[14 14] ; [5 2],[15.2 12.8] ; [3.8 3.2],0
n3,1,0.349575,0.875,[21  7] ; [4 3],[20.  8.] ; [5. 2.],0
p2,1,0.386166,0.75098,[91 23] ; [12  5],[89.63358779 24.36641221] ; [13.36641221  3.63358779],0
d3,1,0.425806,0.634236,[96 18] ; [13  4],[94.85496183 19.14503817] ; [14.14503817  2.85496183],0
u3,1,0.466479,0.530303,[20  8] ; [4 3],[19.2  8.8] ; [4.8 2.2],0
v2,1,0.503828,0.446865,[59 53] ; [7 9],[57.75 54.25] ; [8.25 7.75],0
b1,1,0.505888,0.442563,[44 70] ; [8 9],[45.2519084 68.7480916] ; [ 6.7480916 10.2519084],0
p7,1,0.519602,0.414683,[71 39] ; [9 7],[69.84126984 40.15873016] ; [10.15873016  5.84126984],0
p8,1,0.524731,0.404585,[58 53] ; [7 9],[56.81102362 54.18897638] ; [8.18897638 7.81102362],0
s2,1,0.540349,0.374893,[82 32] ; [11  6],[80.93129771 33.06870229] ; [12.06870229  4.93129771],0
d2,1,0.572087,0.319203,[62 52] ; [8 9],[60.91603053 53.08396947] ; [9.08396947 7.91603053],0
a1,1,0.633731,0.227035,[  4 110] ; [ 1 16],[  4.35114504 109.64885496] ; [ 0.64885496 16.35114504],0
b2,1,0.641131,0.217267,[17 41] ; [4 7],[17.65217391 40.34782609] ; [3.34782609 7.65217391],0
b3,1,0.641131,0.217267,[17 41] ; [4 7],[17.65217391 40.34782609] ; [3.34782609 7.65217391],0
s7,1,0.669463,0.182231,[68 42] ; [9 7],[67.22222222 42.77777778] ; [9.77777778 6.22222222],0
n1,1,0.721761,0.126812,[10 18] ; [2 5],[ 9.6 18.4] ; [2.4 4.6],0
s1,1,0.789437,0.071311,[  5 108] ; [ 1 16],[  5.21538462 107.78461538] ; [ 0.78461538 16.21538462],0
b5,1,0.793735,0.068363,[70 44] ; [11  6],[70.48854962 43.51145038] ; [10.51145038  6.48854962],0
a7,1,0.9723,0.001206,[80 34] ; [12  5],[80.0610687 33.9389313] ; [11.9389313  5.0610687],0
