Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.007631,7.11811,[9 6] ; [10 34],[ 4.83050847 10.16949153] ; [14.16949153 29.83050847],0
v1,1,0.008201,6.989085,[11  4] ; [15 29],[6.61016949 8.38983051] ; [19.38983051 24.61016949],0
p5,1,0.018351,5.562335,[ 3 12] ; [ 1 43],[ 1.01694915 13.98305085] ; [ 2.98305085 41.01694915],0
a2,1,0.024126,5.085522,[ 5 10] ; [ 4 40],[ 2.28813559 12.71186441] ; [ 6.71186441 37.28813559],0
a7,1,0.041205,4.16755,[ 5 10] ; [28 16],[8.38983051 6.61016949] ; [24.61016949 19.38983051],0
u1,1,0.050171,3.83573,[ 5 10] ; [ 5 39],[ 2.54237288 12.45762712] ; [ 7.45762712 36.54237288],0
s7,1,0.062437,3.471429,[10  4] ; [17 23],[7. 7.] ; [20. 20.],0
s3,1,0.072065,3.235351,[14  1] ; [31 13],[11.44067797  3.55932203] ; [33.55932203 10.44067797],0
p8,1,0.15402,2.031977,[ 4 11] ; [21 23],[6.3559322 8.6440678] ; [18.6440678 25.3559322],0
a5,1,0.200829,1.636335,[11  4] ; [24 20],[8.89830508 6.10169492] ; [26.10169492 17.89830508],0
v3,1,0.208494,1.581854,[8 7] ; [15 28],[5.94827586 9.05172414] ; [17.05172414 25.94827586],0
s6,1,0.21303,1.550714,[13  2] ; [31 13],[11.18644068  3.81355932] ; [32.81355932 11.18644068],0
r1,1,0.221461,1.494882,[10  5] ; [36  8],[11.69491525  3.30508475] ; [34.30508475  9.69491525],0
s8,1,0.247927,1.334949,[8 7] ; [16 28],[6.10169492 8.89830508] ; [17.89830508 26.10169492],0
d2,1,0.259969,1.26892,[9 6] ; [19 25],[7.11864407 7.88135593] ; [20.88135593 23.11864407],0
p3,1,0.274944,1.191914,[8 7] ; [16 27],[6.20689655 8.79310345] ; [17.79310345 25.20689655],0
n6,1,0.306048,1.047653,[12  3] ; [29 15],[10.42372881  4.57627119] ; [30.57627119 13.42372881],0
v2,1,0.318693,0.994304,[8 6] ; [18 25],[6.38596491 7.61403509] ; [19.61403509 23.38596491],0
r2,1,0.366563,0.815281,[14  1] ; [37  7],[12.96610169  2.03389831] ; [38.03389831  5.96610169],0
s1,1,0.398825,0.711865,[ 3 12] ; [ 5 39],[ 2.03389831 12.96610169] ; [ 5.96610169 38.03389831],0
a3,1,0.403075,0.699132,[11  4] ; [27 17],[9.66101695 5.33898305] ; [28.33898305 15.66101695],0
b4,1,0.411979,0.673084,[10  5] ; [24 20],[8.6440678 6.3559322] ; [25.3559322 18.6440678],0
s4,1,0.426905,0.631229,[ 4 10] ; [ 8 35],[ 2.94736842 11.05263158] ; [ 9.05263158 33.94736842],0
b2,1,0.430684,0.620979,[2 9] ; [ 8 18],[2.97297297 8.02702703] ; [ 7.02702703 18.97297297],0
b3,1,0.430684,0.620979,[2 9] ; [ 8 18],[2.97297297 8.02702703] ; [ 7.02702703 18.97297297],0
d5,1,0.47268,0.515704,[12  3] ; [31 13],[10.93220339  4.06779661] ; [32.06779661 11.93220339],0
p7,1,0.490925,0.474498,[7 7] ; [26 17],[8.10526316 5.89473684] ; [24.89473684 18.10526316],0
u2,1,0.548893,0.359304,[3 1] ; [10  7],[2.47619048 1.52380952] ; [10.52380952  6.47619048],0
n1,1,0.582493,0.302222,[1 4] ; [4 8],[1.47058824 3.52941176] ; [3.52941176 8.47058824],0
a8,1,0.600599,0.274094,[ 1 13] ; [ 5 36],[ 1.52727273 12.47272727] ; [ 4.47272727 36.52727273],0
r3,1,0.603231,0.27015,[14  1] ; [39  5],[13.47457627  1.52542373] ; [39.52542373  4.47457627],0
a6,1,0.603927,0.269113,[9 6] ; [23 21],[8.13559322 6.86440678] ; [23.86440678 20.13559322],0
d3,1,0.679769,0.170386,[9 6] ; [29 15],[9.66101695 5.33898305] ; [28.33898305 15.66101695],0
d4,1,0.694249,0.154524,[12  3] ; [33 11],[11.44067797  3.55932203] ; [33.55932203 10.44067797],0
b1,1,0.69676,0.151865,[8 7] ; [26 18],[8.6440678 6.3559322] ; [25.3559322 18.6440678],0
p4,1,0.707619,0.140667,[8 7] ; [21 23],[7.37288136 7.62711864] ; [21.62711864 22.37288136],0
d1,1,0.707619,0.140667,[8 7] ; [21 23],[7.37288136 7.62711864] ; [21.62711864 22.37288136],0
n4,1,0.708255,0.140026,[11  4] ; [30 14],[10.42372881  4.57627119] ; [30.57627119 13.42372881],0
b5,1,0.713274,0.135029,[9 6] ; [24 20],[8.38983051 6.61016949] ; [24.61016949 19.38983051],0
u3,1,0.748328,0.102941,[2 2] ; [10  7],[2.28571429 1.71428571] ; [9.71428571 7.28571429],0
p6,1,0.790388,0.070653,[ 4 10] ; [11 33],[ 3.62068966 10.37931034] ; [11.37931034 32.62068966],0
r4,1,0.825811,0.048434,[12  3] ; [34 10],[11.69491525  3.30508475] ; [34.30508475  9.69491525],0
p11,1,0.829487,0.04638,[9 6] ; [25 19],[8.6440678 6.3559322] ; [25.3559322 18.6440678],0
p2,1,0.832356,0.044809,[10  5] ; [28 16],[9.66101695 5.33898305] ; [28.33898305 15.66101695],0
n3,1,0.875975,0.024359,[3 3] ; [7 6],[3.15789474 2.84210526] ; [6.84210526 6.15789474],0
p10,1,0.913635,0.011762,[ 5 10] ; [14 30],[ 4.83050847 10.16949153] ; [14.16949153 29.83050847],0
n5,1,0.950645,0.003831,[9 6] ; [26 18],[8.89830508 6.10169492] ; [26.10169492 17.89830508],0
a1,1,0.983918,0.000406,[ 1 14] ; [ 3 41],[ 1.01694915 13.98305085] ; [ 2.98305085 41.01694915],0
