Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.000107,15.005448,[91 12] ; [6 7],[86.12931034 16.87068966] ; [10.87068966  2.12931034],1
r1,1,0.00113,10.601198,[77 26] ; [4 9],[71.92241379 31.07758621] ; [9.07758621 3.92241379],0
b1,1,0.018959,5.505271,[30 73] ; [8 5],[33.74137931 69.25862069] ; [4.25862069 8.74137931],0
v4,1,0.028454,4.800374,[97  6] ; [10  3],[95.00862069  7.99137931] ; [11.99137931  1.00862069],0
n4,1,0.039077,4.257537,[65 37] ; [12  1],[68.29565217 33.70434783] ; [8.70434783 4.29565217],0
n6,1,0.047673,3.921487,[85 16] ; [8 5],[82.39473684 18.60526316] ; [10.60526316  2.39473684],0
p9,1,0.061001,3.509972,[77 22] ; [7 6],[74.25 24.75] ; [9.75 3.25],0
a7,1,0.066506,3.367215,[72 29] ; [6 7],[69.10526316 31.89473684] ; [8.89473684 4.10526316],0
s4,1,0.077234,3.122172,[18 84] ; [5 8],[20.4 81.6] ; [ 2.6 10.4],0
d2,1,0.080195,3.060953,[24 78] ; [6 7],[26.60869565 75.39130435] ; [3.39130435 9.60869565],0
r3,1,0.082511,3.014725,[97  4] ; [11  2],[95.68421053  5.31578947] ; [12.31578947  0.68421053],0
v3,1,0.086372,2.940733,[56 44] ; [4 9],[53.09734513 46.90265487] ; [6.90265487 6.09734513],0
v1,1,0.089095,2.890647,[63 37] ; [5 8],[60.17699115 39.82300885] ; [7.82300885 5.17699115],0
n5,1,0.182026,1.781007,[67 34] ; [11  2],[69.10526316 31.89473684] ; [8.89473684 4.10526316],0
s1,1,0.229752,1.442396,[ 2 98] ; [ 1 12],[ 2.65486726 97.34513274] ; [ 0.34513274 12.65486726],0
s7,1,0.2747,1.193124,[37 62] ; [2 8],[35.42201835 63.57798165] ; [3.57798165 6.42201835],0
d5,1,0.310155,1.030014,[77 26] ; [8 5],[75.47413793 27.52586207] ; [9.52586207 3.47413793],0
s3,1,0.341438,0.905023,[53 48] ; [5 8],[51.38596491 49.61403509] ; [6.61403509 6.38596491],0
a1,1,0.373477,0.792062,[  3 100] ; [ 1 12],[ 3.55172414 99.44827586] ; [ 0.44827586 12.55172414],0
p2,1,0.401949,0.702489,[81 21] ; [9 4],[79.82608696 22.17391304] ; [10.17391304  2.82608696],0
u3,1,0.413291,0.669314,[23 24] ; [4 2],[23.94339623 23.05660377] ; [3.05660377 2.94339623],0
a8,1,0.414746,0.665155,[10 89] ; [2 9],[10.8 88.2] ; [1.2 9.8],0
p7,1,0.418706,0.653945,[64 34] ; [7 6],[62.68468468 35.31531532] ; [8.31531532 4.68468468],0
s5,1,0.423972,0.639278,[25 73] ; [ 2 11],[23.83783784 74.16216216] ; [3.16216216 9.83783784],0
n1,1,0.429441,0.624336,[10 16] ; [1 4],[ 9.22580645 16.77419355] ; [1.77419355 3.22580645],0
u2,1,0.442181,0.590617,[23 23] ; [4 2],[23.88461538 22.11538462] ; [3.11538462 2.88461538],0
b2,1,0.449419,0.572117,[16 42] ; [1 6],[15.16923077 42.83076923] ; [1.83076923 5.16923077],0
b3,1,0.449419,0.572117,[16 42] ; [1 6],[15.16923077 42.83076923] ; [1.83076923 5.16923077],0
