Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,52.105441,[109   8] ; [33 38],[88.37234043 28.62765957] ; [53.62765957 17.37234043],1
s6,1,2e-06,22.927877,[75 38] ; [21 49],[59.27868852 53.72131148] ; [36.72131148 33.27868852],1
v3,1,4.1e-05,16.806672,[47 66] ; [ 9 61],[34.57923497 78.42076503] ; [21.42076503 48.57923497],1
r2,1,5.2e-05,16.381573,[110   7] ; [51 19],[100.73262032  16.26737968] ; [60.26737968  9.73262032],1
a5,1,7.9e-05,15.589974,[71 46] ; [22 49],[57.87765957 59.12234043] ; [35.12234043 35.87765957],1
v4,1,0.000251,13.402471,[110   6] ; [53 16],[102.20540541  13.79459459] ; [60.79459459  8.20540541],1
v2,1,0.000295,13.104897,[55 54] ; [16 53],[43.47752809 65.52247191] ; [27.52247191 41.47752809],1
r3,1,0.000295,13.101053,[106  11] ; [49 21],[96.97860963 20.02139037] ; [58.02139037 11.97860963],1
v1,1,0.000815,11.20784,[59 55] ; [19 52],[48.06486486 65.93513514] ; [29.93513514 41.06486486],1
a7,1,0.000886,11.051165,[76 41] ; [28 42],[65.06951872 51.93048128] ; [38.93048128 31.06951872],1
n4,1,0.004709,7.987849,[89 28] ; [40 31],[80.28191489 36.71808511] ; [48.71808511 22.28191489],0
p11,1,0.008368,6.95299,[89 28] ; [41 30],[80.90425532 36.09574468] ; [49.09574468 21.90425532],0
a3,1,0.013015,6.167091,[62 53] ; [25 46],[53.79032258 61.20967742] ; [33.20967742 37.79032258],0
s5,1,0.01512,5.902475,[29 82] ; [ 8 63],[22.56593407 88.43406593] ; [14.43406593 56.56593407],0
s8,1,0.015225,5.890248,[42 73] ; [14 57],[34.62365591 80.37634409] ; [21.37634409 49.62365591],0
s7,1,0.018483,5.549768,[45 64] ; [16 51],[37.77840909 71.22159091] ; [23.22159091 43.77840909],0
u3,1,0.024041,5.091698,[29 26] ; [14 32],[23.41584158 31.58415842] ; [19.58415842 26.41584158],0
d3,1,0.032879,4.552085,[35 82] ; [11 58],[28.93548387 88.06451613] ; [17.06451613 51.93548387],0
p3,1,0.038022,4.304045,[52 64] ; [21 50],[45.28342246 70.71657754] ; [27.71657754 43.28342246],0
p10,1,0.051206,3.801536,[83 31] ; [40 28],[77.04395604 36.95604396] ; [45.95604396 22.04395604],0
p4,1,0.052913,3.746673,[61 55] ; [27 44],[54.58823529 61.41176471] ; [33.41176471 37.58823529],0
n2,1,0.061222,3.503962,[29  6] ; [16 10],[25.81967213  9.18032787] ; [19.18032787  6.81967213],0
p5,1,0.075934,3.149841,[ 14 101] ; [ 3 66],[ 10.625 104.375] ; [ 6.375 62.625],0
a6,1,0.086713,2.934356,[71 46] ; [34 37],[65.34574468 51.65425532] ; [39.65425532 31.34574468],0
n6,1,0.092763,2.82576,[92 25] ; [48 23],[87.12765957 29.87234043] ; [52.87234043 18.12765957],0
s3,1,0.132064,2.268078,[56 56] ; [27 43],[51.07692308 60.92307692] ; [31.92307692 38.07692308],0
s2,1,0.14433,2.131175,[42 71] ; [19 52],[37.46195652 75.53804348] ; [23.53804348 47.46195652],0
p1,1,0.222052,1.491061,[17 99] ; [ 6 64],[ 14.34408602 101.65591398] ; [ 8.65591398 61.34408602],0
p6,1,0.248429,1.332115,[35 79] ; [16 54],[31.59782609 82.40217391] ; [19.40217391 50.59782609],0
u2,1,0.276741,1.183023,[25 30] ; [16 30],[22.32673267 32.67326733] ; [18.67326733 27.32673267],0
a4,1,0.284422,1.145838,[27 88] ; [12 59],[24.11290323 90.88709677] ; [14.88709677 56.11290323],0
p8,1,0.298125,1.082561,[52 60] ; [27 43],[48.61538462 63.38461538] ; [30.38461538 39.61538462],0
a1,1,0.298608,1.080401,[  2 115] ; [ 3 68],[  3.11170213 113.88829787] ; [ 1.88829787 69.11170213],0
a2,1,0.345802,0.888801,[  9 108] ; [ 3 68],[  7.46808511 109.53191489] ; [ 4.53191489 66.46808511],0
p2,1,0.371998,0.796981,[85 31] ; [47 23],[82.32258065 33.67741935] ; [49.67741935 20.32258065],0
b1,1,0.396399,0.719221,[47 70] ; [33 38],[49.78723404 67.21276596] ; [30.21276596 40.78723404],0
p7,1,0.420476,0.648983,[65 48] ; [36 34],[62.36612022 50.63387978] ; [38.63387978 31.36612022],0
p12,1,0.443005,0.588485,[  8 107] ; [ 3 68],[  6.80107527 108.19892473] ; [ 4.19892473 66.80107527],0
n1,1,0.451771,0.566204,[16 19] ; [ 9 16],[14.58333333 20.41666667] ; [10.41666667 14.58333333],0
d2,1,0.486392,0.484498,[23 94] ; [17 54],[24.89361702 92.10638298] ; [15.10638298 55.89361702],0
d5,1,0.500607,0.453649,[51 66] ; [27 43],[48.80213904 68.19786096] ; [29.19786096 40.80213904],0
p9,1,0.594038,0.284082,[83 31] ; [47 21],[81.42857143 32.57142857] ; [48.57142857 19.42857143],0
b2,1,0.594707,0.283054,[17 55] ; [11 28],[18.16216216 53.83783784] ; [ 9.83783784 29.16216216],0
b3,1,0.594707,0.283054,[17 55] ; [11 28],[18.16216216 53.83783784] ; [ 9.83783784 29.16216216],0
b4,1,0.623021,0.241645,[62 55] ; [35 36],[60.36702128 56.63297872] ; [36.63297872 34.36702128],0
n5,1,0.632464,0.228734,[87 29] ; [51 20],[85.60427807 30.39572193] ; [52.39572193 18.60427807],0
a8,1,0.633875,0.226842,[12 95] ; [ 6 61],[11.06896552 95.93103448] ; [ 6.93103448 60.06896552],0
s1,1,0.71017,0.138107,[  8 106] ; [ 4 67],[  7.39459459 106.60540541] ; [ 4.60540541 66.39459459],0
b5,1,0.739276,0.110764,[63 54] ; [40 31],[64.10106383 52.89893617] ; [38.89893617 32.10106383],0
n3,1,0.863772,0.029438,[26  7] ; [20  6],[25.72881356  7.27118644] ; [20.27118644  5.72881356],0
s4,1,0.88937,0.019349,[22 93] ; [13 58],[21.63978495 93.36021505] ; [13.36021505 57.63978495],0
