Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.00013,14.640333,[42 16] ; [ 6 17],[34.37037037 23.62962963] ; [13.62962963  9.37037037],1
a4,1,0.000142,14.470278,[37 22] ; [ 4 20],[29.14457831 29.85542169] ; [11.85542169 12.14457831],1
a3,1,0.000593,11.796604,[49 10] ; [11 13],[42.65060241 16.34939759] ; [17.34939759  6.65060241],1
r2,1,0.009349,6.754947,[58  1] ; [20  4],[55.44578313  3.55421687] ; [22.55421687  1.44578313],0
n4,1,0.01204,6.304969,[44 15] ; [11 13],[39.09638554 19.90361446] ; [15.90361446  8.09638554],0
n5,1,0.066445,3.368725,[42 17] ; [12 12],[38.38554217 20.61445783] ; [15.61445783  8.38554217],0
v2,1,0.083354,2.998265,[31 26] ; [ 8 16],[27.44444444 29.55555556] ; [11.55555556 12.44444444],0
d1,1,0.087156,2.926137,[39 20] ; [11 13],[35.54216867 23.45783133] ; [14.45783133  9.54216867],0
p12,1,0.089063,2.891232,[11 48] ; [ 1 23],[ 8.53012048 50.46987952] ; [ 3.46987952 20.53012048],0
u1,1,0.141386,2.162809,[13 46] ; [ 2 22],[10.6626506 48.3373494] ; [ 4.3373494 19.6626506],0
s3,1,0.15878,1.985806,[38 19] ; [12 12],[35.18518519 21.81481481] ; [14.81481481  9.18518519],0
p8,1,0.160468,1.969813,[13 46] ; [ 2 21],[10.79268293 48.20731707] ; [ 4.20731707 18.79268293],0
r1,1,0.160653,1.968064,[45 13] ; [15  9],[42.43902439 15.56097561] ; [17.56097561  6.43902439],0
u3,1,0.178978,1.80609,[5 5] ; [10  3],[6.52173913 3.47826087] ; [8.47826087 4.52173913],0
s6,1,0.206975,1.592457,[51  8] ; [18  6],[49.04819277  9.95180723] ; [19.95180723  4.04819277],0
n6,1,0.206975,1.592457,[51  8] ; [18  6],[49.04819277  9.95180723] ; [19.95180723  4.04819277],0
s2,1,0.257134,1.284121,[42 17] ; [14 10],[39.80722892 19.19277108] ; [16.19277108  7.80722892],0
p2,1,0.283053,1.152372,[37 22] ; [18  6],[39.09638554 19.90361446] ; [15.90361446  8.09638554],0
v3,1,0.288366,1.127233,[22 35] ; [ 6 17],[19.95 37.05] ; [ 8.05 14.95],0
p5,1,0.311575,1.023988,[10 49] ; [ 2 22],[ 8.53012048 50.46987952] ; [ 3.46987952 20.53012048],0
v1,1,0.368926,0.807278,[31 28] ; [10 14],[29.14457831 29.85542169] ; [11.85542169 12.14457831],0
d4,1,0.369295,0.806035,[53  6] ; [19  4],[51.80487805  7.19512195] ; [20.19512195  2.80487805],0
d5,1,0.399242,0.710607,[49 10] ; [18  6],[47.62650602 11.37349398] ; [19.37349398  4.62650602],0
r4,1,0.408433,0.683357,[51  8] ; [19  5],[49.75903614  9.24096386] ; [20.24096386  3.75903614],0
b2,1,0.439401,0.597847,[16 24] ; [3 8],[14.90196078 25.09803922] ; [4.09803922 6.90196078],0
b3,1,0.439401,0.597847,[16 24] ; [3 8],[14.90196078 25.09803922] ; [4.09803922 6.90196078],0
p4,1,0.491762,0.472669,[29 29] ; [10 14],[27.58536585 30.41463415] ; [11.41463415 12.58536585],0
s8,1,0.541606,0.372571,[26 32] ; [ 9 15],[24.75609756 33.24390244] ; [10.24390244 13.75609756],0
n3,1,0.571608,0.32,[12  8] ; [3 1],[12.5  7.5] ; [2.5 1.5],0
v4,1,0.573172,0.317405,[54  5] ; [21  3],[53.31325301  5.68674699] ; [21.68674699  2.31325301],0
b1,1,0.582777,0.301767,[26 33] ; [ 9 15],[24.87951807 34.12048193] ; [10.12048193 13.87951807],0
p11,1,0.604047,0.268935,[38 21] ; [14 10],[36.96385542 22.03614458] ; [15.03614458  8.96385542],0
a6,1,0.604047,0.268935,[38 21] ; [14 10],[36.96385542 22.03614458] ; [15.03614458  8.96385542],0
a8,1,0.666942,0.1852,[ 4 49] ; [ 1 20],[ 3.58108108 49.41891892] ; [ 1.41891892 19.58108108],0
d3,1,0.676559,0.174025,[39 20] ; [17  7],[39.80722892 19.19277108] ; [16.19277108  7.80722892],0
a7,1,0.692607,0.156278,[41 18] ; [17  6],[41.73170732 17.26829268] ; [16.26829268  6.73170732],0
p1,1,0.715144,0.133193,[ 8 51] ; [ 4 20],[ 8.53012048 50.46987952] ; [ 3.46987952 20.53012048],0
p10,1,0.746923,0.104135,[44 14] ; [19  5],[44.56097561 13.43902439] ; [18.43902439  5.56097561],0
u2,1,0.767896,0.087101,[6 4] ; [7 6],[5.65217391 4.34782609] ; [7.34782609 5.65217391],0
n2,1,0.785028,0.074405,[17  4] ; [3 1],[16.8  4.2] ; [3.2 0.8],0
p3,1,0.788536,0.071938,[24 35] ; [ 9 15],[23.45783133 35.54216867] ; [ 9.54216867 14.45783133],0
p6,1,0.806462,0.060022,[11 47] ; [ 4 20],[10.6097561 47.3902439] ; [ 4.3902439 19.6097561],0
n1,1,0.854632,0.033566,[11  9] ; [2 2],[10.83333333  9.16666667] ; [2.16666667 1.83333333],0
s7,1,0.878548,0.023351,[30 27] ; [12 10],[30.30379747 26.69620253] ; [11.69620253 10.30379747],0
b4,1,0.903847,0.014593,[41 18] ; [17  7],[41.22891566 17.77108434] ; [16.77108434  7.22891566],0
b5,1,0.920645,0.009924,[40 19] ; [16  8],[39.80722892 19.19277108] ; [16.19277108  7.80722892],0
p9,1,0.947492,0.004337,[45 13] ; [18  5],[45.11111111 12.88888889] ; [17.88888889  5.11111111],0
r3,1,0.950903,0.003791,[51  8] ; [20  3],[51.08536585  7.91463415] ; [19.91463415  3.08536585],0
s4,1,0.966659,0.001747,[14 43] ; [ 6 18],[14.07407407 42.92592593] ; [ 5.92592593 18.07407407],0
s1,1,0.974324,0.001036,[ 5 54] ; [ 2 21],[ 5.03658537 53.96341463] ; [ 1.96341463 21.03658537],0
