Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,196.092826,[ 71 274] ; [268  99],[164.26264045 180.73735955] ; [174.73735955 192.26264045],1
s2,1,0.0,138.013466,[105 236] ; [276  93],[182.98732394 158.01267606] ; [198.01267606 170.98732394],1
s3,1,0.0,99.559994,[131 208] ; [278  89],[196.38951841 142.61048159] ; [212.61048159 154.38951841],1
s6,1,0.0,87.113967,[181 157] ; [313  52],[237.51351351 100.48648649] ; [256.48648649 108.51351351],1
a3,1,0.0,40.710705,[211 132] ; [305  63],[248.92827004  94.07172996] ; [267.07172996 100.92827004],1
s5,1,0.0,38.953261,[ 79 252] ; [165 188],[118.07602339 212.92397661] ; [125.92397661 227.07602339],1
p6,1,0.0,27.739621,[ 99 241] ; [177 188],[133.10638298 206.89361702] ; [142.89361702 222.10638298],1
n4,1,0.0,25.360023,[239 106] ; [313  55],[267.09677419  77.90322581] ; [284.90322581  83.09677419],1
u1,1,2e-06,23.022396,[ 38 307] ; [ 92 278],[ 62.72727273 282.27272727] ; [ 67.27272727 302.72727273],1
p4,1,3e-06,22.165678,[179 163] ; [256 112],[209.53521127 132.46478873] ; [225.46478873 142.53521127],1
p3,1,4e-06,21.365448,[146 197] ; [221 148],[176.7991573 166.2008427] ; [190.2008427 178.7991573],1
d2,1,6e-06,20.599338,[135 209] ; [207 161],[165.23595506 178.76404494] ; [176.76404494 191.23595506],1
n5,1,2e-05,18.198798,[238 104] ; [306  62],[262.03943662  79.96056338] ; [281.96056338  86.03943662],1
p5,1,3.7e-05,17.005384,[ 25 319] ; [ 64 301],[ 43.1819464 300.8180536] ; [ 45.8180536 319.1819464],1
a5,1,9.6e-05,15.218206,[235 110] ; [299  71],[257.66433566  87.33566434] ; [276.33566434  93.66433566],1
p7,1,0.000203,13.807619,[197 140] ; [258 101],[220.30890805 116.69109195] ; [234.69109195 124.30890805],1
v3,1,0.000331,12.888213,[109 221] ; [165 190],[132. 198.] ; [142. 213.],1
a2,1,0.000945,10.93296,[ 65 280] ; [109 261],[ 83.95804196 261.04195804] ; [ 90.04195804 279.95804196],1
r1,1,0.001722,9.824962,[260  83] ; [314  55],[276.51966292  66.48033708] ; [297.48033708  71.51966292],0
d1,1,0.002917,8.858435,[189 156] ; [243 127],[208.44755245 136.55244755] ; [223.55244755 146.44755245],0
u4,1,0.006605,7.377361,[  3 342] ; [ 15 355],[  8.68531469 336.31468531] ; [  9.31468531 360.68531469],0
s1,1,0.006854,7.310849,[  4 335] ; [ 17 349],[ 10.09787234 328.90212766] ; [ 10.90212766 355.09787234],0
n6,1,0.008711,6.881122,[284  60] ; [328  39],[296.10126582  47.89873418] ; [315.89873418  51.10126582],0
u3,1,0.011213,6.431173,[70 61] ; [47 18],[78.19897959 52.80102041] ; [38.80102041 26.19897959],0
a4,1,0.011885,6.327884,[142 202] ; [187 182],[158.73211781 185.26788219] ; [170.26788219 198.73211781],0
a8,1,0.014419,5.986122,[ 34 284] ; [ 58 276],[ 44.87116564 273.12883436] ; [ 47.12883436 286.87116564],0
n1,1,0.017135,5.68246,[23 56] ; [38 42],[30.3081761 48.6918239] ; [30.6918239 49.3081761],0
