Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.000637,11.665996,[ 5 65] ; [141 412],[16.40449438 53.59550562] ; [129.59550562 423.40449438],1
v2,1,0.002083,9.475265,[29 38] ; [334 198],[40.60267112 26.39732888] ; [322.39732888 209.60267112],0
n4,1,0.003157,8.714228,[48 22] ; [458  93],[57.03703704 12.96296296] ; [448.96296296 102.03703704],0
d3,1,0.00405,8.261436,[41 29] ; [412 139],[51.06280193 18.93719807] ; [401.93719807 149.06280193],0
a2,1,0.008589,6.906358,[13 57] ; [189 364],[22.69662921 47.30337079] ; [179.30337079 373.69662921],0
a1,1,0.050393,3.828325,[ 7 63] ; [ 25 528],[ 3.59550562 66.40449438] ; [ 28.40449438 524.59550562],0
v3,1,0.054614,3.693826,[21 45] ; [234 295],[28.28571429 37.71428571] ; [226.71428571 302.28571429],0
r2,1,0.056151,3.647567,[66  3] ; [543   7],[67.88529887  1.11470113] ; [541.11470113   8.88529887],0
p2,1,0.058509,3.579165,[54 16] ; [470  78],[59.35275081 10.64724919] ; [464.64724919  83.35275081],0
v1,1,0.067235,3.349277,[32 36] ; [317 223],[39.03289474 28.96710526] ; [309.96710526 230.03289474],0
s7,1,0.069137,3.303397,[28 38] ; [286 241],[34.94772344 31.05227656] ; [279.05227656 247.94772344],0
r3,1,0.089853,2.877004,[67  3] ; [544   8],[68.76205788  1.23794212] ; [542.23794212   9.76205788],0
d2,1,0.105966,2.613373,[34 35] ; [327 223],[40.24071082 28.75928918] ; [320.75928918 229.24071082],0
a7,1,0.126016,2.34091,[47 23] ; [418 135],[52.24719101 17.75280899] ; [412.75280899 140.24719101],0
v4,1,0.128137,2.314925,[67  3] ; [543   9],[68.64951768  1.35048232] ; [541.35048232  10.64951768],0
d1,1,0.133061,2.256424,[42 28] ; [381 172],[47.52808989 22.47191011] ; [375.47191011 177.52808989],0
p12,1,0.136475,2.217262,[ 3 67] ; [ 53 492],[ 6.37398374 63.62601626] ; [ 49.62601626 495.37398374],0
n1,1,0.158243,1.990933,[12 12] ; [37 70],[ 8.97709924 15.02290076] ; [40.02290076 66.97709924],0
s8,1,0.181539,1.784979,[29 41] ; [272 273],[34.2601626 35.7398374] ; [266.7398374 278.2601626],0
p8,1,0.192675,1.697047,[33 35] ; [307 233],[38.02631579 29.97368421] ; [301.97368421 238.02631579],0
p7,1,0.215812,1.532004,[41 28] ; [360 178],[45.58319605 23.41680395] ; [355.41680395 182.58319605],0
a3,1,0.227871,1.454099,[52 18] ; [444 108],[55.81993569 14.18006431] ; [440.18006431 111.81993569],0
p10,1,0.292089,1.109968,[62  8] ; [457  89],[58.97727273 11.02272727] ; [460.02272727  85.97727273],0
u3,1,0.29627,1.090909,[9 9] ; [68 40],[11.  7.] ; [66. 42.],0
a6,1,0.299803,1.07507,[48 22] ; [409 141],[51.59677419 18.40322581] ; [405.40322581 144.59677419],0
n2,1,0.306558,1.045447,[22  4] ; [82 27],[20.02962963  5.97037037] ; [83.97037037 25.02962963],0
a4,1,0.309848,1.031324,[34 36] ; [303 248],[37.98711755 32.01288245] ; [299.01288245 251.98711755],0
p4,1,0.313719,1.014952,[40 29] ; [351 196],[43.79707792 25.20292208] ; [347.20292208 199.79707792],0
a8,1,0.319165,0.992367,[ 7 60] ; [ 74 419],[ 9.69107143 57.30892857] ; [ 71.30892857 421.69107143],0
b4,1,0.331768,0.941986,[45 25] ; [322 231],[41.23595506 28.76404494] ; [325.76404494 227.23595506],0
p1,1,0.368043,0.810263,[ 8 62] ; [ 45 502],[ 6.01296596 63.98703404] ; [ 46.98703404 500.01296596],0
n5,1,0.394339,0.72552,[51 19] ; [425 124],[53.82875606 16.17124394] ; [422.17124394 126.82875606],0
p9,1,0.404666,0.694416,[63  7] ; [471  74],[60.7804878  9.2195122] ; [473.2195122  71.7804878],0
b5,1,0.423872,0.639554,[45 25] ; [328 225],[41.91011236 28.08988764] ; [331.08988764 221.91011236],0
u2,1,0.461285,0.542776,[9 9] ; [64 44],[10.42857143  7.57142857] ; [62.57142857 45.42857143],0
s5,1,0.474627,0.511182,[27 37] ; [200 332],[24.37583893 39.62416107] ; [202.62416107 329.37583893],0
s6,1,0.524191,0.405639,[45 22] ; [383 157],[47.24217463 19.75782537] ; [380.75782537 159.24217463],0
s1,1,0.525336,0.403404,[ 3 66] ; [ 16 528],[ 2.13866232 66.86133768] ; [ 16.86133768 527.13866232],0
d4,1,0.573997,0.31604,[59 11] ; [477  73],[60.51612903  9.48387097] ; [475.48387097  74.51612903],0
s4,1,0.615634,0.252052,[13 57] ; [ 88 455],[11.53344209 58.46655791] ; [ 89.46655791 453.53344209],0
p11,1,0.625574,0.238111,[55 15] ; [448 105],[56.51685393 13.48314607] ; [446.48314607 106.51685393],0
b2,1,0.700906,0.147531,[18 22] ; [146 203],[16.86375321 23.13624679] ; [147.13624679 201.86375321],0
b3,1,0.700906,0.147531,[18 22] ; [146 203],[16.86375321 23.13624679] ; [147.13624679 201.86375321],0
n3,1,0.721896,0.126684,[19  7] ; [81 25],[19.6969697  6.3030303] ; [80.3030303 25.6969697],0
d5,1,0.733728,0.115716,[61  9] ; [471  79],[60.06451613  9.93548387] ; [471.93548387  78.06451613],0
p5,1,0.744934,0.105837,[ 9 60] ; [ 64 483],[ 8.17694805 60.82305195] ; [ 64.82305195 482.17694805],0
b1,1,0.778733,0.078945,[26 44] ; [215 338],[27.07865169 42.92134831] ; [213.92134831 339.07865169],0
s3,1,0.784862,0.074523,[38 31] ; [309 235],[39.05872757 29.94127243] ; [307.94127243 236.05872757],0
n6,1,0.790116,0.070841,[61  9] ; [472  77],[60.27463651  9.72536349] ; [472.72536349  76.27463651],0
u4,1,0.944199,0.004899,[ 2 68] ; [ 15 538],[ 1.91011236 68.08988764] ; [ 15.08988764 537.91011236],0
s2,1,0.944676,0.004816,[37 33] ; [291 255],[37.27272727 32.72727273] ; [290.72727273 255.27272727],0
p3,1,0.95342,0.003412,[38 32] ; [296 253],[37.77059774 32.22940226] ; [296.22940226 252.77059774],0
p6,1,0.976519,0.000866,[26 42] ; [207 337],[25.88888889 42.11111111] ; [207.11111111 336.88888889],0
