Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,4.3e-05,16.737396,[ 44 109] ; [74 68],[61.2 91.8] ; [56.8 85.2],1
v4,1,0.001233,10.439777,[140  16] ; [142   2],[146.64   9.36] ; [135.36   8.64],0
v2,1,0.001559,10.007578,[66 87] ; [84 52],[79.41176471 73.58823529] ; [70.58823529 65.41176471],0
s8,1,0.004364,8.125788,[65 94] ; [83 62],[77.40789474 81.59210526] ; [70.59210526 74.40789474],0
p12,1,0.008046,7.023176,[  4 155] ; [ 14 130],[  9.44554455 149.55445545] ; [  8.55445545 135.44554455],0
n5,1,0.008627,6.898412,[102  55] ; [114  31],[112.29139073  44.70860927] ; [103.70860927  41.29139073],0
s5,1,0.009387,6.747686,[ 44 111] ; [60 80],[ 54.6440678 100.3559322] ; [49.3559322 90.6440678],0
s2,1,0.010218,6.596566,[108  51] ; [118  28],[117.81639344  41.18360656] ; [108.18360656  37.81639344],0
p5,1,0.018969,5.504374,[  5 152] ; [ 14 129],[  9.94333333 147.05666667] ; [  9.05666667 133.94333333],0
r2,1,0.025905,4.962373,[145  12] ; [142   3],[149.20198675   7.79801325] ; [137.79801325   7.20198675],0
b3,1,0.026979,4.892145,[19 69] ; [34 59],[25.7679558 62.2320442] ; [27.2320442 65.7679558],0
b2,1,0.026979,4.892145,[19 69] ; [34 59],[25.7679558 62.2320442] ; [27.2320442 65.7679558],0
a7,1,0.0347,4.459888,[119  40] ; [93 53],[110.51803279  48.48196721] ; [101.48196721  44.51803279],0
s7,1,0.068909,3.308812,[81 72] ; [87 50],[88.63448276 64.36551724] ; [79.36551724 57.63448276],0
a3,1,0.075097,3.167936,[105  54] ; [110  36],[112.08196721  46.91803279] ; [102.91803279  43.08196721],0
u4,1,0.07903,3.084728,[  1 158] ; [  5 141],[  3.12786885 155.87213115] ; [  2.87213115 143.12786885],0
p8,1,0.082212,3.020622,[ 55 102] ; [65 80],[62.38410596 94.61589404] ; [57.61589404 87.38410596],0
p9,1,0.087298,2.923498,[121  36] ; [123  22],[126.84768212  30.15231788] ; [117.15231788  27.84768212],0
n4,1,0.096388,2.76431,[109  50] ; [111  33],[115.44554455  43.55445545] ; [104.55445545  39.44554455],0
b4,1,0.098252,2.733691,[104  55] ; [82 64],[96.96393443 62.03606557] ; [89.03606557 56.96393443],0
p1,1,0.105648,2.618146,[  6 151] ; [ 12 134],[  9.32673267 147.67326733] ; [  8.67326733 137.32673267],0
b5,1,0.107992,2.583356,[88 71] ; [94 52],[94.87868852 64.12131148] ; [87.12131148 58.87868852],0
s6,1,0.120222,2.414425,[118  39] ; [118  25],[123.50666667  33.49333333] ; [112.49333333  30.50666667],0
p3,1,0.13063,2.285004,[59 99] ; [67 79],[65.48684211 92.51315789] ; [60.51315789 85.48684211],0
r4,1,0.132647,2.261245,[136  23] ; [133  13],[140.23278689  18.76721311] ; [128.76721311  17.23278689],0
a2,1,0.172475,1.861299,[ 30 129] ; [ 37 109],[ 34.92786885 124.07213115] ; [ 32.07213115 113.92786885],0
a4,1,0.190108,1.71678,[ 58 101] ; [64 82],[63.6 95.4] ; [58.4 87.6],0
n6,1,0.192346,1.699557,[120  38] ; [119  26],[124.62706271  33.37293729] ; [114.37293729  30.62706271],0
p11,1,0.207608,1.588027,[113  46] ; [113  33],[117.81639344  41.18360656] ; [108.18360656  37.81639344],0
a5,1,0.208199,1.583909,[106  53] ; [107  39],[111.03934426  47.96065574] ; [101.96065574  44.03934426],0
p10,1,0.212679,1.553098,[119  39] ; [117  27],[123.47019868  34.52980132] ; [112.52980132  31.47019868],0
a6,1,0.222911,1.485532,[110  48] ; [92 54],[104.98684211  53.01315789] ; [97.01315789 48.98684211],0
n2,1,0.259591,1.270938,[30 12] ; [32  7],[32.14814815  9.85185185] ; [29.85185185  9.14814815],0
u2,1,0.274623,1.193509,[25 27] ; [21 14],[27.49425287 24.50574713] ; [18.50574713 16.49425287],0
r3,1,0.279513,1.169458,[147  11] ; [140   6],[149.16447368   8.83552632] ; [137.83552632   8.16447368],0
u3,1,0.304447,1.054613,[29 23] ; [24 12],[31.31818182 20.68181818] ; [21.68181818 14.31818182],0
a8,1,0.354752,0.856384,[ 18 128] ; [ 22 114],[ 20.70921986 125.29078014] ; [ 19.29078014 116.70921986],0
p4,1,0.395157,0.723014,[74 84] ; [75 70],[77.69636964 80.30363036] ; [71.30363036 73.69636964],0
u1,1,0.427091,0.630721,[ 23 136] ; [ 26 120],[ 25.5442623 133.4557377] ; [ 23.4557377 122.5442623],0
r1,1,0.433691,0.61292,[124  34] ; [119  26],[126.71287129  31.28712871] ; [116.28712871  28.71287129],0
d2,1,0.459775,0.546443,[68 90] ; [69 77],[71.20394737 86.79605263] ; [65.79605263 80.20394737],0
s4,1,0.489678,0.477233,[ 37 122] ; [ 29 116],[ 34.51973684 124.48026316] ; [ 31.48026316 113.51973684],0
n1,1,0.519074,0.415733,[16 25] ; [18 21],[17.425 23.575] ; [16.575 22.425],0
a1,1,0.651633,0.203848,[  5 154] ; [  6 140],[  5.73442623 153.26557377] ; [  5.26557377 140.73442623],0
