Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,1e-06,24.701333,[14 78] ; [17 10],[23.96638655 68.03361345] ; [ 7.03361345 19.96638655],1
p6,1,8.6e-05,15.432194,[ 5 86] ; [ 9 18],[10.79661017 80.20338983] ; [ 3.20338983 23.79661017],1
p8,1,0.000187,13.95301,[12 81] ; [12 14],[18.75630252 74.24369748] ; [ 5.24369748 20.75630252],1
p7,1,0.001197,10.494668,[16 75] ; [13 14],[22.36440678 68.63559322] ; [ 6.63559322 20.36440678],0
v2,1,0.003148,8.719694,[28 61] ; [16  9],[34.35087719 54.64912281] ; [ 9.64912281 15.35087719],0
s6,1,0.003609,8.470686,[21 71] ; [14 13],[27.05882353 64.94117647] ; [ 7.94117647 19.05882353],0
p5,1,0.003964,8.300412,[ 3 90] ; [ 5 21],[ 6.25210084 86.74789916] ; [ 1.74789916 24.25210084],0
s1,1,0.01434,5.995777,[ 4 88] ; [ 5 22],[ 6.95798319 85.04201681] ; [ 2.04201681 24.95798319],0
r3,1,0.017617,5.633816,[60 32] ; [24  3],[64.94117647 27.05882353] ; [19.05882353  7.94117647],0
s5,1,0.021416,5.292614,[ 9 81] ; [ 7 18],[12.52173913 77.47826087] ; [ 3.47826087 21.52173913],0
r4,1,0.040468,4.198155,[52 41] ; [21  6],[56.575 36.425] ; [16.425 10.575],0
p11,1,0.05385,3.717358,[39 54] ; [17 10],[43.4 49.6] ; [12.6 14.4],0
a3,1,0.073127,3.211399,[58 33] ; [12 15],[53.98305085 37.01694915] ; [16.01694915 10.98305085],0
u2,1,0.084406,2.977946,[13 22] ; [9 5],[15.71428571 19.28571429] ; [6.28571429 7.71428571],0
a2,1,0.11693,2.457964,[19 74] ; [ 2 25],[16.275 76.725] ; [ 4.725 22.275],0
v1,1,0.13947,2.183802,[19 73] ; [ 9 17],[21.83050847 70.16949153] ; [ 6.16949153 19.83050847],0
v4,1,0.157704,1.996108,[62 30] ; [22  5],[64.94117647 27.05882353] ; [19.05882353  7.94117647],0
u3,1,0.193493,1.690821,[14 21] ; [9 6],[16.1 18.9] ; [6.9 8.1],0
r1,1,0.255408,1.293478,[50 42] ; [18  9],[52.57142857 39.42857143] ; [15.42857143 11.57142857],0
s8,1,0.257468,1.282321,[15 77] ; [ 7 20],[17.00840336 74.99159664] ; [ 4.99159664 22.00840336],0
p9,1,0.259177,1.273147,[38 50] ; [15 12],[40.55652174 47.44347826] ; [12.44347826 14.55652174],0
a6,1,0.264162,1.246811,[56 37] ; [13 14],[53.475 39.525] ; [15.525 11.475],0
p12,1,0.338444,0.916316,[ 3 90] ; [ 2 25],[ 3.875 89.125] ; [ 1.125 25.875],0
n4,1,0.360489,0.836188,[60 32] ; [15 12],[57.98319328 34.01680672] ; [17.01680672  9.98319328],0
v3,1,0.361417,0.832964,[24 66] ; [ 9 16],[25.82608696 64.17391304] ; [ 7.17391304 17.82608696],0
n3,1,0.408084,0.684376,[19 18] ; [6 3],[20.10869565 16.89130435] ; [4.89130435 4.10869565],0
d5,1,0.445087,0.583133,[58 35] ; [19  8],[59.675 33.325] ; [17.325  9.675],0
s7,1,0.483096,0.491865,[20 69] ; [ 4 21],[18.73684211 70.26315789] ; [ 5.26315789 19.73684211],0
a8,1,0.529682,0.395001,[ 7 81] ; [ 3 22],[ 7.78761062 80.21238938] ; [ 2.21238938 22.78761062],0
r2,1,0.529947,0.394494,[71 18] ; [23  4],[72.12068966 16.87931034] ; [21.87931034  5.12068966],0
p10,1,0.556134,0.346443,[38 53] ; [13 14],[39.33050847 51.66949153] ; [11.66949153 15.33050847],0
n6,1,0.560686,0.338518,[58 34] ; [18  8],[59.25423729 32.74576271] ; [16.74576271  9.25423729],0
b4,1,0.566304,0.328906,[54 39] ; [14 13],[52.7 40.3] ; [15.3 11.7],0
b1,1,0.577166,0.310839,[46 47] ; [15 12],[47.275 45.725] ; [13.725 13.275],0
s3,1,0.586702,0.295524,[16 75] ; [ 6 21],[16.96610169 74.03389831] ; [ 5.03389831 21.96610169],0
u1,1,0.609991,0.260189,[10 83] ; [ 2 25],[ 9.3 83.7] ; [ 2.7 24.3],0
a1,1,0.609991,0.260189,[10 83] ; [ 2 25],[ 9.3 83.7] ; [ 2.7 24.3],0
a7,1,0.620667,0.244931,[56 36] ; [15 12],[54.8907563 37.1092437] ; [16.1092437 10.8907563],0
a4,1,0.660982,0.192333,[38 53] ; [10 17],[37.01694915 53.98305085] ; [10.98305085 16.01694915],0
b5,1,0.717983,0.130434,[48 45] ; [15 12],[48.825 44.175] ; [14.175 12.825],0
b2,1,0.736705,0.113043,[24 36] ; [ 8 10],[24.61538462 35.38461538] ; [ 7.38461538 10.61538462],0
b3,1,0.736705,0.113043,[24 36] ; [ 8 10],[24.61538462 35.38461538] ; [ 7.38461538 10.61538462],0
d4,1,0.749324,0.1021,[65 28] ; [18  9],[64.325 28.675] ; [18.675  8.325],0
n2,1,0.763753,0.090334,[25 16] ; [5 4],[24.6 16.4] ; [5.4 3.6],0
d2,1,0.776938,0.080266,[41 50] ; [13 14],[41.6440678 49.3559322] ; [12.3559322 14.6440678],0
d3,1,0.826955,0.04779,[47 46] ; [13 14],[46.5 46.5] ; [13.5 13.5],0
p1,1,0.843249,0.039101,[ 8 85] ; [ 2 25],[ 7.75 85.25] ; [ 2.25 24.75],0
d1,1,0.869315,0.02707,[43 50] ; [12 15],[42.625 50.375] ; [12.375 14.625],0
n5,1,0.91159,0.012328,[59 33] ; [17 10],[58.75630252 33.24369748] ; [17.24369748  9.75630252],0
n1,1,0.917645,0.010692,[19 22] ; [4 5],[18.86 22.14] ; [4.14 4.86],0
a5,1,0.928886,0.007965,[56 37] ; [16 11],[55.8 37.2] ; [16.2 10.8],0
s4,1,0.953583,0.003388,[11 81] ; [ 3 23],[10.91525424 81.08474576] ; [ 3.08474576 22.91525424],0
