Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,49.019608,[43  7] ; [ 8 42],[25.5 24.5] ; [25.5 24.5],1
p11,1,1e-06,24.661509,[40 11] ; [15 36],[27.5 23.5] ; [27.5 23.5],1
r3,1,0.000302,13.056039,[47  4] ; [31 19],[39.38613861 11.61386139] ; [38.61386139 11.38613861],1
v4,1,0.001697,9.851711,[46  5] ; [32 18],[39.38613861 11.61386139] ; [38.61386139 11.38613861],0
r4,1,0.005133,7.831895,[42  9] ; [29 22],[35.5 15.5] ; [35.5 15.5],0
s8,1,0.00596,7.562269,[18 33] ; [ 6 44],[12.11881188 38.88118812] ; [11.88118812 38.11881188],0
p4,1,0.011296,6.418156,[19 31] ; [ 8 43],[13.36633663 36.63366337] ; [13.63366337 37.36633663],0
n6,1,0.018898,5.51091,[38 13] ; [26 24],[32.31683168 18.68316832] ; [31.68316832 18.31683168],0
v2,1,0.030647,4.672614,[24 24] ; [14 35],[18.80412371 29.19587629] ; [19.19587629 29.80412371],0
p8,1,0.043584,4.072604,[17 34] ; [ 8 42],[12.62376238 38.37623762] ; [12.37623762 37.62376238],0
p12,1,0.050205,3.834586,[ 6 45] ; [ 1 50],[ 3.5 47.5] ; [ 3.5 47.5],0
s4,1,0.075034,3.169309,[13 38] ; [ 6 45],[ 9.5 41.5] ; [ 9.5 41.5],0
v1,1,0.085331,2.960314,[23 27] ; [15 36],[18.81188119 31.18811881] ; [19.18811881 31.81188119],0
n5,1,0.095581,2.777778,[36 14] ; [28 22],[32. 18.] ; [32. 18.],0
n3,1,0.100582,2.696287,[11  2] ; [9 7],[8.96551724 4.03448276] ; [11.03448276  4.96551724],0
s5,1,0.106758,2.601568,[13 34] ; [ 7 42],[ 9.79166667 37.20833333] ; [10.20833333 38.79166667],0
p1,1,0.110472,2.547453,[ 8 43] ; [ 3 48],[ 5.5 45.5] ; [ 5.5 45.5],0
b2,1,0.128403,2.31171,[ 7 20] ; [14 17],[ 9.77586207 17.22413793] ; [11.22413793 19.77586207],0
b3,1,0.128403,2.31171,[ 7 20] ; [14 17],[ 9.77586207 17.22413793] ; [11.22413793 19.77586207],0
a7,1,0.133772,2.248181,[28 23] ; [20 30],[24.23762376 26.76237624] ; [23.76237624 26.23762376],0
s2,1,0.161429,1.960784,[21 28] ; [15 36],[17.64 31.36] ; [18.36 32.64],0
a5,1,0.165358,1.924528,[28 23] ; [21 30],[24.5 26.5] ; [24.5 26.5],0
a6,1,0.165684,1.921569,[29 22] ; [22 29],[25.5 25.5] ; [25.5 25.5],0
s7,1,0.179359,1.802925,[13 34] ; [ 8 41],[10.28125 36.71875] ; [10.71875 38.28125],0
s6,1,0.229766,1.442308,[27 23] ; [21 29],[24. 26.] ; [24. 26.],0
a1,1,0.294975,1.096774,[ 3 48] ; [ 6 45],[ 4.5 46.5] ; [ 4.5 46.5],0
s3,1,0.302133,1.064754,[22 27] ; [17 32],[19.5 29.5] ; [19.5 29.5],0
b5,1,0.316074,1.005124,[32 19] ; [27 24],[29.5 21.5] ; [29.5 21.5],0
u2,1,0.349453,0.875441,[14 11] ; [13 17],[12.27272727 12.72727273] ; [14.72727273 15.27272727],0
a4,1,0.379067,0.773725,[14 37] ; [10 40],[12.11881188 38.88118812] ; [11.88118812 38.11881188],0
p5,1,0.399703,0.70922,[ 4 46] ; [ 2 48],[ 3. 47.] ; [ 3. 47.],0
a3,1,0.415858,0.661991,[26 25] ; [21 28],[23.97 27.03] ; [23.03 25.97],0
p6,1,0.45138,0.567185,[10 41] ; [ 7 43],[ 8.58415842 42.41584158] ; [ 8.41584158 41.58415842],0
p7,1,0.477267,0.505102,[18 31] ; [15 35],[16.33333333 32.66666667] ; [16.66666667 33.33333333],0
r1,1,0.488885,0.47898,[33 18] ; [29 21],[31.30693069 19.69306931] ; [30.69306931 19.30693069],0
p3,1,0.510212,0.433632,[16 35] ; [13 38],[14.5 36.5] ; [14.5 36.5],0
d3,1,0.649542,0.206478,[14 37] ; [12 39],[13. 38.] ; [13. 38.],0
d2,1,0.667455,0.184594,[10 40] ; [12 39],[10.89108911 39.10891089] ; [11.10891089 39.89108911],0
b4,1,0.691555,0.157407,[26 25] ; [28 23],[27. 24.] ; [27. 24.],0
b1,1,0.692005,0.156923,[25 26] ; [27 24],[26. 25.] ; [26. 25.],0
u3,1,0.693612,0.155203,[13 12] ; [14 16],[12.27272727 12.72727273] ; [14.72727273 15.27272727],0
n4,1,0.749091,0.102296,[29 22] ; [30 20],[29.79207921 21.20792079] ; [29.20792079 20.79207921],0
s1,1,0.766199,0.088417,[ 6 44] ; [ 7 43],[ 6.5 43.5] ; [ 6.5 43.5],0
r2,1,0.767087,0.087727,[41 10] ; [39 11],[40.3960396 10.6039604] ; [39.6039604 10.3960396],0
v3,1,0.830745,0.045688,[16 33] ; [17 32],[16.5 32.5] ; [16.5 32.5],0
d5,1,0.838549,0.041514,[19 32] ; [20 31],[19.5 31.5] ; [19.5 31.5],0
d4,1,0.842903,0.039276,[24 27] ; [25 26],[24.5 26.5] ; [24.5 26.5],0
n1,1,0.880438,0.022624,[5 7] ; [ 8 10],[5.2 6.8] ; [ 7.8 10.2],0
a8,1,0.9108,0.012551,[ 6 45] ; [ 6 42],[ 6.18181818 44.81818182] ; [ 5.81818182 42.18181818],0
u1,1,1.0,0.0,[ 1 50] ; [ 1 50],[ 1. 50.] ; [ 1. 50.],0
a2,1,1.0,0.0,[ 2 49] ; [ 2 49],[ 2. 49.] ; [ 2. 49.],0
