Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,28.37026,[57  6] ; [10 17],[46.9 16.1] ; [20.1  6.9],1
s4,1,0.000151,14.357779,[ 9 55] ; [14 13],[16.17582418 47.82417582] ; [ 6.82417582 20.17582418],1
n6,1,0.02991,4.714479,[54  9] ; [17  9],[50.25842697 12.74157303] ; [20.74157303  5.25842697],0
p4,1,0.040013,4.217351,[41 23] ; [11 16],[36.57142857 27.42857143] ; [15.42857143 11.57142857],0
n1,1,0.073974,3.19256,[17 10] ; [3 7],[14.59459459 12.40540541] ; [5.40540541 4.59459459],0
b1,1,0.08301,3.004952,[41 23] ; [12 15],[37.27472527 26.72527473] ; [15.72527473 11.27472527],0
a6,1,0.098648,2.727273,[35 28] ; [20  7],[38.5 24.5] ; [16.5 10.5],0
a7,1,0.104106,2.641486,[44 20] ; [23  4],[47.12087912 16.87912088] ; [19.87912088  7.12087912],0
r1,1,0.122823,2.380952,[55  8] ; [20  7],[52.5 10.5] ; [22.5  4.5],0
s5,1,0.166461,1.91453,[25 35] ; [14 10],[27.85714286 32.14285714] ; [11.14285714 12.85714286],0
d5,1,0.167546,1.904762,[48 15] ; [24  3],[50.4 12.6] ; [21.6  5.4],0
s1,1,0.179056,1.805439,[ 8 53] ; [ 1 26],[ 6.23863636 54.76136364] ; [ 2.76136364 24.23863636],0
r3,1,0.192419,1.699001,[55  8] ; [26  1],[56.7  6.3] ; [24.3  2.7],0
p2,1,0.250583,1.320053,[50 14] ; [18  9],[47.82417582 16.17582418] ; [20.17582418  6.82417582],0
n2,1,0.279528,1.169383,[21  6] ; [6 4],[19.7027027  7.2972973] ; [7.2972973 2.7027027],0
p8,1,0.296596,1.089436,[26 37] ; [ 8 19],[23.8 39.2] ; [10.2 16.8],0
v1,1,0.302802,1.061814,[36 28] ; [12 15],[33.75824176 30.24175824] ; [14.24175824 12.75824176],0
v2,1,0.326565,0.96247,[31 33] ; [15 10],[33.07865169 30.92134831] ; [12.92134831 12.07865169],0
v3,1,0.34522,0.890951,[24 38] ; [ 7 18],[22.09195402 39.90804598] ; [ 8.90804598 16.09195402],0
s8,1,0.364391,0.822702,[42 22] ; [15 12],[40.08791209 23.91208791] ; [16.91208791 10.08791209],0
u2,1,0.408451,0.683304,[8 9] ; [4 2],[8.86956522 8.13043478] ; [3.13043478 2.86956522],0
d4,1,0.420776,0.648148,[49 14] ; [23  4],[50.4 12.6] ; [21.6  5.4],0
n3,1,0.426763,0.631616,[15 12] ; [7 3],[16.05405405 10.94594595] ; [5.94594595 4.05405405],0
p9,1,0.465218,0.533312,[49 14] ; [22  4],[50.25842697 12.74157303] ; [20.74157303  5.25842697],0
a1,1,0.470616,0.520528,[ 5 59] ; [ 1 26],[ 4.21978022 59.78021978] ; [ 1.78021978 25.21978022],0
p10,1,0.496679,0.462024,[39 23] ; [19  8],[40.40449438 21.59550562] ; [17.59550562  9.40449438],0
