Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,3e-06,22.091741,[16 32] ; [34  7],[26.96629213 21.03370787] ; [23.03370787 17.96629213],1
s6,1,0.00419,8.199747,[27 20] ; [35  6],[33.11363636 13.88636364] ; [28.88636364 12.11363636],0
p3,1,0.010553,6.539121,[21 27] ; [29 12],[26.96629213 21.03370787] ; [23.03370787 17.96629213],0
n4,1,0.016467,5.752322,[41  7] ; [26 15],[36.13483146 11.86516854] ; [30.86516854 10.13483146],0
s5,1,0.02196,5.248917,[ 8 36] ; [16 23],[12.72289157 31.27710843] ; [11.27710843 27.72289157],0
a8,1,0.072986,3.214561,[10 36] ; [ 3 36],[ 7.03529412 38.96470588] ; [ 5.96470588 33.03529412],0
b4,1,0.094515,2.795737,[34 14] ; [22 19],[30.20224719 17.79775281] ; [25.79775281 15.20224719],0
p1,1,0.117144,2.455102,[ 1 47] ; [ 4 37],[ 2.69662921 45.30337079] ; [ 2.30337079 38.69662921],0
d4,1,0.12558,2.346306,[36 12] ; [36  5],[38.83146067  9.16853933] ; [33.16853933  7.83146067],0
v4,1,0.134621,2.238385,[43  5] ; [40  1],[44.76404494  3.23595506] ; [38.23595506  2.76404494],0
p12,1,0.169723,1.885388,[ 2 45] ; [ 5 36],[ 3.73863636 43.26136364] ; [ 3.26136364 37.73863636],0
a4,1,0.188893,1.726229,[23 25] ; [14 27],[19.95505618 28.04494382] ; [17.04494382 23.95505618],0
a6,1,0.224384,1.476113,[28 20] ; [29 12],[30.74157303 17.25842697] ; [26.25842697 14.74157303],0
d3,1,0.224384,1.476113,[28 20] ; [29 12],[30.74157303 17.25842697] ; [26.25842697 14.74157303],0
a2,1,0.240741,1.376252,[ 7 41] ; [10 31],[ 9.16853933 38.83146067] ; [ 7.83146067 33.16853933],0
p10,1,0.277877,1.177443,[38 10] ; [36  5],[39.91011236  8.08988764] ; [34.08988764  6.91011236],0
n1,1,0.317311,1.0,[4 5] ; [2 7],[3. 6.] ; [3. 6.],0
p7,1,0.343713,0.896532,[33 15] ; [23 16],[30.89655172 17.10344828] ; [25.10344828 13.89655172],0
r2,1,0.349765,0.874309,[43  5] ; [38  2],[44.18181818  3.81818182] ; [36.81818182  3.18181818],0
p11,1,0.359421,0.839915,[43  5] ; [34  7],[41.52808989  6.47191011] ; [35.47191011  5.52808989],0
s4,1,0.365114,0.820226,[ 6 42] ; [ 8 33],[ 7.5505618 40.4494382] ; [ 6.4494382 34.5505618],0
p5,1,0.387052,0.748184,[ 3 45] ; [ 1 40],[ 2.15730337 45.84269663] ; [ 1.84269663 39.15730337],0
r1,1,0.391846,0.733206,[40  7] ; [32  9],[38.45454545  8.54545455] ; [33.54545455  7.45454545],0
d2,1,0.398901,0.711637,[30 18] ; [22 19],[28.04494382 19.95505618] ; [23.95505618 17.04494382],0
u2,1,0.514863,0.424172,[11  7] ; [8 8],[10.05882353  7.94117647] ; [8.94117647 7.05882353],0
b1,1,0.517433,0.419006,[22 26] ; [16 25],[20.49438202 27.50561798] ; [17.50561798 23.49438202],0
d1,1,0.537321,0.380528,[31 17] ; [29 12],[32.35955056 15.64044944] ; [27.64044944 13.35955056],0
p6,1,0.539593,0.376294,[18 30] ; [18 23],[19.41573034 28.58426966] ; [16.58426966 24.41573034],0
p9,1,0.551596,0.354465,[40  8] ; [36  5],[40.98876404  7.01123596] ; [35.01123596  5.98876404],0
d5,1,0.551596,0.354465,[40  8] ; [36  5],[40.98876404  7.01123596] ; [35.01123596  5.98876404],0
a5,1,0.57586,0.312975,[35 13] ; [32  9],[36.13483146 11.86516854] ; [30.86516854 10.13483146],0
p4,1,0.624728,0.239278,[28 20] ; [26 15],[29.12359551 18.87640449] ; [24.87640449 16.12359551],0
s1,1,0.626209,0.237237,[ 2 44] ; [ 1 40],[ 1.5862069 44.4137931] ; [ 1.4137931 39.5862069],0
