Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,29.018163,[ 8 29] ; [57 19],[21.28318584 15.71681416] ; [43.71681416 32.28318584],1
r2,1,0.000308,13.019946,[27 10] ; [73  3],[32.74336283  4.25663717] ; [67.25663717  8.74336283],1
r4,1,0.000764,11.326558,[21 16] ; [65 11],[28.15929204  8.84070796] ; [57.84070796 18.15929204],1
a5,1,0.004273,8.164134,[16 21] ; [54 22],[22.92035398 14.07964602] ; [47.07964602 28.92035398],0
v3,1,0.006369,7.44285,[ 5 31] ; [30 46],[11.25 24.75] ; [23.75 52.25],0
p11,1,0.011071,6.45396,[12 25] ; [44 32],[18.33628319 18.66371681] ; [37.66371681 38.33628319],0
n6,1,0.028026,4.826485,[20 17] ; [56 19],[25.10714286 11.89285714] ; [50.89285714 24.10714286],0
v1,1,0.032615,4.565888,[ 8 29] ; [32 44],[13.09734513 23.90265487] ; [26.90265487 49.09734513],0
r1,1,0.050556,3.822932,[24 13] ; [62 14],[28.15929204  8.84070796] ; [57.84070796 18.15929204],0
s4,1,0.077248,3.121875,[ 8 29] ; [ 7 67],[ 5. 32.] ; [10. 64.],0
n2,1,0.077871,3.108784,[ 9 10] ; [17  6],[11.76190476  7.23809524] ; [14.23809524  8.76190476],0
u1,1,0.084239,2.981154,[ 3 34] ; [16 60],[ 6.22123894 30.77876106] ; [12.77876106 63.22123894],0
a4,1,0.119594,2.422631,[10 27] ; [32 44],[13.75221239 23.24778761] ; [28.24778761 47.75221239],0
n1,1,0.145946,2.114122,[ 6 14] ; [11 10],[ 8.29268293 11.70731707] ; [ 8.70731707 12.29268293],0
a6,1,0.159002,1.983689,[23 14] ; [57 19],[26.19469027 10.80530973] ; [53.80530973 22.19469027],0
s1,1,0.161352,1.961514,[ 4 33] ; [ 3 72],[ 2.3125 34.6875] ; [ 4.6875 70.3125],0
b3,1,0.201025,1.634913,[ 5 18] ; [17 29],[ 7.33333333 15.66666667] ; [14.66666667 31.33333333],0
b2,1,0.201025,1.634913,[ 5 18] ; [17 29],[ 7.33333333 15.66666667] ; [14.66666667 31.33333333],0
p2,1,0.227909,1.453866,[20 17] ; [50 26],[22.92035398 14.07964602] ; [47.07964602 28.92035398],0
a3,1,0.299244,1.077558,[22 15] ; [52 23],[24.44642857 12.55357143] ; [49.55357143 25.44642857],0
s3,1,0.303655,1.058076,[13 24] ; [34 41],[15.52678571 21.47321429] ; [31.47321429 43.52678571],0
p3,1,0.304856,1.052831,[ 9 27] ; [26 49],[11.35135135 24.64864865] ; [23.64864865 51.35135135],0
p10,1,0.314271,1.012642,[ 8 29] ; [23 52],[10.24107143 26.75892857] ; [20.75892857 54.24107143],0
a8,1,0.346303,0.886957,[ 2 32] ; [ 8 60],[ 3.33333333 30.66666667] ; [ 6.66666667 61.33333333],0
a2,1,0.386877,0.748734,[ 7 30] ; [20 56],[ 8.84070796 28.15929204] ; [18.15929204 57.84070796],0
r3,1,0.388947,0.742232,[31  6] ; [68  8],[32.4159292  4.5840708] ; [66.5840708  9.4159292],0
s7,1,0.403999,0.696392,[ 9 27] ; [23 47],[10.86792453 25.13207547] ; [21.13207547 48.86792453],0
d3,1,0.414424,0.666073,[24 13] ; [55 21],[25.86725664 11.13274336] ; [53.13274336 22.86725664],0
u3,1,0.440059,0.596128,[10  5] ; [13 11],[8.84615385 6.15384615] ; [14.15384615  9.84615385],0
p1,1,0.472003,0.517283,[ 2 35] ; [ 7 68],[ 2.97321429 34.02678571] ; [ 6.02678571 68.97321429],0
v2,1,0.500009,0.454918,[15 22] ; [35 39],[16.66666667 20.33333333] ; [33.33333333 40.66666667],0
