Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.000511,12.074062,[13 13] ; [67 13],[19.62264151  6.37735849] ; [60.37735849 19.62264151],1
a6,1,0.00854,6.916512,[10 16] ; [54 26],[15.69811321 10.30188679] ; [48.30188679 31.69811321],0
d3,1,0.034364,4.476495,[15 11] ; [63 17],[19.13207547  6.86792453] ; [58.86792453 21.13207547],0
p3,1,0.041607,4.151122,[18  8] ; [37 43],[13.49056604 12.50943396] ; [41.50943396 38.49056604],0
n6,1,0.042139,4.129619,[12 14] ; [54 25],[16.34285714  9.65714286] ; [49.65714286 29.34285714],0
r2,1,0.054807,3.687943,[21  5] ; [73  5],[23.5  2.5] ; [70.5  7.5],0
b1,1,0.056889,3.625821,[12 14] ; [21 59],[ 8.09433962 17.90566038] ; [24.90566038 55.09433962],0
p1,1,0.057875,3.59725,[ 5 21] ; [ 5 72],[ 2.52427184 23.47572816] ; [ 7.47572816 69.52427184],0
r1,1,0.080139,3.062088,[16 10] ; [63 17],[19.37735849  6.62264151] ; [59.62264151 20.37735849],0
p10,1,0.164914,1.928582,[16 10] ; [59 19],[18.75  7.25] ; [56.25 21.75],0
n1,1,0.168598,1.895363,[3 3] ; [ 4 15],[1.68 4.32] ; [ 5.32 13.68],0
p4,1,0.171658,1.868407,[17  9] ; [40 40],[13.98113208 12.01886792] ; [43.01886792 36.98113208],0
r4,1,0.190613,1.712874,[20  6] ; [70 10],[22.0754717  3.9245283] ; [67.9245283 12.0754717],0
u2,1,0.235541,1.407087,[9 4] ; [17 17],[7.19148936 5.80851064] ; [18.80851064 15.19148936],0
r3,1,0.243511,1.360151,[23  3] ; [76  4],[24.28301887  1.71698113] ; [74.71698113  5.28301887],0
s6,1,0.248577,1.331285,[18  8] ; [44 34],[15.5 10.5] ; [46.5 31.5],0
d5,1,0.254339,1.299312,[18  8] ; [64 16],[20.11320755  5.88679245] ; [61.88679245 18.11320755],0
d1,1,0.260472,1.266244,[11 15] ; [44 36],[13.49056604 12.50943396] ; [41.50943396 38.49056604],0
v1,1,0.27628,1.1853,[ 8 18] ; [33 44],[10.34951456 15.65048544] ; [30.65048544 46.34951456],0
n2,1,0.278273,1.175503,[3 3] ; [14  5],[4.08 1.92] ; [12.92  6.08],0
p2,1,0.283858,1.148524,[20  6] ; [67 11],[21.75  4.25] ; [65.25 12.75],0
s2,1,0.391845,0.73321,[12 14] ; [29 50],[10.15238095 15.84761905] ; [30.84761905 48.15238095],0
s4,1,0.392315,0.731755,[ 5 21] ; [10 70],[ 3.67924528 22.32075472] ; [11.32075472 68.67924528],0
p5,1,0.403161,0.698878,[ 1 25] ; [ 7 72],[ 1.98095238 24.01904762] ; [ 6.01904762 72.98095238],0
