Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,5e-05,16.463727,[243  26] ; [27 13],[235.04854369  33.95145631] ; [34.95145631  5.04854369],1
s5,1,0.00046,12.273107,[ 94 167] ; [25 13],[103.87625418 157.12374582] ; [15.12374582 22.87625418],1
n5,1,0.001173,10.53226,[239  30] ; [28 12],[232.4368932  36.5631068] ; [34.5631068  5.4368932],0
s6,1,0.00979,6.672722,[183  81] ; [34  4],[189.69536424  74.30463576] ; [27.30463576 10.69536424],0
s3,1,0.036544,4.371535,[148 113] ; [29 10],[153.99 107.01] ; [23.01 15.99],0
s2,1,0.037812,4.313447,[144 122] ; [28 11],[150.00655738 115.99344262] ; [21.99344262 17.00655738],0
s7,1,0.051094,3.80519,[147 103] ; [30 10],[152.5862069  97.4137931] ; [24.4137931 15.5862069],0
v1,1,0.069164,3.30274,[184  81] ; [22 18],[178.98360656  86.01639344] ; [27.01639344 12.98360656],0
n1,1,0.144839,2.125782,[18 28] ; [ 2 10],[15.86206897 30.13793103] ; [4.13793103 7.86206897],0
b2,1,0.171416,1.870518,[ 76 103] ; [ 6 16],[ 73.02487562 105.97512438] ; [ 8.97512438 13.02487562],0
b3,1,0.171416,1.870518,[ 76 103] ; [ 6 16],[ 73.02487562 105.97512438] ; [ 8.97512438 13.02487562],0
d3,1,0.214243,1.542524,[189  79] ; [32  8],[192.2987013  75.7012987] ; [28.7012987 11.2987013],0
a8,1,0.217514,1.520696,[ 39 201] ; [ 3 33],[ 36.52173913 203.47826087] ; [ 5.47826087 30.52173913],0
r4,1,0.22332,1.482907,[248  21] ; [39  1],[249.84789644  19.15210356] ; [37.15210356  2.84789644],0
a3,1,0.23863,1.388668,[204  62] ; [34  6],[206.88888889  59.11111111] ; [31.11111111  8.88888889],0
p11,1,0.336226,0.924769,[225  44] ; [31  9],[222.86084142  46.13915858] ; [33.13915858  6.86084142],0
p1,1,0.376762,0.781239,[ 33 235] ; [ 3 37],[ 31.32467532 236.67532468] ; [ 4.67532468 35.32467532],0
p2,1,0.377006,0.780442,[228  39] ; [32  8],[226.1237785  40.8762215] ; [33.8762215  6.1237785],0
p5,1,0.39264,0.730751,[ 48 219] ; [ 5 35],[ 46.09446254 220.90553746] ; [ 6.90553746 33.09446254],0
b1,1,0.402739,0.700132,[ 99 170] ; [12 28],[ 96.63106796 172.36893204] ; [14.36893204 25.63106796],0
a6,1,0.446019,0.580748,[183  84] ; [25 15],[180.8990228  86.1009772] ; [27.1009772 12.8990228],0
s8,1,0.48706,0.483015,[144 122] ; [24 16],[146.03921569 119.96078431] ; [21.96078431 18.03921569],0
v2,1,0.50333,0.447908,[211  54] ; [30 10],[209.39344262  55.60655738] ; [31.60655738  8.39344262],0
u1,1,0.509669,0.434746,[ 55 214] ; [10 30],[ 56.58576052 212.41423948] ; [ 8.41423948 31.58576052],0
p4,1,0.514893,0.424111,[173  92] ; [24 16],[171.16393443  93.83606557] ; [25.83606557 14.16393443],0
n3,1,0.559305,0.340909,[36 12] ; [8 4],[35.2 12.8] ; [8.8 3.2],0
p9,1,0.560535,0.338779,[228  36] ; [35  4],[229.14851485  34.85148515] ; [33.85148515  5.14851485],0
r1,1,0.565539,0.330204,[225  44] ; [32  8],[223.73139159  45.26860841] ; [33.26860841  6.73139159],0
p12,1,0.58192,0.30314,[ 35 232] ; [ 4 36],[ 33.91856678 233.08143322] ; [ 5.08143322 34.91856678],0
p7,1,0.600577,0.274126,[182  77] ; [29 10],[183.38590604  75.61409396] ; [27.61409396 11.38590604],0
d4,1,0.63072,0.231085,[225  41] ; [35  5],[226.0130719  39.9869281] ; [33.9869281  6.0130719],0
a2,1,0.668439,0.183434,[ 76 193] ; [10 30],[ 74.86731392 194.13268608] ; [11.13268608 28.86731392],0
