Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.00027,13.269021,[47 11] ; [ 6 11],[40.98666667 17.01333333] ; [12.01333333  4.98666667],1
n4,1,0.00239,9.222772,[46 12] ; [ 7 10],[40.98666667 17.01333333] ; [12.01333333  4.98666667],0
p11,1,0.013058,6.161258,[50  8] ; [10  7],[46.4 11.6] ; [13.6  3.4],0
v3,1,0.016082,5.793905,[26 31] ; [ 2 14],[21.8630137 35.1369863] ; [6.1369863 9.8630137],0
p8,1,0.050241,3.833413,[30 27] ; [ 4 12],[26.54794521 30.45205479] ; [7.45205479 8.54794521],0
p3,1,0.050494,3.824978,[36 22] ; [ 6 11],[32.48 25.52] ; [9.52 7.48],0
r4,1,0.052301,3.766125,[39 19] ; [ 7 10],[35.57333333 22.42666667] ; [10.42666667  6.57333333],0
b1,1,0.052301,3.766125,[19 39] ; [10  7],[22.42666667 35.57333333] ; [ 6.57333333 10.42666667],0
p9,1,0.059103,3.562391,[50  6] ; [12  5],[47.56164384  8.43835616] ; [14.43835616  2.56164384],0
p2,1,0.073022,3.213742,[49  9] ; [11  6],[46.4 11.6] ; [13.6  3.4],0
v4,1,0.075959,3.149307,[53  5] ; [12  4],[50.94594595  7.05405405] ; [14.05405405  1.94594595],0
u2,1,0.082735,3.010338,[7 8] ; [6 1],[8.86363636 6.13636364] ; [4.13636364 2.86363636],0
r3,1,0.096217,2.767149,[53  5] ; [13  4],[51.04  6.96] ; [14.96  2.04],0
a5,1,0.097967,2.738337,[40 18] ; [8 9],[37.12 20.88] ; [10.88  6.12],0
s4,1,0.130135,2.290896,[16 42] ; [8 9],[18.56 39.44] ; [ 5.44 11.56],0
u3,1,0.141407,2.162585,[8 7] ; [6 1],[9.54545455 5.45454545] ; [4.45454545 2.54545455],0
r2,1,0.145272,2.121212,[51  4] ; [12  3],[49.5  5.5] ; [13.5  1.5],0
p10,1,0.168816,1.893423,[46 11] ; [11  6],[43.90540541 13.09459459] ; [13.09459459  3.90540541],0
a3,1,0.222614,1.487441,[43 15] ; [10  7],[40.98666667 17.01333333] ; [12.01333333  4.98666667],0
p6,1,0.259679,1.270469,[28 27] ; [ 6 11],[25.97222222 29.02777778] ; [8.02777778 8.97222222],0
n1,1,0.320742,0.98592,[11 11] ; [5 2],[12.13793103  9.86206897] ; [3.86206897 3.13793103],0
b3,1,0.33038,0.947407,[19 25] ; [ 4 10],[17.44827586 26.55172414] ; [5.55172414 8.44827586],0
b2,1,0.33038,0.947407,[19 25] ; [ 4 10],[17.44827586 26.55172414] ; [5.55172414 8.44827586],0
s5,1,0.335869,0.926134,[19 33] ; [8 8],[20.64705882 31.35294118] ; [6.35294118 9.64705882],0
s8,1,0.345821,0.888734,[38 20] ; [9 8],[36.34666667 21.65333333] ; [10.65333333  6.34666667],0
p5,1,0.36673,0.814716,[ 8 49] ; [ 1 16],[ 6.93243243 50.06756757] ; [ 2.06756757 14.93243243],0
n3,1,0.418437,0.6547,[17  5] ; [5 3],[16.13333333  5.86666667] ; [5.86666667 2.13333333],0
a6,1,0.484619,0.488452,[32 26] ; [11  6],[33.25333333 24.74666667] ; [9.74666667 7.25333333],0
p4,1,0.499316,0.456389,[36 22] ; [9 8],[34.8 23.2] ; [10.2  6.8],0
s2,1,0.51988,0.414131,[36 22] ; [12  5],[37.12 20.88] ; [10.88  6.12],0
n2,1,0.535724,0.383523,[17  5] ; [7 1],[17.6  4.4] ; [6.4 1.6],0
a2,1,0.551861,0.353994,[ 7 51] ; [ 3 14],[ 7.73333333 50.26666667] ; [ 2.26666667 14.73333333],0
a4,1,0.604664,0.268018,[21 37] ; [ 5 12],[20.10666667 37.89333333] ; [ 5.89333333 11.10666667],0
s3,1,0.604664,0.268018,[37 21] ; [12  5],[37.89333333 20.10666667] ; [11.10666667  5.89333333],0
s6,1,0.654548,0.200214,[39 16] ; [13  4],[39.72222222 15.27777778] ; [12.27777778  4.72222222],0
d5,1,0.660178,0.193308,[44 14] ; [12  5],[43.30666667 14.69333333] ; [12.69333333  4.30666667],0
a7,1,0.677145,0.173357,[34 24] ; [9 8],[33.25333333 24.74666667] ; [9.74666667 7.25333333],0
d3,1,0.695424,0.153276,[31 27] ; [10  7],[31.70666667 26.29333333] ; [9.29333333 7.70666667],0
p7,1,0.709706,0.138571,[35 22] ; [9 7],[34.35616438 22.64383562] ; [9.64383562 6.35616438],0
u1,1,0.714381,0.13394,[ 5 53] ; [ 1 16],[ 4.64 53.36] ; [ 1.36 15.64],0
b4,1,0.789705,0.071126,[32 26] ; [10  7],[32.48 25.52] ; [9.52 7.48],0
a8,1,0.841132,0.040179,[ 6 50] ; [ 2 14],[ 6.22222222 49.77777778] ; [ 1.77777778 14.22222222],0
a1,1,0.8828,0.021733,[ 4 54] ; [ 1 16],[ 3.86666667 54.13333333] ; [ 1.13333333 15.86666667],0
v1,1,0.896429,0.016945,[26 28] ; [8 8],[26.22857143 27.77142857] ; [7.77142857 8.22857143],0
b5,1,0.910352,0.012677,[35 23] ; [10  7],[34.8 23.2] ; [10.2  6.8],0
d2,1,0.910352,0.012677,[23 35] ; [ 7 10],[23.2 34.8] ; [ 6.8 10.2],0
d4,1,0.923032,0.009335,[45 13] ; [13  4],[44.85333333 13.14666667] ; [13.14666667  3.85333333],0
v2,1,0.933435,0.006976,[27 29] ; [8 9],[26.84931507 29.15068493] ; [8.15068493 8.84931507],0
d1,1,0.970601,0.001358,[27 31] ; [8 9],[27.06666667 30.93333333] ; [7.93333333 9.06666667],0
p1,1,0.972918,0.001152,[ 7 51] ; [ 2 15],[ 6.96 51.04] ; [ 2.04 14.96],0
