Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a2,1,0.000855,11.11861,[ 3 43] ; [2 1],[ 4.69387755 41.30612245] ; [0.30612245 2.69387755],1
u1,1,0.002999,8.807999,[ 4 42] ; [2 1],[ 5.63265306 40.36734694] ; [0.36734694 2.63265306],0
p12,1,0.008223,6.984351,[ 1 45] ; [1 2],[ 1.87755102 44.12244898] ; [0.12244898 2.87755102],0
v3,1,0.062593,3.467322,[ 9 36] ; [2 1],[10.3125 34.6875] ; [0.6875 2.3125],0
s8,1,0.104135,2.641041,[11 35] ; [2 1],[12.20408163 33.79591837] ; [0.79591837 2.20408163],0
a4,1,0.161976,1.955683,[13 33] ; [2 1],[14.08163265 31.91836735] ; [0.91836735 2.08163265],0
d2,1,0.267031,1.231936,[16 30] ; [2 1],[16.89795918 29.10204082] ; [1.10204082 1.89795918],0
n6,1,0.410765,0.676586,[39  7] ; [2 1],[38.48979592  7.51020408] ; [2.51020408 0.48979592],0
v1,1,0.433994,0.612111,[20 26] ; [2 1],[20.65306122 25.34693878] ; [1.34693878 1.65306122],0
d1,1,0.479782,0.499358,[21 25] ; [2 1],[21.59183673 24.40816327] ; [1.40816327 1.59183673],0
b3,1,0.486339,0.484615,[ 7 19] ; [1 1],[ 7.42857143 18.57142857] ; [0.57142857 1.42857143],0
b2,1,0.486339,0.484615,[ 7 19] ; [1 1],[ 7.42857143 18.57142857] ; [0.57142857 1.42857143],0
s2,1,0.657512,0.19656,[10 35] ; [1 2],[10.3125 34.6875] ; [0.6875 2.3125],0
d3,1,0.730647,0.118519,[34 11] ; [2 1],[33.75 11.25] ; [2.25 0.75],0
n4,1,0.730823,0.118357,[26 20] ; [2 1],[26.28571429 19.71428571] ; [1.71428571 1.28571429],0
d4,1,0.782974,0.07587,[34 12] ; [2 1],[33.79591837 12.20408163] ; [2.20408163 0.79591837],0
d5,1,0.801359,0.063297,[33 12] ; [2 1],[32.8125 12.1875] ; [2.1875 0.8125],0
b5,1,0.841739,0.039868,[28 18] ; [2 1],[28.16326531 17.83673469] ; [1.83673469 1.16326531],0
p11,1,0.841739,0.039868,[28 18] ; [2 1],[28.16326531 17.83673469] ; [1.83673469 1.16326531],0
n5,1,0.899631,0.015908,[29 17] ; [2 1],[29.10204082 16.89795918] ; [1.89795918 1.10204082],0
p2,1,0.979311,0.000672,[31 15] ; [2 1],[30.97959184 15.02040816] ; [2.02040816 0.97959184],0
s7,1,1.0,0.0,[15 30] ; [1 2],[15. 30.] ; [1. 2.],0
