Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,44.710492,[22 52] ; [200  78],[46.67045455 27.32954545] ; [175.32954545 102.67045455],1
n4,1,0.0,26.5254,[35 40] ; [216  64],[53.02816901 21.97183099] ; [197.97183099  82.02816901],1
p11,1,0.000138,14.533313,[40 35] ; [213  68],[53.3005618 21.6994382] ; [199.6994382  81.3005618],1
v4,1,0.000175,14.086836,[59 16] ; [261  19],[67.6056338  7.3943662] ; [252.3943662  27.6056338],1
p9,1,0.000235,13.527793,[45 30] ; [222  54],[57.05128205 17.94871795] ; [209.94871795  66.05128205],1
p10,1,0.0003,13.073169,[43 32] ; [217  61],[55.2407932 19.7592068] ; [204.7592068  73.2407932],1
s6,1,0.000401,12.529419,[31 44] ; [176  99],[44.35714286 30.64285714] ; [162.64285714 112.35714286],1
r4,1,0.000712,11.457822,[54 21] ; [247  34],[63.41292135 11.58707865] ; [237.58707865  43.41292135],1
s7,1,0.001665,9.886876,[18 51] ; [128 144],[29.54252199 39.45747801] ; [116.45747801 155.54252199],0
s5,1,0.002506,9.136323,[ 9 61] ; [ 84 188],[19.03508772 50.96491228] ; [ 73.96491228 198.03508772],0
p2,1,0.002683,9.011331,[45 29] ; [219  62],[55.03098592 18.96901408] ; [208.96901408  72.03098592],0
s8,1,0.00542,7.733793,[16 59] ; [108 172],[26.1971831 48.8028169] ; [ 97.8028169 182.1971831],0
r3,1,0.014593,5.964953,[64 11] ; [262  17],[69.06779661  5.93220339] ; [256.93220339  22.06779661],0
u1,1,0.024614,5.050862,[ 6 69] ; [ 53 228],[12.42977528 62.57022472] ; [ 46.57022472 234.42977528],0
d5,1,0.033156,4.537712,[58 17] ; [245  36],[63.83426966 11.16573034] ; [239.16573034  41.83426966],0
a5,1,0.036392,4.37862,[46 29] ; [207  74],[53.3005618 21.6994382] ; [199.6994382  81.3005618],0
r2,1,0.040529,4.1956,[63 11] ; [256  20],[67.44571429  6.55428571] ; [251.55428571  24.44571429],0
s2,1,0.057241,3.615564,[26 49] ; [131 148],[33.26271186 41.73728814] ; [123.73728814 155.26271186],0
a3,1,0.061247,3.503284,[47 28] ; [207  74],[53.51123596 21.48876404] ; [200.48876404  80.51123596],0
p8,1,0.074669,3.177273,[25 49] ; [126 152],[31.74431818 42.25568182] ; [119.25568182 158.74431818],0
p3,1,0.074778,3.174897,[23 52] ; [118 163],[29.70505618 45.29494382] ; [111.29494382 169.70505618],0
p6,1,0.083548,2.994487,[15 59] ; [ 85 194],[20.9631728 53.0368272] ; [ 79.0368272 199.9631728],0
b3,1,0.100858,2.691931,[11 35] ; [58 99],[15.63546798 30.36453202] ; [ 53.36453202 103.63546798],0
b2,1,0.100858,2.691931,[11 35] ; [58 99],[15.63546798 30.36453202] ; [ 53.36453202 103.63546798],0
a8,1,0.101154,2.68726,[ 4 68] ; [ 32 227],[ 7.83081571 64.16918429] ; [ 28.16918429 230.83081571],0
d1,1,0.108923,2.569781,[43 32] ; [189  92],[48.87640449 26.12359551] ; [183.12359551  97.87640449],0
p4,1,0.110069,2.553226,[31 43] ; [145 132],[37.10541311 36.89458689] ; [138.89458689 138.10541311],0
u2,1,0.115059,2.483317,[20  8] ; [39 33],[16.52 11.48] ; [42.48 29.52],0
v3,1,0.135235,2.23136,[14 56] ; [ 80 197],[18.96253602 51.03746398] ; [ 75.03746398 201.96253602],0
a4,1,0.175996,1.831118,[28 47] ; [129 151],[33.16901408 41.83098592] ; [123.83098592 156.16901408],0
a2,1,0.207638,1.587822,[13 62] ; [ 68 213],[17.06460674 57.93539326] ; [ 63.93539326 217.06460674],0
p5,1,0.248909,1.329418,[ 3 72] ; [ 22 259],[ 5.26685393 69.73314607] ; [ 19.73314607 261.26685393],0
r1,1,0.253541,1.303685,[53 21] ; [219  62],[56.69859155 17.30140845] ; [215.30140845  65.69859155],0
p1,1,0.294326,1.099727,[ 3 71] ; [ 21 259],[ 5.01694915 68.98305085] ; [ 18.98305085 261.01694915],0
u3,1,0.302997,1.060957,[17 10] ; [37 35],[14.72727273 12.27272727] ; [39.27272727 32.72727273],0
b1,1,0.304446,1.054618,[34 41] ; [109 172],[30.12640449 44.87359551] ; [112.87359551 168.12640449],0
p7,1,0.312746,1.019042,[35 37] ; [152 123],[38.80115274 33.19884726] ; [148.19884726 126.80115274],0
v2,1,0.340025,0.910336,[27 45] ; [119 153],[30.55813953 41.44186047] ; [115.44186047 156.55813953],0
d2,1,0.354304,0.857984,[35 40] ; [147 132],[38.55932203 36.44067797] ; [143.44067797 135.55932203],0
n3,1,0.392551,0.731025,[14  9] ; [59 25],[15.69158879  7.30841121] ; [57.30841121 26.69158879],0
s3,1,0.465066,0.533674,[42 32] ; [144 133],[39.21367521 34.78632479] ; [146.78632479 130.21367521],0
s1,1,0.475435,0.509315,[ 4 70] ; [ 10 269],[ 2.93484419 71.06515581] ; [ 11.06515581 267.93484419],0
b5,1,0.586863,0.295269,[44 31] ; [155 126],[41.9241573 33.0758427] ; [157.0758427 123.9241573],0
u4,1,0.600838,0.273734,[ 1 74] ; [  2 279],[ 0.63202247 74.36797753] ; [  2.36797753 278.63202247],0
a1,1,0.638434,0.220796,[ 3 72] ; [ 15 266],[ 3.79213483 71.20786517] ; [ 14.20786517 266.79213483],0
n1,1,0.686441,0.162966,[ 7 16] ; [29 54],[ 7.81132075 15.18867925] ; [28.18867925 54.81132075],0
a6,1,0.690026,0.159057,[52 23] ; [188  93],[50.56179775 24.43820225] ; [189.43820225  91.56179775],0
b4,1,0.72328,0.125371,[46 29] ; [166 115],[44.66292135 30.33707865] ; [167.33707865 113.66292135],0
n2,1,0.824712,0.049057,[16  8] ; [58 26],[16.44444444  7.55555556] ; [57.55555556 26.44444444],0
s4,1,0.866111,0.028426,[15 60] ; [ 53 224],[14.48863636 60.51136364] ; [ 53.51136364 223.48863636],0
d3,1,0.874453,0.024966,[57 18] ; [216  65],[57.51404494 17.48595506] ; [215.48595506  65.51404494],0
a7,1,0.904086,0.01452,[55 20] ; [208  73],[55.40730337 19.59269663] ; [207.59269663  73.40730337],0
