Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,29.886487,[ 4 34] ; [77 49],[18.76829268 19.23170732] ; [62.23170732 63.76829268],1
r3,1,0.0,26.828466,[16 21] ; [107  19],[27.9202454  9.0797546] ; [95.0797546 30.9202454],1
p2,1,1e-06,24.785779,[11 26] ; [93 32],[23.75308642 13.24691358] ; [80.24691358 44.75308642],1
n6,1,0.000117,14.836037,[17 20] ; [99 27],[26.33128834 10.66871166] ; [89.66871166 36.33128834],1
p9,1,0.000186,13.971623,[16 20] ; [94 28],[25.06329114 10.93670886] ; [84.93670886 37.06329114],1
p10,1,0.000617,11.724113,[13 24] ; [82 41],[21.96875 15.03125] ; [73.03125 49.96875],1
r2,1,0.000685,11.530036,[18 17] ; [100  25],[25.8125  9.1875] ; [92.1875 32.8125],1
p8,1,0.001102,10.647591,[ 4 32] ; [50 74],[12.15 23.85] ; [41.85 82.15],0
n2,1,0.002731,8.979022,[5 9] ; [36 10],[9.56666667 4.43333333] ; [31.43333333 14.56666667],0
p11,1,0.003629,8.460847,[15 23] ; [83 43],[22.70731707 15.29268293] ; [75.29268293 50.70731707],0
u3,1,0.005582,7.68044,[ 1 16] ; [24 33],[ 5.74324324 11.25675676] ; [19.25675676 37.74324324],0
u2,1,0.005897,7.58143,[ 2 15] ; [28 29],[ 6.89189189 10.10810811] ; [23.10810811 33.89189189],0
s6,1,0.011405,6.401073,[ 8 30] ; [54 69],[14.63354037 23.36645963] ; [47.36645963 75.63354037],0
p7,1,0.012893,6.183687,[10 28] ; [61 63],[16.65432099 21.34567901] ; [54.34567901 69.65432099],0
p6,1,0.036672,4.365603,[ 3 33] ; [30 93],[ 7.47169811 28.52830189] ; [25.52830189 97.47169811],0
p1,1,0.040675,4.189494,[ 6 32] ; [  7 119],[ 3.01219512 34.98780488] ; [  9.98780488 116.01219512],0
s1,1,0.047446,3.929492,[ 3 35] ; [  2 124],[ 1.15853659 36.84146341] ; [  3.84146341 122.15853659],0
v1,1,0.062484,3.470204,[ 8 29] ; [47 76],[12.71875 24.28125] ; [42.28125 80.71875],0
p4,1,0.069183,3.302295,[10 28] ; [53 71],[14.77777778 23.22222222] ; [48.22222222 75.77777778],0
d2,1,0.095897,2.772492,[18 19] ; [42 83],[13.7037037 23.2962963] ; [46.2962963 78.7037037],0
b4,1,0.134919,2.234974,[26 12] ; [69 57],[22.01219512 15.98780488] ; [72.98780488 53.01219512],0
s5,1,0.158201,1.991335,[ 4 33] ; [26 97],[ 6.9375 30.0625] ; [23.0625 99.9375],0
v2,1,0.159226,1.981566,[ 9 28] ; [46 79],[12.5617284 24.4382716] ; [42.4382716 82.5617284],0
a7,1,0.1977,1.659283,[18 20] ; [74 51],[21.44785276 16.55214724] ; [70.55214724 54.44785276],0
d1,1,0.201809,1.629232,[16 22] ; [39 87],[12.74390244 25.25609756] ; [42.25609756 83.74390244],0
p3,1,0.204102,1.612773,[ 9 29] ; [43 81],[12.19753086 25.80246914] ; [39.80246914 84.19753086],0
n3,1,0.237065,1.397961,[7 7] ; [31 15],[8.86666667 5.13333333] ; [29.13333333 16.86666667],0
s2,1,0.246745,1.341642,[ 7 31] ; [35 91],[ 9.73170732 28.26829268] ; [32.26829268 93.73170732],0
v3,1,0.284271,1.146559,[ 6 31] ; [31 95],[ 8.39877301 28.60122699] ; [28.60122699 97.39877301],0
d5,1,0.292174,1.109578,[22 16] ; [84 41],[24.71165644 13.28834356] ; [81.28834356 43.71165644],0
n1,1,0.303951,1.056778,[6 8] ; [13 33],[4.43333333 9.56666667] ; [14.56666667 31.43333333],0
u1,1,0.32467,0.970043,[ 3 35] ; [  5 121],[ 1.85365854 36.14634146] ; [  6.14634146 119.85365854],0
b5,1,0.410179,0.678281,[21 17] ; [79 47],[23.17073171 14.82926829] ; [76.82926829 49.17073171],0
p5,1,0.431837,0.617879,[ 2 35] ; [ 12 114],[ 3.17791411 33.82208589] ; [ 10.82208589 115.17791411],0
d4,1,0.485973,0.485429,[23 15] ; [84 42],[24.79268293 13.20731707] ; [82.20731707 43.79268293],0
b1,1,0.490562,0.475294,[19 19] ; [55 71],[17.14634146 20.85365854] ; [56.85365854 69.14634146],0
a2,1,0.616518,0.250792,[ 4 34] ; [ 10 116],[ 3.24390244 34.75609756] ; [ 10.75609756 115.24390244],0
a1,1,0.616518,0.250792,[ 4 34] ; [ 10 116],[ 3.24390244 34.75609756] ; [ 10.75609756 115.24390244],0
a4,1,0.647072,0.209612,[10 27] ; [39 87],[11.12269939 25.87730061] ; [37.87730061 88.12269939],0
a8,1,0.678455,0.171871,[ 4 34] ; [ 10 110],[ 3.36708861 34.63291139] ; [ 10.63291139 109.36708861],0
b2,1,0.684031,0.165624,[10 15] ; [23 42],[ 9.16666667 15.83333333] ; [23.83333333 41.16666667],0
b3,1,0.684031,0.165624,[10 15] ; [23 42],[ 9.16666667 15.83333333] ; [23.83333333 41.16666667],0
p12,1,0.689156,0.160001,[ 1 37] ; [  5 119],[ 1.40740741 36.59259259] ; [  4.59259259 119.40740741],0
s4,1,0.727068,0.121821,[ 6 32] ; [ 23 103],[ 6.7195122 31.2804878] ; [ 22.2804878 103.7195122],0
s3,1,0.771724,0.08417,[11 26] ; [40 84],[11.72049689 25.27950311] ; [39.27950311 84.72049689],0
s7,1,0.803514,0.061903,[ 6 30] ; [22 97],[ 6.50322581 29.49677419] ; [21.49677419 97.50322581],0
a6,1,0.81727,0.053387,[20 18] ; [69 57],[20.62195122 17.37804878] ; [68.37804878 57.62195122],0
n4,1,0.820133,0.051699,[24 14] ; [77 49],[23.40243902 14.59756098] ; [77.59756098 48.40243902],0
a5,1,0.863766,0.029441,[19 19] ; [61 65],[18.53658537 19.46341463] ; [61.46341463 64.53658537],0
d3,1,0.879582,0.022952,[20 18] ; [67 57],[20.40740741 17.59259259] ; [66.59259259 57.40740741],0
n5,1,0.910816,0.012546,[25 13] ; [81 44],[24.71165644 13.28834356] ; [81.28834356 43.71165644],0
a3,1,0.925436,0.008759,[21 17] ; [68 57],[20.74846626 17.25153374] ; [68.25153374 56.74846626],0
