Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,0.000909,11.003571,[32 21] ; [317  77],[41.3803132 11.6196868] ; [307.6196868  86.3803132],1
a6,1,0.001539,10.03151,[26 27] ; [277 115],[36.08764045 16.91235955] ; [266.91235955 125.08764045],0
a2,1,0.002565,9.093481,[ 5 48] ; [114 280],[14.10961969 38.89038031] ; [104.89038031 289.10961969],0
a3,1,0.003098,8.748733,[31 22] ; [302  89],[39.75 13.25] ; [293.25  97.75],0
r2,1,0.003731,8.410546,[50  3] ; [389   3],[52.28539326  0.71460674] ; [386.71460674   5.28539326],0
u1,1,0.011317,6.414829,[ 4 49] ; [ 89 305],[11.02684564 41.97315436] ; [ 81.97315436 312.02684564],0
a4,1,0.022636,5.19624,[18 35] ; [198 193],[25.78378378 27.21621622] ; [190.21621622 200.78378378],0
u3,1,0.043225,4.086575,[10 12] ; [63 29],[14.0877193  7.9122807] ; [58.9122807 33.0877193],0
d2,1,0.046607,3.95953,[20 33] ; [205 187],[26.79775281 26.20224719] ; [198.20224719 193.79775281],0
p10,1,0.05998,3.537931,[50  3] ; [328  59],[45.53181818  7.46818182] ; [332.46818182  54.53181818],0
d1,1,0.06624,3.373812,[27 26] ; [252 142],[33.08053691 19.91946309] ; [245.91946309 148.08053691],0
d3,1,0.067246,3.349,[32 21] ; [285 108],[37.67040359 15.32959641] ; [279.32959641 113.67040359],0
n3,1,0.096704,2.759073,[6 5] ; [50 14],[8.21333333 2.78666667] ; [47.78666667 16.21333333],0
a8,1,0.108396,2.577448,[ 4 44] ; [ 61 288],[ 7.85894207 40.14105793] ; [ 57.14105793 291.85894207],0
b4,1,0.12706,2.328061,[37 16] ; [232 162],[31.89485459 21.10514541] ; [237.10514541 156.89485459],0
n2,1,0.141892,2.157315,[7 4] ; [53 11],[8.8 2.2] ; [51.2 12.8],0
r3,1,0.169046,1.891382,[51  2] ; [388   5],[52.16816143  0.83183857] ; [386.83183857   6.16816143],0
s4,1,0.169845,1.88431,[12 41] ; [ 59 328],[ 8.55227273 44.44772727] ; [ 62.44772727 324.55227273],0
s8,1,0.197108,1.663672,[23 30] ; [205 183],[27.40136054 25.59863946] ; [200.59863946 187.40136054],0
p7,1,0.205597,1.60216,[32 20] ; [266 113],[35.95359629 16.04640371] ; [262.04640371 116.95359629],0
n6,1,0.234298,1.414577,[49  4] ; [338  52],[46.30022573  6.69977427] ; [340.69977427  49.30022573],0
p3,1,0.240783,1.376005,[34 19] ; [217 173],[30.02934537 22.97065463] ; [220.97065463 169.02934537],0
s6,1,0.278114,1.176283,[38 10] ; [277 109],[34.83870968 13.16129032] ; [280.16129032 105.83870968],0
s7,1,0.290977,1.115095,[23 26] ; [206 169],[26.46462264 22.53537736] ; [202.53537736 172.46462264],0
b1,1,0.328856,0.953397,[16 37] ; [146 248],[19.20805369 33.79194631] ; [142.79194631 251.20805369],0
p5,1,0.337187,0.921097,[10 43] ; [ 54 334],[ 7.69160998 45.30839002] ; [ 56.30839002 331.69160998],0
p9,1,0.350572,0.871387,[49  4] ; [341  46],[46.97727273  6.02272727] ; [343.02272727  43.97727273],0
p8,1,0.392661,0.730687,[28 24] ; [230 153],[30.84137931 21.15862069] ; [227.15862069 155.84137931],0
v3,1,0.415146,0.664014,[29 22] ; [193 187],[26.26914153 24.73085847] ; [195.73085847 184.26914153],0
n1,1,0.458403,0.549792,[4 7] ; [31 33],[5.13333333 5.86666667] ; [29.86666667 34.13333333],0
s3,1,0.466643,0.529914,[33 20] ; [220 166],[30.54441913 22.45558087] ; [222.45558087 163.54441913],0
d4,1,0.471197,0.519168,[43 10] ; [333  59],[44.78202247  8.21797753] ; [331.21797753  60.78202247],0
b5,1,0.52424,0.405543,[36 17] ; [250 144],[33.91051454 19.08948546] ; [252.08948546 141.91051454],0
p12,1,0.560704,0.338487,[ 4 49] ; [ 39 348],[ 5.17954545 47.82045455] ; [ 37.82045455 349.17954545],0
b3,1,0.570425,0.321973,[13 21] ; [111 145],[14.53793103 19.46206897] ; [109.46206897 146.53793103],0
