Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,70.008818,[ 4 36] ; [201  62],[27.06270627 12.93729373] ; [177.93729373  85.06270627],1
d3,1,0.0,46.567244,[17 23] ; [230  33],[32.60726073  7.39273927] ; [214.39273927  48.60726073],1
d5,1,0.0,44.863635,[19 21] ; [235  28],[33.53135314  6.46864686] ; [220.46864686  42.53135314],1
d2,1,2.1e-05,18.105438,[10 30] ; [160 103],[22.44224422 17.55775578] ; [147.55775578 115.44224422],1
u1,1,3.9e-05,16.920716,[ 1 39] ; [ 91 172],[12.14521452 27.85478548] ; [ 79.85478548 183.14521452],1
a4,1,0.000117,14.83323,[ 8 32] ; [138 124],[19.33774834 20.66225166] ; [126.66225166 135.33774834],1
a2,1,0.000324,12.927,[ 4 36] ; [103 160],[14.12541254 25.87458746] ; [ 92.87458746 170.12541254],1
a3,1,0.010424,6.561034,[26 14] ; [215  46],[32.02657807  7.97342193] ; [208.97342193  52.02657807],0
n4,1,0.016389,5.760702,[26 13] ; [218  45],[31.50993377  7.49006623] ; [212.49006623  50.50993377],0
b4,1,0.046432,3.965863,[18 22] ; [162 101],[23.76237624 16.23762376] ; [156.23762376 106.76237624],0
u2,1,0.069407,3.296978,[6 8] ; [32 14],[8.86666667 5.13333333] ; [29.13333333 16.86666667],0
p12,1,0.082345,3.018008,[ 1 39] ; [ 30 232],[ 4.10596026 35.89403974] ; [ 26.89403974 235.10596026],0
p2,1,0.09043,2.866704,[38  2] ; [224  39],[34.58745875  5.41254125] ; [227.41254125  35.58745875],0
v2,1,0.090709,2.861749,[21 19] ; [169  86],[25.76271186 14.23728814] ; [164.23728814  90.76271186],0
p10,1,0.096052,2.769896,[37  2] ; [222  39],[33.67  5.33] ; [225.33  35.67],0
n3,1,0.122033,2.391037,[9 1] ; [34 18],[6.93548387 3.06451613] ; [36.06451613 15.93548387],0
b3,1,0.122054,2.390769,[ 6 19] ; [ 74 111],[ 9.52380952 15.47619048] ; [ 70.47619048 114.52380952],0
b2,1,0.122054,2.390769,[ 6 19] ; [ 74 111],[ 9.52380952 15.47619048] ; [ 70.47619048 114.52380952],0
