Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,44.056583,[64 18] ; [ 1 24],[49.81308411 32.18691589] ; [15.18691589  9.81308411],1
d3,1,0.0,25.821017,[69 13] ; [ 8 17],[59.00934579 22.99065421] ; [17.99065421  7.00934579],1
d5,1,9e-06,19.741507,[73  9] ; [12 13],[65.14018692 16.85981308] ; [19.85981308  5.14018692],1
a5,1,1.1e-05,19.325999,[69 13] ; [10 15],[60.54205607 21.45794393] ; [18.45794393  6.54205607],1
a3,1,4.8e-05,16.517723,[67 15] ; [10 15],[59.00934579 22.99065421] ; [17.99065421  7.00934579],1
v2,1,0.001021,10.788489,[46 36] ; [ 4 19],[39.04761905 42.95238095] ; [10.95238095 12.04761905],0
p6,1,0.001568,9.996432,[42 39] ; [ 4 21],[35.1509434 45.8490566] ; [10.8490566 14.1509434],0
a4,1,0.004939,7.901611,[46 36] ; [ 6 19],[39.85046729 42.14953271] ; [12.14953271 12.85046729],0
d2,1,0.005385,7.745219,[49 33] ; [ 7 18],[42.91588785 39.08411215] ; [13.08411215 11.91588785],0
r1,1,0.00601,7.547359,[70 12] ; [15 10],[65.14018692 16.85981308] ; [19.85981308  5.14018692],0
p4,1,0.010103,6.616669,[59 23] ; [11 14],[53.64485981 28.35514019] ; [16.35514019  8.64485981],0
a7,1,0.014485,5.978034,[58 24] ; [11 14],[52.87850467 29.12149533] ; [16.12149533  8.87850467],0
p9,1,0.021442,5.290467,[74  8] ; [18  7],[70.5046729 11.4953271] ; [21.4953271  3.5046729],0
v3,1,0.029387,4.744786,[29 52] ; [ 3 21],[24.68571429 56.31428571] ; [ 7.31428571 16.68571429],0
p3,1,0.037882,4.310307,[52 30] ; [10 15],[47.51401869 34.48598131] ; [14.48598131 10.51401869],0
a2,1,0.038092,4.300904,[23 59] ; [ 2 23],[19.1588785 62.8411215] ; [ 5.8411215 19.1588785],0
s8,1,0.048027,3.90903,[48 34] ; [ 9 16],[43.68224299 38.31775701] ; [13.31775701 11.68224299],0
u1,1,0.04817,3.904048,[22 60] ; [ 2 23],[18.39252336 63.60747664] ; [ 5.60747664 19.39252336],0
b1,1,0.059332,3.555963,[37 45] ; [ 6 19],[32.95327103 49.04672897] ; [10.04672897 14.95327103],0
r4,1,0.064485,3.418099,[74  8] ; [19  6],[71.27102804 10.72897196] ; [21.72897196  3.27102804],0
p5,1,0.191576,1.705453,[11 71] ; [ 1 24],[ 9.19626168 72.80373832] ; [ 2.80373832 22.19626168],0
r2,1,0.206314,1.597105,[74  6] ; [21  4],[72.38095238  7.61904762] ; [22.61904762  2.38095238],0
s5,1,0.232099,1.42795,[41 33] ; [ 9 13],[38.54166667 35.45833333] ; [11.45833333 10.54166667],0
u3,1,0.269023,1.221719,[10  5] ; [7 8],[8.5 6.5] ; [8.5 6.5],0
p10,1,0.273107,1.201074,[70 12] ; [19  6],[68.20560748 13.79439252] ; [20.79439252  4.20560748],0
n2,1,0.278493,1.174428,[10  5] ; [7 1],[11.08695652  3.91304348] ; [5.91304348 2.08695652],0
s1,1,0.296316,1.090701,[ 5 77] ; [ 3 21],[ 6.18867925 75.81132075] ; [ 1.81132075 22.18867925],0
p1,1,0.325959,0.964885,[ 5 77] ; [ 3 22],[ 6.13084112 75.86915888] ; [ 1.86915888 23.13084112],0
v4,1,0.342047,0.902745,[79  3] ; [22  2],[78.13207547  3.86792453] ; [22.86792453  1.13207547],0
a6,1,0.370174,0.803081,[54 28] ; [14 11],[52.11214953 29.88785047] ; [15.88785047  9.11214953],0
s7,1,0.374037,0.790209,[52 27] ; [14 11],[50.13461538 28.86538462] ; [15.86538462  9.13461538],0
s2,1,0.38076,0.768247,[60 22] ; [14  8],[58.34615385 23.65384615] ; [15.65384615  6.34615385],0
s6,1,0.389079,0.741818,[68 12] ; [17  5],[66.66666667 13.33333333] ; [18.33333333  3.66666667],0
v1,1,0.397632,0.715475,[44 38] ; [11 14],[42.14953271 39.85046729] ; [12.85046729 12.14953271],0
p8,1,0.404385,0.695249,[46 34] ; [12 13],[44.19047619 35.80952381] ; [13.80952381 11.19047619],0
u2,1,0.464214,0.535714,[8 7] ; [6 9],[7. 8.] ; [7. 8.],0
n3,1,0.482016,0.494298,[13  2] ; [6 2],[12.39130435  2.60869565] ; [6.60869565 1.39130435],0
b5,1,0.491631,0.472955,[49 33] ; [13 12],[47.51401869 34.48598131] ; [14.48598131 10.51401869],0
p7,1,0.541006,0.373678,[54 27] ; [15 10],[52.72641509 28.27358491] ; [16.27358491  8.72641509],0
n5,1,0.54356,0.368982,[68 14] ; [22  3],[68.97196262 13.02803738] ; [21.02803738  3.97196262],0
n1,1,0.590726,0.289211,[ 4 11] ; [3 5],[ 4.56521739 10.43478261] ; [2.43478261 5.56521739],0
r3,1,0.615578,0.252132,[74  7] ; [22  3],[73.35849057  7.64150943] ; [22.64150943  2.35849057],0
n6,1,0.621405,0.243898,[72 10] ; [21  4],[71.27102804 10.72897196] ; [21.72897196  3.27102804],0
p2,1,0.626931,0.236246,[66 16] ; [19  6],[65.14018692 16.85981308] ; [19.85981308  5.14018692],0
s3,1,0.643777,0.213836,[61 21] ; [16  7],[60.13333333 21.86666667] ; [16.86666667  6.13333333],0
p11,1,0.649735,0.206234,[62 20] ; [20  5],[62.8411215 19.1588785] ; [19.1588785  5.8411215],0
b4,1,0.921344,0.00975,[45 37] ; [14 11],[45.21495327 36.78504673] ; [13.78504673 11.21495327],0
p12,1,0.932563,0.007161,[ 7 75] ; [ 2 23],[ 6.89719626 75.10280374] ; [ 2.10280374 22.89719626],0
