Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,3.6e-05,17.08061,[ 4 47] ; [20 25],[12.75 38.25] ; [11.25 33.75],1
v4,1,4.8e-05,16.508139,[32 18] ; [43  1],[39.89361702 10.10638298] ; [35.10638298  8.89361702],1
r3,1,0.000392,12.568148,[34 17] ; [43  2],[40.90625 10.09375] ; [36.09375  8.90625],1
s2,1,0.001345,10.27943,[ 9 41] ; [22 23],[16.31578947 33.68421053] ; [14.68421053 30.31578947],0
s3,1,0.001355,10.266413,[16 33] ; [29 15],[23.70967742 25.29032258] ; [21.29032258 22.70967742],0
p9,1,0.001595,9.965614,[24 26] ; [35  9],[31.38297872 18.61702128] ; [27.61702128 16.38297872],0
p7,1,0.0026,9.068727,[18 33] ; [28 14],[25.22580645 25.77419355] ; [20.77419355 21.22580645],0
p2,1,0.004835,7.939998,[27 22] ; [37  8],[33.36170213 15.63829787] ; [30.63829787 14.36170213],0
s7,1,0.005664,7.654137,[ 9 36] ; [21 23],[15.16853933 29.83146067] ; [14.83146067 29.16853933],0
u2,1,0.007932,7.048661,[5 8] ; [13  2],[8.35714286 4.64285714] ; [9.64285714 5.35714286],0
p10,1,0.008224,6.983928,[20 29] ; [30 14],[26.34408602 22.65591398] ; [23.65591398 20.34408602],0
b5,1,0.01506,5.909427,[25 26] ; [33 12],[30.8125 20.1875] ; [27.1875 17.8125],0
p4,1,0.021081,5.320079,[14 36] ; [23 22],[19.47368421 30.52631579] ; [17.52631579 27.47368421],0
u3,1,0.024305,5.072768,[4 9] ; [11  4],[6.96428571 6.03571429] ; [8.03571429 6.96428571],0
r4,1,0.025495,4.989947,[30 21] ; [36  9],[35.0625 15.9375] ; [30.9375 14.0625],0
u1,1,0.032464,4.573846,[ 1 50] ; [ 6 39],[ 3.71875 47.28125] ; [ 3.28125 41.71875],0
v2,1,0.054506,3.697141,[17 32] ; [23 19],[21.53846154 27.46153846] ; [18.46153846 23.53846154],0
v1,1,0.058406,3.582091,[17 33] ; [23 20],[21.50537634 28.49462366] ; [18.49462366 24.50537634],0
p1,1,0.068548,3.31746,[ 6 44] ; [ 1 44],[ 3.68421053 46.31578947] ; [ 3.31578947 41.68421053],0
p11,1,0.07461,3.178577,[26 25] ; [31 14],[30.28125 20.71875] ; [26.71875 18.28125],0
p8,1,0.078428,3.097172,[11 39] ; [17 27],[14.89361702 35.10638298] ; [13.10638298 30.89361702],0
d1,1,0.113906,2.499177,[19 32] ; [24 21],[22.84375 28.15625] ; [20.15625 24.84375],0
a8,1,0.125685,2.345011,[ 5 44] ; [ 9 32],[ 7.62222222 41.37777778] ; [ 6.37777778 34.62222222],0
s5,1,0.133387,2.252633,[ 6 43] ; [10 31],[ 8.71111111 40.28888889] ; [ 7.28888889 33.71111111],0
n3,1,0.154044,2.031746,[7 9] ; [11  5],[9. 7.] ; [9. 7.],0
s4,1,0.157802,1.995163,[ 5 46] ; [ 9 36],[ 7.4375 43.5625] ; [ 6.5625 38.4375],0
a4,1,0.171806,1.867111,[24 27] ; [15 30],[20.71875 30.28125] ; [18.28125 26.71875],0
a1,1,0.195323,1.677005,[ 6 45] ; [ 2 43],[ 4.25 46.75] ; [ 3.75 41.25],0
r1,1,0.226928,1.460011,[34 17] ; [35 10],[36.65625 14.34375] ; [32.34375 12.65625],0
p5,1,0.239791,1.381823,[ 1 50] ; [ 3 41],[ 2.14736842 48.85263158] ; [ 1.85263158 42.14736842],0
s1,1,0.256886,1.28546,[ 1 48] ; [ 3 41],[ 2.10752688 46.89247312] ; [ 1.89247312 42.10752688],0
b2,1,0.258822,1.275049,[10 17] ; [ 7 23],[ 8.05263158 18.94736842] ; [ 8.94736842 21.05263158],0
b3,1,0.258822,1.275049,[10 17] ; [ 7 23],[ 8.05263158 18.94736842] ; [ 8.94736842 21.05263158],0
p6,1,0.27391,1.19706,[ 8 41] ; [11 32],[10.11956522 38.88043478] ; [ 8.88043478 34.11956522],0
a3,1,0.313908,1.014161,[38 12] ; [30 15],[35.78947368 14.21052632] ; [32.21052632 12.78947368],0
n5,1,0.324665,0.970063,[29 22] ; [30 15],[31.34375 19.65625] ; [27.65625 17.34375],0
n1,1,0.373301,0.792647,[9 8] ; [ 6 10],[7.72727273 9.27272727] ; [7.27272727 8.72727273],0
a2,1,0.412928,0.670354,[ 8 43] ; [10 35],[ 9.5625 41.4375] ; [ 8.4375 36.5625],0
p12,1,0.494897,0.465863,[ 1 48] ; [ 2 42],[ 1.58064516 47.41935484] ; [ 1.41935484 42.58064516],0
a6,1,0.590824,0.289059,[34 17] ; [27 17],[32.74736842 18.25263158] ; [28.25263158 15.74736842],0
d3,1,0.631449,0.230101,[30 21] ; [28 16],[31.13684211 19.86315789] ; [26.86315789 17.13684211],0
b1,1,0.728575,0.120424,[29 22] ; [24 21],[28.15625 22.84375] ; [24.84375 20.15625],0
r2,1,0.733691,0.115749,[43  7] ; [38  5],[43.5483871  6.4516129] ; [37.4516129  5.5483871],0
b4,1,0.776837,0.08034,[28 23] ; [26 19],[28.6875 22.3125] ; [25.3125 19.6875],0
a7,1,0.782719,0.076053,[32 19] ; [27 18],[31.34375 19.65625] ; [27.65625 17.34375],0
a5,1,0.791415,0.069946,[35 16] ; [32 13],[35.59375 15.40625] ; [31.40625 13.59375],0
d2,1,0.797745,0.065672,[23 28] ; [21 23],[23.62105263 27.37894737] ; [20.37894737 23.62105263],0
d4,1,0.81771,0.053126,[36 15] ; [32 12],[36.50526316 14.49473684] ; [31.49473684 12.50526316],0
