Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,3e-06,21.963239,[32 51] ; [11 98],[18.58854167 64.41145833] ; [24.41145833 84.58854167],1
s2,1,4.5e-05,16.658794,[60 22] ; [47 61],[46.17894737 35.82105263] ; [60.82105263 47.17894737],1
s6,1,0.000202,13.813554,[71 12] ; [66 42],[59.53403141 23.46596859] ; [77.46596859 30.53403141],1
s8,1,0.00094,10.941463,[59 24] ; [51 57],[47.80104712 35.19895288] ; [62.19895288 45.80104712],1
s3,1,0.007266,7.206123,[59 23] ; [57 51],[50.06315789 31.93684211] ; [65.93684211 42.06315789],0
p8,1,0.009778,6.674924,[65 18] ; [65 42],[56.78947368 26.21052632] ; [73.21052632 33.78947368],0
s7,1,0.01591,5.812794,[59 19] ; [59 42],[51.41899441 26.58100559] ; [66.58100559 34.41899441],0
n6,1,0.027336,4.869464,[79  3] ; [95 14],[74.70157068  7.29842932] ; [99.29842932  9.70157068],0
r1,1,0.037434,4.330555,[77  6] ; [90 19],[72.19270833 10.80729167] ; [94.80729167 14.19270833],0
a3,1,0.042593,4.111501,[70 12] ; [79 29],[64.30526316 17.69473684] ; [84.69473684 23.30526316],0
r4,1,0.046343,3.969072,[82  1] ; [101   8],[79.109375  3.890625] ; [103.890625   5.109375],0
p4,1,0.047219,3.937565,[72 11] ; [82 27],[66.57291667 16.42708333] ; [87.42708333 21.57291667],0
p9,1,0.054214,3.706088,[78  5] ; [92 16],[73.87434555  9.12565445] ; [96.12565445 11.87434555],0
p7,1,0.05973,3.544878,[73  9] ; [85 23],[68.18947368 13.81052632] ; [89.81052632 18.18947368],0
p1,1,0.063831,3.434943,[17 65] ; [12 97],[12.45026178 69.54973822] ; [16.54973822 92.45026178],0
s4,1,0.064355,3.421445,[16 66] ; [11 98],[11.59162304 70.40837696] ; [15.40837696 93.59162304],0
a8,1,0.076487,3.13802,[ 6 72] ; [16 80],[ 9.86206897 68.13793103] ; [12.13793103 83.86206897],0
p10,1,0.082478,3.015379,[79  4] ; [95 13],[75.61256545  7.38743455] ; [98.38743455  9.61256545],0
a5,1,0.088587,2.899865,[72 11] ; [84 25],[67.4375 15.5625] ; [88.5625 20.4375],0
d1,1,0.100261,2.701379,[59 24] ; [65 44],[53.60416667 29.39583333] ; [70.39583333 38.60416667],0
v2,1,0.100375,2.699575,[70 12] ; [81 26],[65.51322751 16.48677249] ; [85.48677249 21.51322751],0
p6,1,0.105018,2.627637,[45 37] ; [46 61],[39.48148148 42.51851852] ; [51.51851852 55.48148148],0
n3,1,0.109315,2.564103,[8 4] ; [12  1],[9.6 2.4] ; [10.4  2.6],0
d4,1,0.119086,2.429306,[73  9] ; [88 21],[69.12041885 12.87958115] ; [91.87958115 17.12041885],0
u1,1,0.167826,1.902256,[23 60] ; [21 88],[19.02083333 63.97916667] ; [24.97916667 84.02083333],0
a1,1,0.172075,1.864775,[ 9 74] ; [  6 103],[ 6.484375 76.515625] ; [  8.515625 100.484375],0
d5,1,0.247324,1.338355,[72 10] ; [89 20],[69.12041885 12.87958115] ; [91.87958115 17.12041885],0
n4,1,0.261572,1.260419,[72 11] ; [100   9],[74.35416667  8.64583333] ; [97.64583333 11.35416667],0
r2,1,0.282003,1.157414,[81  2] ; [102   6],[79.52356021  3.47643979] ; [103.47643979   4.52356021],0
v4,1,0.288044,1.128742,[82  1] ; [105   4],[80.83854167  2.16145833] ; [106.16145833   2.83854167],0
n2,1,0.315086,1.009234,[11  1] ; [10  3],[10.08  1.92] ; [10.92  2.08],0
u2,1,0.39084,0.736327,[9 4] ; [16 13],[7.73809524 5.26190476] ; [17.26190476 11.73809524],0
a7,1,0.392816,0.730206,[56 27] ; [79 29],[58.66492147 24.33507853] ; [76.33507853 31.66492147],0
p2,1,0.432521,0.616045,[76  7] ; [96 13],[74.35416667  8.64583333] ; [97.64583333 11.35416667],0
u3,1,0.438988,0.598927,[9 4] ; [17 13],[7.86046512 5.13953488] ; [18.13953488 11.86046512],0
u4,1,0.443057,0.588351,[ 3 80] ; [  2 107],[ 2.16145833 80.83854167] ; [  2.83854167 106.16145833],0
b1,1,0.470953,0.51974,[33 50] ; [49 60],[35.44791667 47.55208333] ; [46.55208333 62.44791667],0
a4,1,0.472968,0.515034,[42 41] ; [49 59],[39.54450262 43.45549738] ; [51.45549738 56.54450262],0
d3,1,0.479079,0.500958,[61 22] ; [75 34],[58.79166667 24.20833333] ; [77.20833333 31.79166667],0
n5,1,0.483543,0.490862,[73 10] ; [92 17],[71.328125 11.671875] ; [93.671875 15.328125],0
b5,1,0.48417,0.489456,[43 40] ; [62 47],[45.390625 37.609375] ; [59.609375 49.390625],0
d2,1,0.520734,0.412439,[45 38] ; [54 55],[42.796875 40.203125] ; [56.203125 52.796875],0
p12,1,0.545038,0.366282,[15 68] ; [16 92],[13.47120419 69.52879581] ; [17.52879581 90.47120419],0
r3,1,0.619096,0.247139,[81  2] ; [105   4],[80.40625  2.59375] ; [105.59375   3.40625],0
p11,1,0.711558,0.136726,[70 13] ; [94 15],[70.89583333 12.10416667] ; [93.10416667 15.89583333],0
b4,1,0.733291,0.116112,[50 33] ; [63 46],[48.84895833 34.15104167] ; [64.15104167 44.84895833],0
n1,1,0.821348,0.050991,[5 7] ; [6 7],[5.28 6.72] ; [5.72 7.28],0
a2,1,0.831613,0.045213,[24 59] ; [30 79],[23.34375 59.65625] ; [30.65625 78.34375],0
b2,1,0.869205,0.027116,[20 26] ; [34 47],[19.55905512 26.44094488] ; [34.44094488 46.55905512],0
b3,1,0.869205,0.027116,[20 26] ; [34 47],[19.55905512 26.44094488] ; [34.44094488 46.55905512],0
v1,1,0.884519,0.021096,[60 22] ; [78 30],[59.55789474 22.44210526] ; [78.44210526 29.55789474],0
s1,1,0.90402,0.014541,[ 2 79] ; [  3 106],[ 2.13157895 78.86842105] ; [  2.86842105 106.13157895],0
a6,1,0.93954,0.005753,[56 26] ; [75 34],[56.2408377 25.7591623] ; [74.7591623 34.2408377],0
