Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,67.851913,[175 274] ; [164  62],[225.49777778 223.50222222] ; [113.50222222 112.49777778],1
s6,1,0.0,57.164717,[256 192] ; [194  31],[299.55423477 148.44576523] ; [150.44576523  74.55423477],1
p5,1,0.0,50.153199,[ 25 423] ; [ 55 172],[ 53.0962963 394.9037037] ; [ 26.9037037 200.0962963],1
s7,1,0.0,33.64134,[176 258] ; [142  78],[211.02752294 222.97247706] ; [106.97247706 113.02752294],1
s3,1,0.0,29.973566,[215 232] ; [157  66],[248.18507463 198.81492537] ; [123.81492537  99.18507463],1
s8,1,4e-06,21.382812,[172 279] ; [128  97],[200.14792899 250.85207101] ; [ 99.85207101 125.14792899],1
p6,1,1.5e-05,18.752327,[141 304] ; [109 114],[166.54191617 278.45808383] ; [ 83.45808383 139.54191617],1
s4,1,3.6e-05,17.072368,[ 50 398] ; [ 52 171],[ 68.10134128 379.89865872] ; [ 33.89865872 189.10134128],1
p7,1,8.2e-05,15.520976,[276 163] ; [171  48],[298.22644377 140.77355623] ; [148.77355623  70.22644377],1
p3,1,0.000142,14.477568,[209 241] ; [140  86],[232.32248521 217.67751479] ; [116.67751479 109.32248521],1
p12,1,0.000261,13.332998,[ 27 419] ; [ 33 194],[ 39.76225854 406.23774146] ; [ 20.23774146 206.76225854],1
p8,1,0.000636,11.667278,[231 213] ; [147  76],[251.62218891 192.37781109] ; [126.37781109  96.62218891],1
p4,1,0.001892,9.651508,[260 189] ; [158  67],[278.45994065 170.54005935] ; [139.54005935  85.45994065],0
v1,1,0.004036,8.267379,[226 210] ; [143  82],[243.39485628 192.60514372] ; [125.60514372  99.39485628],0
n6,1,0.005345,7.758841,[378  73] ; [207  19],[389.71196455  61.28803545] ; [195.28803545  30.71196455],0
b5,1,0.005632,7.664431,[282 170] ; [117 111],[265.21764706 186.78235294] ; [133.78235294  94.21764706],0
p1,1,0.006592,7.381027,[ 28 421] ; [ 28 199],[ 37.19526627 411.80473373] ; [ 18.80473373 208.19526627],0
a5,1,0.007909,7.054041,[320 132] ; [183  45],[334.34705882 117.65294118] ; [168.65294118  59.34705882],0
d1,1,0.012061,6.301867,[250 202] ; [149  79],[265.21764706 186.78235294] ; [133.78235294  94.21764706],0
a1,1,0.016158,5.785555,[ 15 437] ; [ 17 211],[ 21.27058824 430.72941176] ; [ 10.72941176 217.27058824],0
r4,1,0.016345,5.765371,[414  38] ; [220   8],[421.42352941  30.57647059] ; [212.57647059  15.42352941],0
n5,1,0.018111,5.58541,[335 113] ; [188  39],[347.11703704 100.88296296] ; [175.88296296  51.11703704],0
u1,1,0.01911,5.491428,[ 65 387] ; [ 49 179],[ 75.77647059 376.22352941] ; [ 38.22352941 189.77647059],0
p9,1,0.019554,5.451283,[388  62] ; [206  17],[397.17682021  52.82317979] ; [196.82317979  26.17682021],0
