Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,58.222,[169 135] ; [ 29 128],[130.56832972 173.43167028] ; [67.43167028 89.56832972],1
d1,1,0.0,56.72657,[198 108] ; [ 44 114],[159.59482759 146.40517241] ; [82.40517241 75.59482759],1
a4,1,0.0,55.535695,[160 145] ; [ 26 131],[122.79220779 182.20779221] ; [63.20779221 93.79220779],1
a3,1,0.0,46.942519,[235  71] ; [70 86],[202.01298701 103.98701299] ; [102.98701299  53.01298701],1
d5,1,0.0,36.50239,[258  47] ; [93 64],[231.72077922  73.27922078] ; [119.27922078  37.72077922],1
a6,1,0.0,32.240757,[229  76] ; [77 81],[201.57667387 103.42332613] ; [104.42332613  53.57667387],1
n4,1,0.0,28.51936,[233  71] ; [82 75],[207.72234273  96.27765727] ; [107.27765727  49.72234273],1
u1,1,1e-06,24.617901,[ 55 251] ; [  3 155],[ 38.25 267.75] ; [ 19.75 138.25],1
r1,1,3e-06,22.107362,[255  49] ; [102  56],[234.90909091  69.09090909] ; [122.09090909  35.90909091],1
r4,1,1.2e-05,19.221778,[282  24] ; [123  35],[267.09051724  38.90948276] ; [137.90948276  20.09051724],1
d4,1,1.4e-05,18.922593,[259  46] ; [106  51],[240.96320346  64.03679654] ; [124.03679654  32.96320346],1
n5,1,0.000445,12.333228,[226  78] ; [91 65],[209.49565217  94.50434783] ; [107.50434783  48.49565217],1
r2,1,0.000515,12.059581,[293  10] ; [139  18],[284.55652174  18.44347826] ; [147.44347826   9.55652174],1
d3,1,0.000596,11.788455,[224  81] ; [90 66],[207.74403471  97.25596529] ; [106.25596529  49.74403471],1
s6,1,0.001853,9.690049,[199 101] ; [79 75],[183.70044053 116.29955947] ; [94.29955947 59.70044053],0
a7,1,0.00308,8.759229,[229  77] ; [96 60],[215.25974026  90.74025974] ; [109.74025974  46.25974026],0
s7,1,0.003234,8.670282,[131 164] ; [ 46 107],[116.55133929 178.44866071] ; [60.44866071 92.55133929],0
p4,1,0.007955,7.043497,[126 176] ; [ 45 110],[113.00218818 188.99781182] ; [57.99781182 97.00218818],0
v1,1,0.010447,6.556993,[148 150] ; [57 97],[135.15486726 162.84513274] ; [69.84513274 84.15486726],0
n6,1,0.010874,6.485722,[254  51] ; [115  42],[243.6038961  61.3961039] ; [125.3961039  31.6038961],0
s8,1,0.012336,6.261943,[120 183] ; [ 44 114],[107.79175705 195.20824295] ; [ 56.20824295 101.79175705],0
b3,1,0.040198,4.209523,[ 66 109] ; [20 61],[ 58.7890625 116.2109375] ; [27.2109375 53.7890625],0
b2,1,0.040198,4.209523,[ 66 109] ; [20 61],[ 58.7890625 116.2109375] ; [27.2109375 53.7890625],0
s5,1,0.068527,3.317948,[ 86 206] ; [ 33 121],[ 77.9103139 214.0896861] ; [ 41.0896861 112.9103139],0
v2,1,0.086303,2.942021,[153 138] ; [65 83],[144.50569476 146.49430524] ; [73.49430524 74.50569476],0
p9,1,0.092203,2.835477,[241  58] ; [112  40],[234.02882483  64.97117517] ; [118.97117517  33.02882483],0
v3,1,0.115318,2.479781,[102 187] ; [ 43 111],[ 94.59367946 194.40632054] ; [ 50.40632054 103.59367946],0
p10,1,0.129608,2.29719,[229  72] ; [107  47],[222.27692308  78.72307692] ; [113.72307692  40.27692308],0
r3,1,0.143328,2.141864,[287  18] ; [141  15],[283.1670282  21.8329718] ; [144.8329718  11.1670282],0
n2,1,0.147455,2.098378,[74 20] ; [36 17],[70.34013605 23.65986395] ; [39.65986395 13.34013605],0
p12,1,0.17483,1.841033,[ 16 286] ; [  4 152],[ 13.18777293 288.81222707] ; [  6.81222707 149.18777293],0
p2,1,0.233098,1.421856,[239  66] ; [116  42],[233.85529158  71.14470842] ; [121.14470842  36.85529158],0
s4,1,0.251387,1.315579,[ 47 254] ; [ 31 125],[ 51.37417943 249.62582057] ; [ 26.62582057 129.37417943],0
p8,1,0.256437,1.287893,[119 178] ; [ 54 102],[113.42384106 183.57615894] ; [59.57615894 96.42384106],0
p1,1,0.31047,1.028677,[ 16 288] ; [  5 152],[ 13.84815618 290.15184382] ; [  7.15184382 149.84815618],0
s2,1,0.338018,0.917934,[145 157] ; [68 89],[140.14379085 161.85620915] ; [72.85620915 84.14379085],0
u2,1,0.384897,0.755001,[37 33] ; [52 35],[39.68152866 30.31847134] ; [49.31847134 37.68152866],0
a1,1,0.436822,0.604617,[ 12 294] ; [  4 154],[ 10.55172414 295.44827586] ; [  5.44827586 152.55172414],0
p5,1,0.486921,0.483323,[ 16 287] ; [  6 151],[ 14.49130435 288.50869565] ; [  7.50869565 149.49130435],0
p11,1,0.495441,0.464688,[226  80] ; [112  46],[222.90517241  83.09482759] ; [115.09482759  42.90517241],0
b4,1,0.499696,0.455582,[174 132] ; [95 63],[177.40086207 128.59913793] ; [91.59913793 66.40086207],0
s1,1,0.533208,0.388274,[ 10 287] ; [  7 147],[ 11.19512195 285.80487805] ; [  5.80487805 148.19512195],0
n3,1,0.546529,0.363572,[65 26] ; [36 18],[63.3862069 27.6137931] ; [37.6137931 16.3862069],0
a8,1,0.617324,0.249647,[ 39 240] ; [ 18 129],[ 37.33098592 241.66901408] ; [ 19.66901408 127.33098592],0
n1,1,0.685548,0.163947,[33 57] ; [18 36],[31.875 58.125] ; [19.125 34.875],0
p6,1,0.758958,0.094156,[ 73 227] ; [ 40 116],[ 74.34210526 225.65789474] ; [ 38.65789474 117.34210526],0
p7,1,0.893097,0.01806,[146 148] ; [75 74],[146.66817156 147.33182844] ; [74.33182844 74.66817156],0
u3,1,0.945868,0.00461,[39 31] ; [48 39],[38.78980892 31.21019108] ; [48.21019108 38.78980892],0
s3,1,0.963462,0.002099,[155 144] ; [80 75],[154.76872247 144.23127753] ; [80.23127753 74.76872247],0
b1,1,0.967305,0.00168,[104 202] ; [ 54 104],[104.19827586 201.80172414] ; [ 53.80172414 104.19827586],0
b5,1,0.981821,0.000519,[194 112] ; [100  58],[193.88793103 112.11206897] ; [100.11206897  57.88793103],0
