Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.002012,9.538483,[18  8] ; [ 8 21],[12.29090909 13.70909091] ; [13.70909091 15.29090909],0
a4,1,0.005208,7.805798,[13 14] ; [ 4 25],[ 8.19642857 18.80357143] ; [ 8.80357143 20.19642857],0
a6,1,0.016701,5.727544,[16 11] ; [ 8 21],[11.57142857 15.42857143] ; [12.42857143 16.57142857],0
u2,1,0.019722,5.436328,[8 1] ; [ 9 12],[5.1 3.9] ; [11.9  9.1],0
p9,1,0.021632,5.275153,[20  6] ; [13 15],[15.88888889 10.11111111] ; [17.11111111 10.88888889],0
p11,1,0.02622,4.941462,[20  7] ; [13 16],[15.91071429 11.08928571] ; [17.08928571 11.91071429],0
s4,1,0.028994,4.767986,[ 1 26] ; [ 7 22],[ 3.85714286 23.14285714] ; [ 4.14285714 24.85714286],0
a7,1,0.029209,4.755282,[19  8] ; [12 17],[14.94642857 12.05357143] ; [16.05357143 12.94642857],0
r1,1,0.060969,3.510827,[13 14] ; [ 7 22],[ 9.64285714 17.35714286] ; [10.35714286 18.64285714],0
p7,1,0.063908,3.43295,[15 12] ; [ 9 20],[11.57142857 15.42857143] ; [12.42857143 16.57142857],0
p10,1,0.079097,3.083367,[17 10] ; [11 17],[13.74545455 13.25454545] ; [14.25454545 13.74545455],0
d1,1,0.083522,2.995003,[ 9 18] ; [ 4 25],[ 6.26785714 20.73214286] ; [ 6.73214286 22.26785714],0
d5,1,0.093086,2.820179,[19  8] ; [14 15],[15.91071429 11.08928571] ; [17.08928571 11.91071429],0
v1,1,0.094622,2.793924,[10 17] ; [ 5 24],[ 7.23214286 19.76785714] ; [ 7.76785714 21.23214286],0
v3,1,0.128203,2.314132,[ 7 20] ; [ 3 26],[ 4.82142857 22.17857143] ; [ 5.17857143 23.82142857],0
p1,1,0.136092,2.221601,[ 4 23] ; [ 1 28],[ 2.41071429 24.58928571] ; [ 2.58928571 26.41071429],0
p5,1,0.1706,1.877664,[ 5 21] ; [ 2 27],[ 3.30909091 22.69090909] ; [ 3.69090909 25.30909091],0
d2,1,0.183744,1.767083,[11 16] ; [ 7 22],[ 8.67857143 18.32142857] ; [ 9.32142857 19.67857143],0
s7,1,0.183891,1.765894,[ 7 16] ; [ 4 23],[ 5.06 17.94] ; [ 5.94 21.06],0
d3,1,0.18938,1.722435,[14 13] ; [10 19],[11.57142857 15.42857143] ; [12.42857143 16.57142857],0
p2,1,0.190098,1.716858,[14 13] ; [20  9],[16.39285714 10.60714286] ; [17.60714286 11.39285714],0
s3,1,0.24879,1.330084,[ 6 21] ; [ 3 25],[ 4.41818182 22.58181818] ; [ 4.58181818 23.41818182],0
d4,1,0.256066,1.289901,[18  9] ; [15 14],[15.91071429 11.08928571] ; [17.08928571 11.91071429],0
s1,1,0.265887,1.237843,[ 3 24] ; [ 1 28],[ 1.92857143 25.07142857] ; [ 2.07142857 26.92857143],0
b3,1,0.271434,1.209486,[ 7 10] ; [ 4 13],[ 5.5 11.5] ; [ 5.5 11.5],0
b2,1,0.271434,1.209486,[ 7 10] ; [ 4 13],[ 5.5 11.5] ; [ 5.5 11.5],0
n1,1,0.275234,1.190476,[4 6] ; [ 3 12],[2.8 7.2] ; [ 4.2 10.8],0
r4,1,0.285699,1.139781,[ 9 18] ; [ 6 23],[ 7.23214286 19.76785714] ; [ 7.76785714 21.23214286],0
s6,1,0.294176,1.100412,[10 17] ; [ 7 22],[ 8.19642857 18.80357143] ; [ 8.80357143 20.19642857],0
v4,1,0.29896,1.078828,[14 13] ; [19 10],[15.91071429 11.08928571] ; [17.08928571 11.91071429],0
p8,1,0.3908,0.736453,[10 16] ; [ 8 21],[ 8.50909091 17.49090909] ; [ 9.49090909 19.50909091],0
n3,1,0.404657,0.694444,[5 5] ; [10  5],[6. 4.] ; [9. 6.],0
r3,1,0.414128,0.666919,[18  8] ; [17 12],[16.54545455  9.45454545] ; [18.45454545 10.54545455],0
v2,1,0.441105,0.593407,[10 16] ; [ 8 20],[ 8.66666667 17.33333333] ; [ 9.33333333 18.66666667],0
b4,1,0.445639,0.58172,[15 12] ; [19 10],[16.39285714 10.60714286] ; [17.60714286 11.39285714],0
a1,1,0.510878,0.432267,[ 2 25] ; [ 1 28],[ 1.44642857 25.55357143] ; [ 1.55357143 27.44642857],0
p6,1,0.513706,0.426511,[ 3 23] ; [ 5 23],[ 3.85185185 22.14814815] ; [ 4.14814815 23.85185185],0
u3,1,0.588809,0.292208,[3 6] ; [ 5 16],[2.4 6.6] ; [ 5.6 15.4],0
b5,1,0.599133,0.276306,[13 14] ; [16 13],[13.98214286 13.01785714] ; [15.01785714 13.98214286],0
n6,1,0.610653,0.259225,[14 13] ; [17 12],[14.94642857 12.05357143] ; [16.05357143 12.94642857],0
n2,1,0.621685,0.243506,[5 5] ; [9 6],[5.6 4.4] ; [8.4 6.6],0
p4,1,0.628844,0.233631,[11 16] ; [10 19],[10.125 16.875] ; [10.875 18.125],0
s8,1,0.639222,0.219761,[ 6 21] ; [ 5 24],[ 5.30357143 21.69642857] ; [ 5.69642857 23.30357143],0
b1,1,0.739541,0.110531,[17 10] ; [17 12],[16.39285714 10.60714286] ; [17.60714286 11.39285714],0
n4,1,0.803387,0.061984,[14 13] ; [16 13],[14.46428571 12.53571429] ; [15.53571429 13.46428571],0
s5,1,0.804864,0.061037,[ 4 23] ; [ 5 24],[ 4.33928571 22.66071429] ; [ 4.66071429 24.33928571],0
p3,1,0.926327,0.00855,[ 6 20] ; [ 7 22],[ 6.14545455 19.85454545] ; [ 6.85454545 22.14545455],0
p12,1,0.940873,0.005502,[ 2 25] ; [ 2 27],[ 1.92857143 25.07142857] ; [ 2.07142857 26.92857143],0
n5,1,0.944949,0.004768,[17 10] ; [18 11],[16.875 10.125] ; [18.125 10.875],0
a8,1,0.953807,0.003355,[ 4 22] ; [ 4 23],[ 3.9245283 22.0754717] ; [ 4.0754717 22.9245283],0
