Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.000106,15.028409,[2 7] ; [31  5],[6.6 2.4] ; [26.4  9.6],1
s3,1,0.000983,10.858957,[3 6] ; [31  5],[6.8 2.2] ; [27.2  8.8],1
n5,1,0.002531,9.118268,[2 7] ; [28  9],[5.86956522 3.13043478] ; [24.13043478 12.86956522],0
p8,1,0.0027,9.0,[1 8] ; [24 12],[5. 4.] ; [20. 16.],0
p11,1,0.004329,8.14049,[3 6] ; [30  7],[6.45652174 2.54347826] ; [26.54347826 10.45652174],0
n2,1,0.015013,5.915,[1 3] ; [9 1],[2.85714286 1.14285714] ; [7.14285714 2.85714286],0
s2,1,0.048452,3.894231,[4 5] ; [28  8],[6.4 2.6] ; [25.6 10.4],0
s6,1,0.053529,3.727318,[6 3] ; [32  3],[7.77272727 1.22727273] ; [30.22727273  4.77272727],0
n4,1,0.067818,3.335049,[4 5] ; [28  9],[6.26086957 2.73913043] ; [25.73913043 11.26086957],0
p4,1,0.084887,2.968758,[3 6] ; [24 13],[5.2826087 3.7173913] ; [21.7173913 15.2826087],0
s8,1,0.084887,2.968758,[3 6] ; [24 13],[5.2826087 3.7173913] ; [21.7173913 15.2826087],0
a4,1,0.151489,2.057196,[2 7] ; [18 19],[3.91304348 5.08695652] ; [16.08695652 20.91304348],0
v1,1,0.158178,1.991557,[3 6] ; [22 15],[4.89130435 4.10869565] ; [20.10869565 16.89130435],0
s7,1,0.160952,1.965261,[4 4] ; [27  9],[5.63636364 2.36363636] ; [25.36363636 10.63636364],0
p3,1,0.260262,1.267363,[4 5] ; [24 13],[5.47826087 3.52173913] ; [22.52173913 14.47826087],0
n3,1,0.261651,1.26,[2 2] ; [8 2],[2.85714286 1.14285714] ; [7.14285714 2.85714286],0
r3,1,0.267274,1.230685,[8 1] ; [36  1],[8.60869565 0.39130435] ; [35.39130435  1.60869565],0
s1,1,0.267274,1.230685,[1 8] ; [ 1 36],[0.39130435 8.60869565] ; [ 1.60869565 35.39130435],0
a2,1,0.315414,1.00787,[1 8] ; [10 27],[2.15217391 6.84782609] ; [ 8.84782609 28.15217391],0
s5,1,0.316334,1.004043,[4 5] ; [22 13],[5.31818182 3.68181818] ; [20.68181818 14.31818182],0
d3,1,0.388741,0.742876,[8 1] ; [28  9],[7.04347826 1.95652174] ; [28.95652174  8.04347826],0
p9,1,0.416317,0.660689,[6 2] ; [32  5],[6.75555556 1.24444444] ; [31.24444444  5.75555556],0
p10,1,0.514182,0.425546,[7 2] ; [32  5],[7.63043478 1.36956522] ; [31.36956522  5.63043478],0
b2,1,0.518416,0.417043,[1 5] ; [ 6 14],[1.61538462 4.38461538] ; [ 5.38461538 14.61538462],0
b3,1,0.518416,0.417043,[1 5] ; [ 6 14],[1.61538462 4.38461538] ; [ 5.38461538 14.61538462],0
p6,1,0.648077,0.208333,[3 6] ; [15 21],[3.6 5.4] ; [14.4 21.6],0
a5,1,0.653714,0.20125,[7 2] ; [26 11],[6.45652174 2.54347826] ; [26.54347826 10.45652174],0
d5,1,0.669864,0.181761,[7 2] ; [31  6],[7.43478261 1.56521739] ; [30.56521739  6.43478261],0
b4,1,0.691123,0.157872,[6 3] ; [22 15],[5.47826087 3.52173913] ; [22.52173913 14.47826087],0
p12,1,0.774304,0.082225,[1 8] ; [ 3 34],[0.7826087 8.2173913] ; [ 3.2173913 33.7826087],0
a6,1,0.801747,0.063045,[6 3] ; [23 14],[5.67391304 3.32608696] ; [23.32608696 13.67391304],0
r1,1,0.822725,0.050194,[7 2] ; [30  7],[7.23913043 1.76086957] ; [29.76086957  7.23913043],0
v2,1,0.833108,0.044402,[6 3] ; [26 11],[6.26086957 2.73913043] ; [25.73913043 11.26086957],0
n1,1,0.836813,0.042424,[1 3] ; [2 8],[0.85714286 3.14285714] ; [2.14285714 7.85714286],0
n6,1,0.847798,0.036837,[8 1] ; [32  5],[7.82608696 1.17391304] ; [32.17391304  4.82608696],0
p5,1,0.847798,0.036837,[1 8] ; [ 5 32],[1.17391304 7.82608696] ; [ 4.82608696 32.17391304],0
d4,1,0.847798,0.036837,[8 1] ; [32  5],[7.82608696 1.17391304] ; [32.17391304  4.82608696],0
u1,1,0.894514,0.017581,[2 7] ; [ 9 28],[2.15217391 6.84782609] ; [ 8.84782609 28.15217391],0
a7,1,0.918927,0.01036,[6 3] ; [24 13],[5.86956522 3.13043478] ; [24.13043478 12.86956522],0
b1,1,0.918927,0.01036,[3 6] ; [13 24],[3.13043478 5.86956522] ; [12.86956522 24.13043478],0
d2,1,0.935359,0.006578,[5 4] ; [20 17],[4.89130435 4.10869565] ; [20.10869565 16.89130435],0
b5,1,0.935359,0.006578,[5 4] ; [20 17],[4.89130435 4.10869565] ; [20.10869565 16.89130435],0
d1,1,0.958762,0.002674,[6 3] ; [25 12],[6.06521739 2.93478261] ; [24.93478261 12.06521739],0
