Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,3e-06,21.791934,[74  3] ; [2 3],[71.36585366  5.63414634] ; [4.63414634 0.36585366],1
p3,1,0.009109,6.801282,[65 11] ; [2 3],[62.86419753 13.13580247] ; [4.13580247 0.86419753],0
r2,1,0.009988,6.637111,[71  5] ; [3 2],[69.43209877  6.56790123] ; [4.56790123 0.43209877],0
v3,1,0.063067,3.45483,[46 28] ; [1 4],[44.02531646 29.97468354] ; [2.97468354 2.02531646],0
p8,1,0.07503,3.169409,[67  9] ; [3 2],[65.67901235 10.32098765] ; [4.32098765 0.67901235],0
s7,1,0.089269,2.8875,[54 18] ; [2 3],[52.36363636 19.63636364] ; [3.63636364 1.36363636],0
s2,1,0.09326,2.817191,[45 32] ; [1 4],[43.19512195 33.80487805] ; [2.80487805 2.19512195],0
r3,1,0.105252,2.624109,[74  3] ; [4 1],[73.24390244  3.75609756] ; [4.75609756 0.24390244],0
b5,1,0.105802,2.615839,[33 44] ; [4 1],[34.74390244 42.25609756] ; [2.25609756 2.74390244],0
p9,1,0.108551,2.575197,[73  3] ; [4 1],[72.24691358  3.75308642] ; [4.75308642 0.24691358],0
s6,1,0.159547,1.978517,[60 11] ; [3 2],[58.85526316 12.14473684] ; [4.14473684 0.85526316],0
a7,1,0.160621,1.968374,[54 23] ; [2 3],[52.58536585 24.41463415] ; [3.41463415 1.58536585],0
n6,1,0.172775,1.858701,[71  5] ; [3 1],[70.3  5.7] ; [3.7 0.3],0
v1,1,0.17512,1.838557,[52 23] ; [2 3],[50.625 24.375] ; [3.375 1.625],0
s1,1,0.180028,1.797389,[ 4 73] ; [1 4],[ 4.69512195 72.30487805] ; [0.30487805 4.69512195],0
s5,1,0.19043,1.714286,[48 22] ; [2 3],[46.66666667 23.33333333] ; [3.33333333 1.66666667],0
r1,1,0.1951,1.678677,[64 13] ; [3 2],[62.91463415 14.08536585] ; [4.08536585 0.91463415],0
d3,1,0.217038,1.523849,[51 25] ; [2 3],[49.72839506 26.27160494] ; [3.27160494 1.72839506],0
p2,1,0.232399,1.426121,[71  6] ; [3 1],[70.34567901  6.65432099] ; [3.65432099 0.34567901],0
s8,1,0.253888,1.30178,[49 26] ; [2 3],[47.8125 27.1875] ; [3.1875 1.8125],0
v2,1,0.264255,1.24633,[48 26] ; [2 3],[46.83544304 27.16455696] ; [3.16455696 1.83544304],0
b4,1,0.266394,1.235222,[42 35] ; [4 1],[43.19512195 33.80487805] ; [2.80487805 2.19512195],0
p4,1,0.267008,1.232053,[71  5] ; [4 1],[70.37037037  5.62962963] ; [4.62962963 0.37037037],0
a6,1,0.272331,1.204969,[49 27] ; [2 3],[47.85185185 28.14814815] ; [3.14814815 1.85185185],0
p6,1,0.301142,1.069131,[56 20] ; [2 2],[55.1 20.9] ; [2.9 1.1],0
a4,1,0.314749,1.010644,[33 44] ; [1 4],[31.92682927 45.07317073] ; [2.07317073 2.92682927],0
b1,1,0.340805,0.907401,[32 45] ; [1 4],[30.98780488 46.01219512] ; [2.01219512 2.98780488],0
p10,1,0.350751,0.870738,[70  6] ; [4 1],[69.43209877  6.56790123] ; [4.56790123 0.43209877],0
s3,1,0.352567,0.864198,[47 30] ; [2 3],[46.01219512 30.98780488] ; [2.98780488 2.01219512],0
d1,1,0.352567,0.864198,[47 30] ; [2 3],[46.01219512 30.98780488] ; [2.98780488 2.01219512],0
n5,1,0.425657,0.634644,[70  7] ; [4 1],[69.48780488  7.51219512] ; [4.51219512 0.48780488],0
p11,1,0.425657,0.634644,[70  7] ; [4 1],[69.48780488  7.51219512] ; [4.51219512 0.48780488],0
p12,1,0.599097,0.27636,[24 53] ; [1 4],[23.47560976 53.52439024] ; [1.52439024 3.47560976],0
n3,1,0.64315,0.214646,[10  5] ; [1 1],[9.70588235 5.29411765] ; [1.29411765 0.70588235],0
a5,1,0.813506,0.055651,[58 19] ; [4 1],[58.2195122 18.7804878] ; [3.7804878 1.2195122],0
a3,1,0.86233,0.030071,[59 18] ; [4 1],[59.15853659 17.84146341] ; [3.84146341 1.15853659],0
d5,1,0.901797,0.015226,[59 17] ; [4 1],[59.11111111 16.88888889] ; [3.88888889 1.11111111],0
a2,1,0.918833,0.010384,[14 63] ; [1 4],[14.08536585 62.91463415] ; [0.91463415 4.08536585],0
a8,1,0.924927,0.008879,[13 58] ; [1 4],[13.07894737 57.92105263] ; [0.92105263 4.07894737],0
b2,1,0.972939,0.001151,[29 28] ; [2 2],[28.96721311 28.03278689] ; [2.03278689 1.96721311],0
b3,1,0.972939,0.001151,[29 28] ; [2 2],[28.96721311 28.03278689] ; [2.03278689 1.96721311],0
