Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,3e-06,22.140458,[63 14] ; [ 8 17],[53.59803922 23.40196078] ; [17.40196078  7.59803922],1
d1,1,3e-06,21.623253,[47 31] ; [ 2 24],[36.75 41.25] ; [12.25 13.75],1
r3,1,0.000146,14.42317,[75  2] ; [19  7],[70.27184466  6.72815534] ; [23.72815534  2.27184466],1
r4,1,0.000313,12.990392,[68 10] ; [14 12],[61.5 16.5] ; [20.5  5.5],1
r1,1,0.00126,10.4,[66 12] ; [14 12],[60. 18.] ; [20.  6.],0
a6,1,0.001409,10.194433,[57 21] ; [10 16],[50.25 27.75] ; [16.75  9.25],0
a5,1,0.002034,9.518644,[51 27] ; [ 8 18],[44.25 33.75] ; [14.75 11.25],0
p7,1,0.00231,9.28564,[39 38] ; [22  4],[45.60194175 31.39805825] ; [15.39805825 10.60194175],0
r2,1,0.010236,6.593407,[72  6] ; [19  7],[68.25  9.75] ; [22.75  3.25],0
d3,1,0.011868,6.330435,[57 21] ; [12 14],[51.75 26.25] ; [17.25  8.75],0
n4,1,0.014157,6.018519,[59 19] ; [13 13],[54. 24.] ; [18.  8.],0
d2,1,0.019994,5.412407,[41 36] ; [ 7 19],[35.88349515 41.11650485] ; [12.11650485 13.88349515],0
a7,1,0.023208,5.152895,[57 20] ; [13 13],[52.33009709 24.66990291] ; [17.66990291  8.33009709],0
v4,1,0.03754,4.325732,[74  3] ; [21  4],[71.71568627  5.28431373] ; [23.28431373  1.71568627],0
a4,1,0.03768,4.319394,[30 48] ; [ 4 21],[25.74757282 52.25242718] ; [ 8.25242718 16.74757282],0
u3,1,0.038011,4.304514,[19 11] ; [ 5 11],[15.65217391 14.34782609] ; [8.34782609 7.65217391],0
a3,1,0.040189,4.209895,[48 30] ; [10 16],[43.5 34.5] ; [14.5 11.5],0
s6,1,0.06124,3.50349,[40 37] ; [ 8 18],[35.88349515 41.11650485] ; [12.11650485 13.88349515],0
u1,1,0.076297,3.142072,[14 64] ; [ 1 25],[11.25 66.75] ; [ 3.75 22.25],0
p10,1,0.077416,3.118327,[27 51] ; [ 4 21],[23.47572816 54.52427184] ; [ 7.52427184 17.47572816],0
p6,1,0.155737,2.015135,[18 57] ; [10 16],[20.79207921 54.20792079] ; [ 7.20792079 18.79207921],0
n3,1,0.160008,1.974146,[15  9] ; [11  2],[16.86486486  7.13513514] ; [9.13513514 3.86486486],0
s7,1,0.219648,1.506669,[27 45] ; [ 6 19],[24.49484536 47.50515464] ; [ 8.50515464 16.49484536],0
p11,1,0.248577,1.331285,[49 29] ; [13 13],[46.5 31.5] ; [15.5 10.5],0
n5,1,0.254332,1.29935,[46 32] ; [12 14],[43.5 34.5] ; [14.5 11.5],0
p4,1,0.257166,1.283951,[43 35] ; [11 15],[40.5 37.5] ; [13.5 12.5],0
s5,1,0.259119,1.27346,[17 59] ; [ 3 22],[15.04950495 60.95049505] ; [ 4.95049505 20.04950495],0
p3,1,0.268643,1.223662,[30 47] ; [ 7 19],[27.66019417 49.33980583] ; [ 9.33980583 16.66019417],0
n2,1,0.28245,1.155266,[15  7] ; [11  2],[16.34285714  5.65714286] ; [9.65714286 3.34285714],0
s8,1,0.291754,1.111509,[23 54] ; [ 5 21],[20.93203883 56.06796117] ; [ 7.06796117 18.93203883],0
s2,1,0.340379,0.909002,[31 44] ; [ 8 18],[28.96039604 46.03960396] ; [10.03960396 15.96039604],0
p1,1,0.387637,0.746342,[ 7 70] ; [ 1 25],[ 5.98058252 71.01941748] ; [ 2.01941748 23.98058252],0
b5,1,0.417397,0.657633,[49 29] ; [14 12],[47.25 30.75] ; [15.75 10.25],0
b4,1,0.480553,0.497608,[51 27] ; [15 11],[49.5 28.5] ; [16.5  9.5],0
v1,1,0.488756,0.479263,[33 45] ; [ 9 17],[31.5 46.5] ; [10.5 15.5],0
s4,1,0.62677,0.236466,[14 61] ; [ 6 20],[14.85148515 60.14851485] ; [ 5.14851485 20.85148515],0
u2,1,0.673214,0.177866,[16 14] ; [7 8],[15.33333333 14.66666667] ; [7.66666667 7.33333333],0
v2,1,0.678621,0.171682,[34 42] ; [10 15],[33.10891089 42.89108911] ; [10.89108911 14.10891089],0
n1,1,0.689095,0.160066,[ 7 15] ; [5 8],[ 7.54285714 14.45714286] ; [4.45714286 8.54285714],0
s3,1,0.691804,0.157139,[38 39] ; [14 12],[38.87378641 38.12621359] ; [13.12621359 12.87378641],0
s1,1,0.718371,0.130059,[ 2 75] ; [ 1 24],[ 2.26470588 74.73529412] ; [ 0.73529412 24.26470588],0
p5,1,0.735177,0.114411,[ 2 76] ; [ 1 25],[ 2.25 75.75] ; [ 0.75 25.25],0
v3,1,0.746965,0.104099,[23 53] ; [ 7 19],[22.35294118 53.64705882] ; [ 7.64705882 18.35294118],0
n6,1,0.809262,0.058263,[52 26] ; [18  8],[52.5 25.5] ; [17.5  8.5],0
b3,1,0.833449,0.044218,[11 38] ; [ 4 12],[11.30769231 37.69230769] ; [ 3.69230769 12.30769231],0
b2,1,0.833449,0.044218,[11 38] ; [ 4 12],[11.30769231 37.69230769] ; [ 3.69230769 12.30769231],0
a8,1,0.926444,0.008523,[ 6 61] ; [ 2 22],[ 5.89010989 61.10989011] ; [ 2.10989011 21.89010989],0
p8,1,1.0,0.0,[33 45] ; [11 15],[33. 45.] ; [11. 15.],0
b1,1,1.0,0.0,[42 36] ; [14 12],[42. 36.] ; [14. 12.],0
