Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,32.485309,[10 74] ; [18  9],[21.18918919 62.81081081] ; [ 6.81081081 20.18918919],1
p3,1,1e-06,25.084545,[12 72] ; [17 10],[21.94594595 62.05405405] ; [ 7.05405405 19.94594595],1
p6,1,8.1e-05,15.537017,[ 7 76] ; [11 16],[13.58181818 69.41818182] ; [ 4.41818182 22.58181818],1
p4,1,0.000962,10.898966,[16 67] ; [14 13],[22.63636364 60.36363636] ; [ 7.36363636 19.63636364],1
b4,1,0.023591,5.124487,[52 32] ; [10 17],[46.91891892 37.08108108] ; [15.08108108 11.91891892],0
a2,1,0.026105,4.949065,[19 65] ; [ 1 26],[15.13513514 68.86486486] ; [ 4.86486486 22.13513514],0
v2,1,0.03013,4.701884,[27 53] ; [15 11],[31.69811321 48.30188679] ; [10.30188679 15.69811321],0
r4,1,0.03761,4.322565,[50 34] ; [22  5],[54.48648649 29.51351351] ; [17.51351351  9.48648649],0
v4,1,0.052238,3.768118,[59 25] ; [24  3],[62.81081081 21.18918919] ; [20.18918919  6.81081081],0
p11,1,0.052707,3.7532,[38 46] ; [18  9],[42.37837838 41.62162162] ; [13.62162162 13.37837838],0
s2,1,0.088341,2.904356,[ 8 75] ; [ 6 21],[10.56363636 72.43636364] ; [ 3.43636364 23.56363636],0
v1,1,0.088694,2.897915,[17 65] ; [10 17],[20.31192661 61.68807339] ; [ 6.68807339 20.31192661],0
p10,1,0.094159,2.801799,[33 48] ; [16 11],[36.75 44.25] ; [12.25 14.75],0
p5,1,0.131764,2.271599,[ 3 81] ; [ 3 24],[ 4.54054054 79.45945946] ; [ 1.45945946 25.54054054],0
b3,1,0.132193,2.266555,[24 28] ; [ 5 14],[21.23943662 30.76056338] ; [ 7.76056338 11.23943662],0
b2,1,0.132193,2.266555,[24 28] ; [ 5 14],[21.23943662 30.76056338] ; [ 7.76056338 11.23943662],0
n6,1,0.140324,2.174405,[55 29] ; [21  5],[58.03636364 25.96363636] ; [17.96363636  8.03636364],0
r3,1,0.152207,2.049996,[60 24] ; [23  4],[62.81081081 21.18918919] ; [20.18918919  6.81081081],0
d2,1,0.161659,1.958636,[40 42] ; [ 9 18],[36.86238532 45.13761468] ; [12.13761468 14.86238532],0
s5,1,0.16851,1.896152,[12 68] ; [ 7 19],[14.33962264 65.66037736] ; [ 4.66037736 21.33962264],0
a3,1,0.18307,1.772522,[52 31] ; [13 14],[49.04545455 33.95454545] ; [15.95454545 11.04545455],0
a6,1,0.354684,0.85663,[52 32] ; [14 13],[49.94594595 34.05405405] ; [16.05405405 10.94594595],0
s6,1,0.361267,0.833485,[27 56] ; [11 15],[28.93577982 54.06422018] ; [ 9.06422018 16.93577982],0
n2,1,0.363325,0.826367,[23 16] ; [4 1],[23.93181818 15.06818182] ; [3.06818182 1.93181818],0
r2,1,0.383375,0.759852,[67 15] ; [24  3],[68.4587156 13.5412844] ; [22.5412844  4.4587156],0
d1,1,0.413823,0.667791,[36 48] ; [14 13],[37.83783784 46.16216216] ; [12.16216216 14.83783784],0
p9,1,0.433934,0.612271,[37 42] ; [15 12],[38.75471698 40.24528302] ; [13.24528302 13.75471698],0
n1,1,0.52382,0.406365,[13 25] ; [1 4],[12.37209302 25.62790698] ; [1.62790698 3.37209302],0
b1,1,0.532704,0.389231,[40 44] ; [11 16],[38.59459459 45.40540541] ; [12.40540541 14.59459459],0
a4,1,0.550522,0.356384,[33 50] ; [ 9 18],[31.69090909 51.30909091] ; [10.30909091 16.69090909],0
d4,1,0.619121,0.247105,[58 26] ; [20  7],[59.02702703 24.97297297] ; [18.97297297  8.02702703],0
n5,1,0.634823,0.225577,[51 33] ; [15 12],[49.94594595 34.05405405] ; [16.05405405 10.94594595],0
v3,1,0.637352,0.222222,[28 53] ; [ 8 19],[27. 54.] ; [ 9. 18.],0
