Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.0,35.42515,[12 76] ; [104 101],[34.83959044 53.16040956] ; [ 81.16040956 123.83959044],1
d2,1,0.0,30.234537,[16 73] ; [107  97],[37.36177474 51.63822526] ; [ 85.63822526 118.36177474],1
d1,1,0.0,26.806857,[27 62] ; [130  76],[47.36610169 41.63389831] ; [109.63389831  96.36610169],1
a3,1,4e-06,21.050239,[41 47] ; [153  53],[58.06802721 29.93197279] ; [135.93197279  70.06802721],1
d5,1,9e-06,19.611334,[56 33] ; [176  29],[70.23129252 18.76870748] ; [161.76870748  43.23129252],1
u1,1,6e-05,16.116951,[ 2 87] ; [ 42 164],[13.27457627 75.72542373] ; [ 30.72542373 175.27457627],1
a6,1,7.8e-05,15.613785,[45 44] ; [152  53],[59.63605442 29.36394558] ; [137.36394558  67.63605442],1
r1,1,0.000754,11.351331,[62 27] ; [177  28],[72.35034014 16.64965986] ; [166.64965986  38.35034014],1
v4,1,0.004319,8.144567,[79  9] ; [199   5],[83.78082192  4.21917808] ; [194.21917808   9.78082192],0
a7,1,0.014722,5.949422,[58 31] ; [162  44],[66.37288136 22.62711864] ; [153.62711864  52.37288136],0
r4,1,0.015001,5.916328,[73 16] ; [189  17],[79.0440678  9.9559322] ; [182.9559322  23.0440678],0
n4,1,0.015879,5.816226,[57 32] ; [159  46],[65.3877551 23.6122449] ; [150.6122449  54.3877551],0
p9,1,0.021282,5.303591,[64 22] ; [174  29],[70.82352941 15.17647059] ; [167.17647059  35.82352941],0
r2,1,0.02183,5.259286,[77 11] ; [193  10],[81.64948454  6.35051546] ; [188.35051546  14.64948454],0
d4,1,0.022709,5.190605,[65 24] ; [173  32],[72.04761905 16.95238095] ; [165.95238095  39.04761905],0
s3,1,0.023398,5.138745,[68 19] ; [130  71],[59.8125 27.1875] ; [138.1875  62.8125],0
v1,1,0.041979,4.136063,[36 50] ; [111  91],[43.89583333 42.10416667] ; [103.10416667  98.89583333],0
p4,1,0.048728,3.88471,[30 59] ; [ 94 110],[37.66552901 51.33447099] ; [ 86.33447099 117.66552901],0
d3,1,0.05192,3.778345,[56 33] ; [152  53],[62.96598639 26.03401361] ; [145.03401361  59.96598639],0
s5,1,0.053999,3.712716,[26 62] ; [ 83 117],[33.30555556 54.69444444] ; [ 75.69444444 124.30555556],0
s7,1,0.061104,3.507169,[39 47] ; [117  87],[46.26206897 39.73793103] ; [109.73793103  94.26206897],0
b2,1,0.083383,2.997703,[10 38] ; [42 80],[14.68235294 33.31764706] ; [37.31764706 84.68235294],0
b3,1,0.083383,2.997703,[10 38] ; [42 80],[14.68235294 33.31764706] ; [37.31764706 84.68235294],0
v2,1,0.094528,2.795523,[38 46] ; [110  86],[44.4 39.6] ; [103.6  92.4],0
s4,1,0.106155,2.610556,[24 64] ; [ 38 164],[18.8137931 69.1862069] ; [ 43.1862069 158.8137931],0
n6,1,0.115511,2.477158,[68 20] ; [174  31],[72.68259386 15.31740614] ; [169.31740614  35.68259386],0
b5,1,0.139407,2.184488,[53 36] ; [141  65],[58.52881356 30.47118644] ; [135.47118644  70.52881356],0
p2,1,0.148781,2.084707,[65 24] ; [166  40],[69.69152542 19.30847458] ; [161.30847458  44.69152542],0
n2,1,0.17538,1.836342,[18  8] ; [51 11],[20.38636364  5.61363636] ; [48.61363636 13.38636364],0
n3,1,0.186972,1.741314,[15 11] ; [44 17],[17.63218391  8.36781609] ; [41.36781609 19.63218391],0
s8,1,0.243604,1.359619,[39 50] ; [105 100],[43.59183673 45.40816327] ; [100.40816327 104.59183673],0
v3,1,0.288973,1.124401,[26 61] ; [ 72 126],[29.91578947 57.08421053] ; [ 68.08421053 129.91578947],0
a1,1,0.298125,1.082562,[ 2 87] ; [ 10 196],[ 3.62033898 85.37966102] ; [  8.37966102 197.62033898],0
p10,1,0.320887,0.985329,[66 22] ; [162  40],[69.1862069 18.8137931] ; [158.8137931  43.1862069],0
n1,1,0.368752,0.807864,[ 8 18] ; [25 36],[ 9.86206897 16.13793103] ; [23.13793103 37.86206897],0
n5,1,0.385471,0.75318,[63 26] ; [155  50],[65.99319728 23.00680272] ; [152.00680272  52.99319728],0
r3,1,0.387361,0.747211,[82  6] ; [196   9],[83.49488055  4.50511945] ; [194.50511945  10.49488055],0
u3,1,0.414407,0.666123,[30 17] ; [29 23],[28.01010101 18.98989899] ; [30.98989899 21.01010101],0
s1,1,0.493727,0.468395,[ 5 81] ; [  8 193],[ 3.89547038 82.10452962] ; [  9.10452962 191.89547038],0
u2,1,0.549539,0.358144,[29 18] ; [29 23],[27.53535354 19.46464646] ; [30.46464646 21.53535354],0
p1,1,0.657765,0.19625,[ 4 84] ; [ 12 194],[ 4.78911565 83.21088435] ; [ 11.21088435 194.78911565],0
p8,1,0.682695,0.167108,[33 54] ; [ 81 119],[34.55749129 52.44250871] ; [ 79.44250871 120.55749129],0
p11,1,0.6892,0.159952,[65 24] ; [155  51],[66.37288136 22.62711864] ; [153.62711864  52.37288136],0
p12,1,0.697937,0.150627,[ 5 84] ; [ 14 191],[ 5.75170068 83.24829932] ; [ 13.24829932 191.75170068],0
b1,1,0.699372,0.149126,[31 58] ; [ 67 139],[29.56610169 59.43389831] ; [ 68.43389831 137.56610169],0
p7,1,0.733768,0.11568,[44 40] ; [107  89],[45.3 38.7] ; [105.7  90.3],0
a8,1,0.743502,0.107072,[13 69] ; [ 32 151],[13.9245283 68.0754717] ; [ 31.0754717 151.9245283],0
b4,1,0.776421,0.080648,[52 37] ; [124  82],[53.09830508 35.90169492] ; [122.90169492  83.09830508],0
p5,1,0.778194,0.07934,[ 6 83] ; [ 12 192],[ 5.46757679 83.53242321] ; [ 12.53242321 191.46757679],0
s2,1,0.908123,0.013319,[56 32] ; [129  76],[55.56313993 32.43686007] ; [129.43686007  75.56313993],0
p6,1,1.0,0.0,[24 63] ; [ 56 147],[24. 63.] ; [ 56. 147.],0
