Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,63.283951,[104  37] ; [ 91 187],[65.62052506 75.37947494] ; [129.37947494 148.62052506],1
v1,1,5e-06,20.747501,[82 61] ; [ 97 186],[60.08685446 82.91314554] ; [118.91314554 164.08685446],1
r1,1,0.000257,13.362774,[120  25] ; [190  98],[103.81062356  41.18937644] ; [206.18937644  81.81062356],1
s8,1,0.002655,9.030547,[53 91] ; [ 67 223],[ 39.8156682 104.1843318] ; [ 80.1843318 209.8156682],0
d2,1,0.007723,7.09664,[72 73] ; [105 184],[59.1359447 85.8640553] ; [117.8640553 171.1359447],0
d1,1,0.008108,7.009439,[82 63] ; [125 165],[69. 76.] ; [138. 152.],0
p3,1,0.009074,6.808245,[61 83] ; [ 86 203],[48.88683603 95.11316397] ; [ 98.11316397 190.88683603],0
r4,1,0.013108,6.154499,[124  21] ; [218  72],[114.  31.] ; [228.  62.],0
s6,1,0.015596,5.847808,[82 61] ; [130 159],[70.17592593 72.82407407] ; [141.82407407 147.17592593],0
r2,1,0.021377,5.295756,[133  10] ; [244  42],[125.66666667  17.33333333] ; [251.33333333  34.66666667],0
d4,1,0.023705,5.116076,[117  28] ; [204  85],[107.24654378  37.75345622] ; [213.75345622  75.24654378],0
s2,1,0.030339,4.689953,[58 85] ; [ 87 202],[47.99768519 95.00231481] ; [ 97.00231481 191.99768519],0
n4,1,0.035551,4.418513,[110  34] ; [193  97],[100.53456221  43.46543779] ; [202.46543779  87.53456221],0
a5,1,0.038282,4.292427,[105  40] ; [181 109],[95.33333333 49.66666667] ; [190.66666667  99.33333333],0
n5,1,0.039057,4.258405,[109  35] ; [190  98],[99.66666667 44.33333333] ; [199.33333333  88.66666667],0
s7,1,0.039293,4.248162,[53 82] ; [ 81 197],[43.80145278 91.19854722] ; [ 90.19854722 187.80145278],0
a3,1,0.041777,4.144212,[103  42] ; [176 112],[93.4295612 51.5704388] ; [185.5704388 102.4295612],0
a2,1,0.054195,3.70669,[ 34 111] ; [ 46 244],[ 26.66666667 118.33333333] ; [ 53.33333333 236.66666667],0
p10,1,0.056101,3.649042,[110  33] ; [196  92],[101.52668213  41.47331787] ; [204.47331787  83.52668213],0
r3,1,0.056325,3.642411,[134  11] ; [249  40],[127.96082949  17.03917051] ; [255.03917051  33.96082949],0
a4,1,0.05778,3.6,[63 81] ; [ 99 189],[54. 90.] ; [108. 180.],0
p12,1,0.062437,3.471429,[  7 137] ; [  5 283],[  4. 140.] ; [  8. 280.],0
d3,1,0.079942,3.066075,[99 46] ; [173 117],[90.66666667 54.33333333] ; [181.33333333 108.66666667],0
v4,1,0.106081,2.611657,[133  12] ; [248  39],[127.88194444  17.11805556] ; [253.11805556  33.88194444],0
a8,1,0.107539,2.590014,[ 21 110] ; [ 28 241],[ 16.0475 114.9525] ; [ 32.9525 236.0475],0
d5,1,0.122033,2.39103,[114  31] ; [208  82],[107.33333333  37.66666667] ; [214.66666667  75.33333333],0
p7,1,0.184312,1.762505,[72 68] ; [128 159],[65.57377049 74.42622951] ; [134.42622951 152.57377049],0
s4,1,0.188707,1.727685,[ 14 130] ; [ 41 248],[ 18.29099307 125.70900693] ; [ 36.70900693 252.29099307],0
n6,1,0.193016,1.694446,[115  30] ; [212  76],[109.5034642  35.4965358] ; [217.4965358  70.5034642],0
u4,1,0.203286,1.618605,[  3 142] ; [  2 288],[  1.66666667 143.33333333] ; [  3.33333333 286.66666667],0
b1,1,0.23598,1.404449,[50 95] ; [117 173],[55.66666667 89.33333333] ; [111.33333333 178.66666667],0
a1,1,0.25715,1.284036,[  9 136] ; [ 11 279],[  6.66666667 138.33333333] ; [ 13.33333333 276.66666667],0
b2,1,0.258396,1.27733,[32 64] ; [ 43 118],[28.0155642 67.9844358] ; [ 46.9844358 114.0155642],0
b3,1,0.258396,1.27733,[32 64] ; [ 43 118],[28.0155642 67.9844358] ; [ 46.9844358 114.0155642],0
p5,1,0.2679,1.227467,[  7 137] ; [  8 279],[  5.01160093 138.98839907] ; [  9.98839907 277.01160093],0
p11,1,0.2907,1.116378,[109  36] ; [204  86],[104.33333333  40.66666667] ; [208.66666667  81.33333333],0
p1,1,0.292825,1.106589,[ 10 135] ; [ 13 276],[  7.6843318 137.3156682] ; [ 15.3156682 273.6843318],0
n1,1,0.304811,1.053026,[ 9 25] ; [34 60],[11.421875 22.578125] ; [31.578125 62.421875],0
s3,1,0.323893,0.97316,[68 74] ; [123 164],[63.22144522 78.77855478] ; [127.77855478 159.22144522],0
u2,1,0.361985,0.830995,[23 18] ; [54 59],[20.5 20.5] ; [56.5 56.5],0
p4,1,0.397202,0.716782,[64 79] ; [117 172],[59.91435185 83.08564815] ; [121.08564815 167.91435185],0
n3,1,0.412988,0.670182,[24 10] ; [59 35],[22.046875 11.953125] ; [60.953125 33.046875],0
u1,1,0.468124,0.5264,[ 20 125] ; [ 33 257],[ 17.66666667 127.33333333] ; [ 35.33333333 254.66666667],0
n2,1,0.483873,0.490122,[25 10] ; [61 33],[23.33333333 11.66666667] ; [62.66666667 31.33333333],0
s1,1,0.549632,0.357976,[  6 136] ; [  9 281],[  4.93055556 137.06944444] ; [ 10.06944444 279.93055556],0
a7,1,0.554375,0.349538,[104  41] ; [200  90],[101.33333333  43.66666667] ; [202.66666667  87.33333333],0
p9,1,0.61581,0.251801,[106  37] ; [204  80],[103.81733021  39.18266979] ; [206.18266979  77.81733021],0
b4,1,0.630181,0.231816,[87 58] ; [167 123],[84.66666667 60.33333333] ; [169.33333333 120.66666667],0
p8,1,0.72656,0.122294,[57 87] ; [109 179],[55.33333333 88.66666667] ; [110.66666667 177.33333333],0
u3,1,0.779923,0.078075,[21 20] ; [55 58],[20.23376623 20.76623377] ; [55.76623377 57.23376623],0
b5,1,0.833966,0.043939,[89 56] ; [181 109],[90. 55.] ; [180. 110.],0
a6,1,0.942764,0.005155,[96 49] ; [193  97],[96.33333333 48.66666667] ; [192.66666667  97.33333333],0
p2,1,0.966487,0.001765,[104  40] ; [210  80],[104.1843318  39.8156682] ; [209.8156682  80.1843318],0
