Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.000306,13.030888,[84 21] ; [14 16],[76.22222222 28.77777778] ; [21.77777778  8.22222222],1
p8,1,0.00295,8.838247,[62 40] ; [ 9 21],[54.86363636 47.13636364] ; [16.13636364 13.86363636],0
p10,1,0.012782,6.19898,[101   4] ; [25  5],[98.  7.] ; [28.  2.],0
s5,1,0.024674,5.046602,[50 48] ; [19  6],[54.97560976 43.02439024] ; [14.02439024 10.97560976],0
d5,1,0.036196,4.387846,[79 26] ; [27  2],[83.05970149 21.94029851] ; [22.94029851  6.05970149],0
d2,1,0.038004,4.304847,[44 61] ; [19 11],[49. 56.] ; [14. 16.],0
n4,1,0.048285,3.900043,[76 29] ; [16 14],[71.55555556 33.44444444] ; [20.44444444  9.55555556],0
n6,1,0.071064,3.258261,[93 11] ; [23  7],[90.02985075 13.97014925] ; [25.97014925  4.02985075],0
p2,1,0.120507,2.410714,[87 18] ; [21  9],[84. 21.] ; [24.  6.],0
v1,1,0.140753,2.16971,[54 50] ; [11 19],[50.44776119 53.55223881] ; [14.55223881 15.44776119],0
d3,1,0.177782,1.816067,[78 27] ; [25  4],[80.70895522 24.29104478] ; [22.29104478  6.70895522],0
n3,1,0.191825,1.703543,[16  6] ; [11  1],[17.47058824  4.52941176] ; [9.52941176 2.47058824],0
a7,1,0.223259,1.483302,[71 34] ; [23  6],[73.65671642 31.34328358] ; [20.34328358  8.65671642],0
n1,1,0.228366,1.45101,[ 8 14] ; [ 2 10],[ 6.47058824 15.52941176] ; [3.52941176 8.47058824],0
p7,1,0.241739,1.370423,[72 29] ; [18 12],[69.38931298 31.61068702] ; [20.61068702  9.38931298],0
a4,1,0.266575,1.234286,[44 61] ; [16 14],[46.66666667 58.33333333] ; [13.33333333 16.66666667],0
p3,1,0.333879,0.933794,[56 49] ; [13 17],[53.66666667 51.33333333] ; [15.33333333 14.66666667],0
p12,1,0.333974,0.933429,[ 9 96] ; [ 1 29],[ 7.77777778 97.22222222] ; [ 2.22222222 27.77777778],0
p4,1,0.346151,0.887516,[66 39] ; [16 14],[63.77777778 41.22222222] ; [18.22222222 11.77777778],0
a5,1,0.349128,0.876623,[75 30] ; [24  6],[77. 28.] ; [22.  8.],0
r1,1,0.357827,0.845505,[82 23] ; [21  9],[80.11111111 24.88888889] ; [22.88888889  7.11111111],0
u3,1,0.388237,0.744456,[20 13] ; [3 4],[18.975 14.025] ; [4.025 2.975],0
a3,1,0.391795,0.733365,[72 33] ; [23  7],[73.88888889 31.11111111] ; [21.11111111  8.88888889],0
n2,1,0.406186,0.689935,[19  3] ; [9 3],[18.11764706  3.88235294] ; [9.88235294 2.11764706],0
p1,1,0.435542,0.607999,[ 9 96] ; [ 4 26],[10.11111111 94.88888889] ; [ 2.88888889 27.11111111],0
r3,1,0.476743,0.506305,[101   4] ; [27  2],[100.29850746   4.70149254] ; [27.70149254  1.29850746],0
s3,1,0.49256,0.470929,[76 28] ; [20 10],[74.50746269 29.49253731] ; [21.49253731  8.50746269],0
v4,1,0.503046,0.448505,[101   4] ; [28  2],[100.33333333   4.66666667] ; [28.66666667  1.33333333],0
v3,1,0.512532,0.428894,[31 71] ; [ 7 22],[29.58778626 72.41221374] ; [ 8.41221374 20.58778626],0
v2,1,0.527372,0.399454,[49 52] ; [16 13],[50.5 50.5] ; [14.5 14.5],0
s2,1,0.600895,0.273647,[74 29] ; [23  7],[75.12030075 27.87969925] ; [21.87969925  8.12030075],0
d1,1,0.606585,0.265179,[61 44] ; [19 11],[62.22222222 42.77777778] ; [17.77777778 12.22222222],0
b4,1,0.642169,0.215917,[61 44] ; [16 14],[59.88888889 45.11111111] ; [17.11111111 12.88888889],0
a8,1,0.659362,0.194299,[ 5 95] ; [ 2 26],[ 5.46875 94.53125] ; [ 1.53125 26.46875],0
b1,1,0.660549,0.192857,[34 71] ; [11 19],[35. 70.] ; [10. 20.],0
s6,1,0.682263,0.16759,[87 15] ; [23  5],[86.30769231 15.69230769] ; [23.69230769  4.30769231],0
b5,1,0.741605,0.108721,[63 42] ; [19 11],[63.77777778 41.22222222] ; [18.22222222 11.77777778],0
d4,1,0.76717,0.087662,[85 20] ; [25  5],[85.55555556 19.44444444] ; [24.44444444  5.55555556],0
b2,1,0.849996,0.035768,[15 46] ; [3 8],[15.25 45.75] ; [2.75 8.25],0
b3,1,0.849996,0.035768,[15 46] ; [3 8],[15.25 45.75] ; [2.75 8.25],0
u2,1,0.900154,0.015742,[15 18] ; [3 4],[14.85 18.15] ; [3.15 3.85],0
u1,1,0.907127,0.01361,[20 85] ; [ 6 24],[20.22222222 84.77777778] ; [ 5.77777778 24.22222222],0
s7,1,0.908355,0.013251,[65 40] ; [17 11],[64.73684211 40.26315789] ; [17.26315789 10.73684211],0
a2,1,0.909662,0.012874,[22 83] ; [ 6 24],[21.77777778 83.22222222] ; [ 6.22222222 23.77777778],0
s8,1,0.926593,0.008488,[55 50] ; [16 14],[55.22222222 49.77777778] ; [15.77777778 14.22222222],0
r4,1,0.937849,0.00608,[95 10] ; [27  3],[94.88888889 10.11111111] ; [27.11111111  2.88888889],0
p5,1,0.937849,0.00608,[10 95] ; [ 3 27],[10.11111111 94.88888889] ; [ 2.88888889 27.11111111],0
p6,1,0.960418,0.002463,[48 56] ; [14 16],[48.11940299 55.88059701] ; [13.88059701 16.11940299],0
a6,1,1.0,0.0,[70 35] ; [20 10],[70. 35.] ; [20. 10.],0
