Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,3e-06,21.627154,[57  9] ; [10 16],[48.06521739 17.93478261] ; [18.93478261  7.06521739],1
r2,1,0.001014,10.802557,[63  3] ; [17  7],[58.66666667  7.33333333] ; [21.33333333  2.66666667],0
d3,1,0.004421,8.102278,[48 17] ; [11 15],[42.14285714 22.85714286] ; [16.85714286  9.14285714],0
r3,1,0.019709,5.437531,[61  4] ; [20  6],[57.85714286  7.14285714] ; [23.14285714  2.85714286],0
v3,1,0.028145,4.819162,[19 42] ; [ 2 22],[15.07058824 45.92941176] ; [ 5.92941176 18.07058824],0
v4,1,0.037032,4.348928,[59  5] ; [19  6],[56.08988764  7.91011236] ; [21.91011236  3.08988764],0
b1,1,0.063974,3.431235,[29 37] ; [17  9],[33. 33.] ; [13. 13.],0
a1,1,0.077465,3.117306,[ 3 63] ; [ 4 22],[ 5.02173913 60.97826087] ; [ 1.97826087 24.02173913],0
s6,1,0.123849,2.367957,[46 19] ; [14 12],[42.85714286 22.14285714] ; [17.14285714  8.85714286],0
n1,1,0.149987,2.072381,[ 8 16] ; [6 4],[ 9.88235294 14.11764706] ; [4.11764706 5.88235294],0
p1,1,0.152968,2.042402,[ 4 62] ; [ 4 22],[ 5.73913043 60.26086957] ; [ 2.26086957 23.73913043],0
p8,1,0.236839,1.399311,[25 40] ; [ 6 18],[22.64044944 42.35955056] ; [ 8.35955056 15.64044944],0
p4,1,0.251263,1.316266,[24 41] ; [13 13],[26.42857143 38.57142857] ; [10.57142857 15.42857143],0
d2,1,0.27291,1.202064,[22 43] ; [12 14],[24.28571429 40.71428571] ; [ 9.71428571 16.28571429],0
a7,1,0.287697,1.130368,[41 25] ; [13 13],[38.73913043 27.26086957] ; [15.26086957 10.73913043],0
b5,1,0.287697,1.130368,[41 25] ; [13 13],[38.73913043 27.26086957] ; [15.26086957 10.73913043],0
a8,1,0.313584,1.01552,[ 5 56] ; [ 4 22],[ 6.31034483 54.68965517] ; [ 2.68965517 23.31034483],0
n5,1,0.35188,0.866667,[28 37] ; [14 12],[30. 35.] ; [12. 14.],0
u2,1,0.385183,0.754095,[21  5] ; [6 3],[20.05714286  5.94285714] ; [6.94285714 2.05714286],0
n3,1,0.403173,0.698842,[14  9] ; [9 3],[15.11428571  7.88571429] ; [7.88571429 4.11428571],0
s4,1,0.422498,0.643357,[15 51] ; [ 8 18],[16.5 49.5] ; [ 6.5 19.5],0
n4,1,0.426326,0.632811,[34 32] ; [11 15],[32.2826087 33.7173913] ; [12.7173913 13.2826087],0
p2,1,0.452271,0.564955,[46 20] ; [16 10],[44.47826087 21.52173913] ; [17.52173913  8.47826087],0
p7,1,0.481887,0.49459,[33 28] ; [15  9],[34.44705882 26.55294118] ; [13.55294118 10.44705882],0
p3,1,0.503893,0.446727,[24 42] ; [11 14],[25.38461538 40.61538462] ; [ 9.61538462 15.38461538],0
d1,1,0.506011,0.442308,[33 33] ; [11 15],[31.56521739 34.43478261] ; [12.43478261 13.56521739],0
a2,1,0.538866,0.377645,[ 8 58] ; [ 2 24],[ 7.17391304 58.82608696] ; [ 2.82608696 23.17391304],0
s2,1,0.543846,0.368459,[45 21] ; [16 10],[43.76086957 22.23913043] ; [17.23913043  8.76086957],0
u3,1,0.543999,0.368179,[20  6] ; [6 3],[19.31428571  6.68571429] ; [6.68571429 2.31428571],0
p6,1,0.56634,0.328845,[14 49] ; [ 7 18],[15.03409091 47.96590909] ; [ 5.96590909 19.03409091],0
d5,1,0.575773,0.313118,[44 21] ; [16 10],[42.85714286 22.14285714] ; [17.14285714  8.85714286],0
a3,1,0.577564,0.31019,[39 27] ; [17  9],[40.17391304 25.82608696] ; [15.82608696 10.17391304],0
v2,1,0.5864,0.296002,[25 34] ; [ 9 16],[23.88095238 35.11904762] ; [10.11904762 14.88095238],0
v1,1,0.596826,0.279809,[28 36] ; [ 9 15],[26.90909091 37.09090909] ; [10.09090909 13.90909091],0
d4,1,0.677392,0.173077,[54 10] ; [21  5],[53.33333333 10.66666667] ; [21.66666667  4.33333333],0
b4,1,0.745238,0.105576,[38 28] ; [14 12],[37.30434783 28.69565217] ; [14.69565217 11.30434783],0
n2,1,0.765875,0.08867,[19  5] ; [10  2],[19.33333333  4.66666667] ; [9.66666667 2.33333333],0
a5,1,0.797457,0.065864,[40 26] ; [15 11],[39.45652174 26.54347826] ; [15.54347826 10.45652174],0
p5,1,0.827034,0.047745,[ 2 63] ; [ 1 24],[ 2.16666667 62.83333333] ; [ 0.83333333 24.16666667],0
s8,1,0.851105,0.035235,[24 42] ; [10 16],[24.39130435 41.60869565] ; [ 9.60869565 16.39130435],0
p12,1,0.86065,0.030817,[ 3 61] ; [ 1 25],[ 2.84444444 61.15555556] ; [ 1.15555556 24.84444444],0
a6,1,0.890993,0.018782,[41 24] ; [16 10],[40.71428571 24.28571429] ; [16.28571429  9.71428571],0
p11,1,0.902364,0.015049,[39 27] ; [15 11],[38.73913043 27.26086957] ; [15.26086957 10.73913043],0
a4,1,0.906748,0.013722,[22 44] ; [ 9 17],[22.23913043 43.76086957] ; [ 8.76086957 17.23913043],0
s7,1,0.910109,0.012747,[26 32] ; [12 14],[26.23809524 31.76190476] ; [11.76190476 14.23809524],0
s5,1,0.938717,0.005911,[16 46] ; [ 6 18],[15.86046512 46.13953488] ; [ 6.13953488 17.86046512],0
p10,1,0.957727,0.00281,[39 25] ; [16 10],[39.11111111 24.88888889] ; [15.88888889 10.11111111],0
b2,1,0.971064,0.001316,[ 8 25] ; [ 5 16],[ 7.94444444 25.05555556] ; [ 5.05555556 15.94444444],0
b3,1,0.971064,0.001316,[ 8 25] ; [ 5 16],[ 7.94444444 25.05555556] ; [ 5.05555556 15.94444444],0
s1,1,0.97644,0.000872,[ 5 59] ; [ 2 23],[ 5.03370787 58.96629213] ; [ 1.96629213 23.03370787],0
p9,1,0.982646,0.000473,[42 22] ; [17  9],[41.95555556 22.04444444] ; [17.04444444  8.95555556],0
