Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,47.091438,[16 78] ; [34 10],[34.05797101 59.94202899] ; [15.94202899 28.05797101],1
s2,1,0.0,42.256249,[19 80] ; [34 11],[36.4375 62.5625] ; [16.5625 28.4375],1
s6,1,0.0,33.564658,[31 69] ; [36  7],[46.85314685 53.14685315] ; [20.14685315 22.85314685],1
s3,1,8e-06,20.035289,[35 64] ; [34 11],[47.4375 51.5625] ; [21.5625 23.4375],1
v3,1,4.2e-05,16.773249,[17 80] ; [22 21],[27.02142857 69.97857143] ; [11.97857143 31.02142857],1
p10,1,0.000105,15.036276,[49 51] ; [36  7],[59.44055944 40.55944056] ; [25.55944056 17.44055944],1
p3,1,0.000245,13.453845,[16 84] ; [20 25],[24.82758621 75.17241379] ; [11.17241379 33.82758621],1
a5,1,0.000297,13.086961,[51 50] ; [37  8],[60.87671233 40.12328767] ; [27.12328767 17.87671233],1
r4,1,0.000398,12.543614,[63 38] ; [41  4],[71.94520548 29.05479452] ; [32.05479452 12.94520548],1
p6,1,0.000548,11.94423,[10 88] ; [15 29],[17.25352113 80.74647887] ; [ 7.74647887 36.25352113],1
s5,1,0.000747,11.36785,[18 80] ; [20 24],[26.22535211 71.77464789] ; [11.77464789 32.22535211],1
v1,1,0.001418,10.181818,[35 65] ; [28 16],[43.75 56.25] ; [19.25 24.75],0
r3,1,0.001827,9.71525,[74 27] ; [43  2],[80.93835616 20.06164384] ; [36.06164384  8.93835616],0
r1,1,0.00266,9.026991,[57 44] ; [37  8],[65.02739726 35.97260274] ; [28.97260274 16.02739726],0
n4,1,0.003871,8.343232,[63 38] ; [38  6],[70.35172414 30.64827586] ; [30.64827586 13.35172414],0
a3,1,0.003967,8.298993,[55 45] ; [36  9],[62.75862069 37.24137931] ; [28.24137931 16.75862069],0
p9,1,0.005581,7.680951,[56 42] ; [35  8],[63.24822695 34.75177305] ; [27.75177305 15.24822695],0
d5,1,0.008685,6.886502,[53 48] ; [34 11],[60.18493151 40.81506849] ; [26.81506849 18.18493151],0
v2,1,0.008757,6.871817,[31 65] ; [24 19],[37.98561151 58.01438849] ; [17.01438849 25.98561151],0
p7,1,0.009944,6.64495,[36 64] ; [26 18],[43.05555556 56.94444444] ; [18.94444444 25.05555556],0
d4,1,0.013844,6.057947,[59 41] ; [36  9],[65.51724138 34.48275862] ; [29.48275862 15.51724138],0
v4,1,0.022356,5.217882,[77 22] ; [42  3],[81.8125 17.1875] ; [37.1875  7.8125],0
p11,1,0.022705,5.190949,[64 37] ; [37  8],[69.86986301 31.13013699] ; [31.13013699 13.86986301],0
u3,1,0.026698,4.910215,[13 33] ; [6 3],[15.89090909 30.10909091] ; [3.10909091 5.89090909],0
r2,1,0.028527,4.795956,[82 18] ; [43  2],[86.20689655 13.79310345] ; [38.79310345  6.20689655],0
d1,1,0.034753,4.457293,[31 70] ; [22 23],[36.66438356 64.33561644] ; [16.33561644 28.66438356],0
n1,1,0.040585,4.193265,[14 32] ; [8 5],[17.15254237 28.84745763] ; [4.84745763 8.15254237],0
p8,1,0.073904,3.194105,[21 80] ; [15 28],[25.25 75.75] ; [10.75 32.25],0
d2,1,0.093093,2.820056,[38 61] ; [24 21],[42.625 56.375] ; [19.375 25.625],0
u2,1,0.098428,2.730831,[17 29] ; [6 3],[19.23636364 26.76363636] ; [3.76363636 5.23636364],0
n6,1,0.110838,2.542226,[69 31] ; [36  8],[72.91666667 27.08333333] ; [32.08333333 11.91666667],0
a4,1,0.115294,2.480108,[33 67] ; [21 24],[37.24137931 62.75862069] ; [16.75862069 28.24137931],0
b1,1,0.146508,2.108237,[43 58] ; [25 20],[47.04109589 53.95890411] ; [20.95890411 24.04109589],0
p1,1,0.173573,1.851809,[ 5 96] ; [ 5 40],[ 6.91780822 94.08219178] ; [ 3.08219178 41.91780822],0
a6,1,0.178336,1.811436,[48 53] ; [16 29],[44.2739726 56.7260274] ; [19.7260274 25.2739726],0
p12,1,0.187334,1.738464,[ 4 97] ; [ 4 38],[ 5.65034965 95.34965035] ; [ 2.34965035 39.65034965],0
s4,1,0.192755,1.696434,[16 85] ; [11 33],[18.80689655 82.19310345] ; [ 8.19310345 35.80689655],0
s1,1,0.232918,1.422952,[ 4 96] ; [ 4 41],[ 5.51724138 94.48275862] ; [ 2.48275862 42.51724138],0
