Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,4e-06,21.060314,[10 70] ; [18 16],[19.64912281 60.35087719] ; [ 8.35087719 25.64912281],1
p7,1,3.5e-05,17.115466,[18 61] ; [21 12],[27.50892857 51.49107143] ; [11.49107143 21.50892857],1
p8,1,0.000152,14.346119,[12 69] ; [16 17],[19.89473684 61.10526316] ; [ 8.10526316 24.89473684],1
p5,1,0.000169,14.151956,[ 1 79] ; [ 7 26],[ 5.66371681 74.33628319] ; [ 2.33628319 30.66371681],1
p6,1,0.000478,12.198969,[ 6 74] ; [11 22],[12.03539823 67.96460177] ; [ 4.96460177 28.03539823],1
p2,1,0.001934,9.610828,[35 45] ; [25  8],[42.47787611 37.52212389] ; [17.52212389 15.47787611],0
p11,1,0.002236,9.345114,[30 52] ; [23 11],[37.46551724 44.53448276] ; [15.53448276 18.46551724],0
d3,1,0.014587,5.965661,[37 44] ; [24 10],[42.96521739 38.03478261] ; [18.03478261 15.96521739],0
n6,1,0.036423,4.377174,[38 41] ; [23 10],[43.02678571 35.97321429] ; [17.97321429 15.02678571],0
b2,1,0.049073,3.872864,[19 24] ; [ 4 17],[15.453125 27.546875] ; [ 7.546875 13.453125],0
b3,1,0.049073,3.872864,[19 24] ; [ 4 17],[15.453125 27.546875] ; [ 7.546875 13.453125],0
p9,1,0.053534,3.727164,[35 43] ; [22 12],[39.69642857 38.30357143] ; [17.30357143 16.69642857],0
a5,1,0.054796,3.688278,[37 45] ; [22 12],[41.70689655 40.29310345] ; [17.29310345 16.70689655],0
b1,1,0.063343,3.447627,[40 42] ; [23 11],[44.53448276 37.46551724] ; [18.46551724 15.53448276],0
n1,1,0.064931,3.406737,[10 32] ; [7 7],[12.75 29.25] ; [4.25 9.75],0
d5,1,0.079462,3.075862,[46 36] ; [25  9],[50.18965517 31.81034483] ; [20.81034483 13.18965517],0
p10,1,0.113366,2.506663,[33 47] ; [19 14],[36.81415929 43.18584071] ; [15.18584071 17.81415929],0
s2,1,0.11371,2.501882,[16 66] ; [11 22],[19.25217391 62.74782609] ; [ 7.74782609 25.25217391],0
v3,1,0.123591,2.371219,[17 63] ; [ 3 30],[14.15929204 65.84070796] ; [ 5.84070796 27.15929204],0
p12,1,0.153596,2.036172,[ 1 80] ; [ 2 32],[ 2.11304348 78.88695652] ; [ 0.88695652 33.11304348],0
d2,1,0.189104,1.724587,[34 46] ; [10 24],[30.87719298 49.12280702] ; [13.12280702 20.87719298],0
b4,1,0.209793,1.572853,[49 33] ; [16 18],[45.94827586 36.05172414] ; [19.05172414 14.94827586],0
v4,1,0.211486,1.561221,[42 36] ; [22 11],[44.97297297 33.02702703] ; [19.02702703 13.97297297],0
u3,1,0.258312,1.277779,[ 9 28] ; [6 9],[10.67307692 26.32692308] ; [ 4.32692308 10.67307692],0
n2,1,0.27978,1.168157,[20 22] ; [9 5],[21.75 20.25] ; [7.25 6.75],0
s7,1,0.289156,1.123549,[13 64] ; [ 8 23],[14.97222222 62.02777778] ; [ 6.02777778 24.97222222],0
s6,1,0.310823,1.027178,[22 60] ; [12 21],[24.24347826 57.75652174] ; [ 9.75652174 23.24347826],0
a6,1,0.324474,0.970827,[40 42] ; [20 14],[42.4137931 39.5862069] ; [17.5862069 16.4137931],0
r3,1,0.393432,0.728309,[38 40] ; [19 14],[40.05405405 37.94594595] ; [16.94594595 16.05405405],0
a4,1,0.443155,0.588101,[25 56] ; [13 21],[26.76521739 54.23478261] ; [11.23478261 22.76521739],0
r2,1,0.444723,0.584067,[47 30] ; [17 15],[45.21100917 31.78899083] ; [18.78899083 13.21100917],0
d1,1,0.473294,0.514276,[28 54] ; [14 20],[29.68965517 52.31034483] ; [12.31034483 21.68965517],0
a1,1,0.489615,0.477372,[11 71] ; [ 3 31],[ 9.89655172 72.10344828] ; [ 4.10344828 29.89655172],0
d4,1,0.547477,0.361857,[50 31] ; [23 11],[51.4173913 29.5826087] ; [21.5826087 12.4173913],0
n3,1,0.588929,0.292019,[20 21] ; [8 6],[20.87272727 20.12727273] ; [7.12727273 6.87272727],0
s1,1,0.615096,0.252821,[ 7 74] ; [ 2 32],[ 6.33913043 74.66086957] ; [ 2.66086957 31.33913043],0
n4,1,0.61579,0.25183,[47 34] ; [18 16],[45.7826087 35.2173913] ; [19.2173913 14.7826087],0
r1,1,0.651331,0.204226,[23 58] ; [ 8 25],[22.02631579 58.97368421] ; [ 8.97368421 24.02631579],0
s5,1,0.654789,0.199916,[12 69] ; [ 6 27],[12.78947368 68.21052632] ; [ 5.21052632 27.78947368],0
n5,1,0.680975,0.169031,[47 33] ; [18 15],[46.01769912 33.98230088] ; [18.98230088 14.01769912],0
p1,1,0.714228,0.13409,[ 9 72] ; [ 3 31],[ 8.45217391 72.54782609] ; [ 3.54782609 30.45217391],0
u2,1,0.718326,0.130102,[15 20] ; [ 6 10],[14.41176471 20.58823529] ; [6.58823529 9.41176471],0
b5,1,0.735044,0.114531,[43 39] ; [19 15],[43.82758621 38.17241379] ; [18.17241379 15.82758621],0
a3,1,0.74514,0.10566,[45 35] ; [18 16],[44.21052632 35.78947368] ; [18.78947368 15.21052632],0
v1,1,0.758514,0.094515,[24 55] ; [11 22],[24.6875 54.3125] ; [10.3125 22.6875],0
u1,1,0.782495,0.076214,[ 6 76] ; [ 3 31],[ 6.36206897 75.63793103] ; [ 2.63793103 31.36206897],0
a7,1,0.806935,0.059723,[42 38] ; [17 17],[41.40350877 38.59649123] ; [17.59649123 16.40350877],0
v2,1,0.813507,0.055651,[25 53] ; [11 21],[25.52727273 52.47272727] ; [10.47272727 21.52727273],0
s4,1,0.887173,0.020131,[14 68] ; [ 6 27],[14.26086957 67.73913043] ; [ 5.73913043 27.26086957],0
