Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.0,27.721997,[62 19] ; [31 55],[45.10778443 35.89221557] ; [47.89221557 38.10778443],1
d5,1,0.0,25.780566,[67 14] ; [38 47],[51.23493976 29.76506024] ; [53.76506024 31.23493976],1
a6,1,3e-06,21.765717,[61 20] ; [34 52],[46.07784431 34.92215569] ; [48.92215569 37.07784431],1
a4,1,4e-06,21.184311,[36 44] ; [11 75],[22.65060241 57.34939759] ; [24.34939759 61.65060241],1
d1,1,6e-06,20.340219,[42 39] ; [16 70],[28.13173653 52.86826347] ; [29.86826347 56.13173653],1
d2,1,1.2e-05,19.206507,[43 37] ; [18 68],[29.39759036 50.60240964] ; [31.60240964 54.39759036],1
d4,1,0.001383,10.227793,[60 21] ; [43 43],[49.95808383 31.04191617] ; [53.04191617 32.95808383],0
s7,1,0.020145,5.399271,[26 50] ; [15 68],[19.59748428 56.40251572] ; [21.40251572 61.59748428],0
u1,1,0.082103,3.022781,[ 5 76] ; [ 1 85],[ 2.91017964 78.08982036] ; [ 3.08982036 82.91017964],0
p4,1,0.083722,2.991121,[39 40] ; [31 55],[33.51515152 45.48484848] ; [36.48484848 49.51515152],0
n5,1,0.130178,2.290383,[59 21] ; [54 32],[54.45783133 25.54216867] ; [58.54216867 27.45783133],0
p9,1,0.148024,2.092492,[60 18] ; [56 28],[55.85185185 22.14814815] ; [60.14814815 23.85185185],0
b1,1,0.151678,2.05529,[40 41] ; [33 53],[35.40718563 45.59281437] ; [37.59281437 48.40718563],0
s4,1,0.156233,2.010314,[ 8 73] ; [15 71],[11.15568862 69.84431138] ; [11.84431138 74.15568862],0
p6,1,0.165776,1.92073,[14 63] ; [23 61],[17.69565217 59.30434783] ; [19.30434783 64.69565217],0
p11,1,0.172289,1.862909,[58 23] ; [53 33],[53.83832335 27.16167665] ; [57.16167665 28.83832335],0
s6,1,0.173023,1.856558,[36 45] ; [29 56],[31.71686747 49.28313253] ; [33.28313253 51.71686747],0
b4,1,0.190417,1.71439,[37 44] ; [48 38],[41.22754491 39.77245509] ; [43.77245509 42.22754491],0
p3,1,0.224147,1.47762,[31 48] ; [26 60],[27.29090909 51.70909091] ; [29.70909091 56.29090909],0
p2,1,0.224147,1.47762,[48 31] ; [60 26],[51.70909091 27.29090909] ; [56.29090909 29.70909091],0
d3,1,0.245481,1.348842,[43 38] ; [37 47],[39.27272727 41.72727273] ; [40.72727273 43.27272727],0
p10,1,0.248341,1.332611,[53 26] ; [49 35],[49.43558282 29.56441718] ; [52.56441718 31.43558282],0
n4,1,0.248751,1.330304,[55 26] ; [51 35],[51.41317365 29.58682635] ; [54.58682635 31.41317365],0
s8,1,0.254878,1.296368,[21 60] ; [16 70],[17.94610778 63.05389222] ; [19.05389222 66.94610778],0
s2,1,0.268064,1.226627,[25 56] ; [20 66],[21.82634731 59.17365269] ; [23.17365269 62.82634731],0
p12,1,0.296034,1.091976,[ 2 77] ; [ 5 81],[ 3.35151515 75.64848485] ; [ 3.64848485 82.35151515],0
a1,1,0.298763,1.079705,[ 7 74] ; [ 4 82],[ 5.33532934 75.66467066] ; [ 5.66467066 80.33532934],0
n2,1,0.308634,1.036514,[21  9] ; [16 12],[19.13793103 10.86206897] ; [17.86206897 10.13793103],0
a7,1,0.331523,0.94294,[48 33] ; [44 41],[44.89156627 36.10843373] ; [47.10843373 37.89156627],0
b3,1,0.36306,0.827282,[18 31] ; [15 38],[15.85294118 33.14705882] ; [17.14705882 35.85294118],0
b2,1,0.36306,0.827282,[18 31] ; [15 38],[15.85294118 33.14705882] ; [17.14705882 35.85294118],0
s3,1,0.376365,0.78254,[31 49] ; [27 57],[28.29268293 51.70731707] ; [29.70731707 54.29268293],0
v3,1,0.437778,0.602101,[19 61] ; [25 61],[21.20481928 58.79518072] ; [22.79518072 63.20481928],0
n1,1,0.469862,0.522299,[12 17] ; [ 9 19],[10.68421053 18.31578947] ; [10.31578947 17.68421053],0
r4,1,0.478535,0.502199,[37 44] ; [44 42],[39.28742515 41.71257485] ; [41.71257485 44.28742515],0
u3,1,0.531605,0.391322,[ 7 11] ; [17 38],[ 5.91780822 12.08219178] ; [18.08219178 36.91780822],0
v4,1,0.590031,0.290296,[61 20] ; [67 18],[62.45783133 18.54216867] ; [65.54216867 19.45783133],0
s1,1,0.601482,0.272766,[ 3 78] ; [ 2 84],[ 2.4251497 78.5748503] ; [ 2.5748503 83.4251497],0
p8,1,0.631402,0.230165,[28 50] ; [34 52],[29.48780488 48.51219512] ; [32.51219512 53.48780488],0
p5,1,0.635405,0.224802,[ 5 74] ; [ 4 82],[ 4.30909091 74.69090909] ; [ 4.69090909 81.30909091],0
u2,1,0.661261,0.191995,[ 7 12] ; [23 31],[ 7.80821918 11.19178082] ; [22.19178082 31.80821918],0
v1,1,0.690531,0.158511,[27 49] ; [28 58],[25.80246914 50.19753086] ; [29.19753086 56.80246914],0
n6,1,0.698,0.150561,[58 22] ; [60 26],[56.86746988 23.13253012] ; [61.13253012 24.86746988],0
