Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,49.160561,[44 68] ; [181  52],[73.04347826 38.95652174] ; [151.95652174  81.04347826],1
a6,1,0.0,40.844015,[50 62] ; [184  49],[75.96521739 36.03478261] ; [158.03478261  74.96521739],1
a2,1,1e-06,25.111677,[ 10 102] ; [ 80 154],[29.13294798 82.86705202] ; [ 60.86705202 173.13294798],1
r4,1,2e-06,22.779837,[76 36] ; [208  26],[91.93063584 20.06936416] ; [192.06936416  41.93063584],1
u1,1,8e-06,20.059176,[  7 105] ; [ 63 171],[22.65895954 89.34104046] ; [ 47.34104046 186.65895954],1
r3,1,1e-05,19.507741,[89 23] ; [220  12],[100.60465116  11.39534884] ; [208.39534884  23.60465116],1
d4,1,0.000354,12.762206,[76 36] ; [197  36],[88.62608696 23.37391304] ; [184.37391304  48.62608696],1
b5,1,0.00037,12.680364,[57 55] ; [165  69],[71.86127168 40.13872832] ; [150.13872832  83.86127168],1
v2,1,0.000384,12.607762,[40 67] ; [131  94],[55.11144578 51.88855422] ; [115.88855422 109.11144578],1
v4,1,0.000874,11.076181,[88 23] ; [214  19],[97.44767442 13.55232558] ; [204.55232558  28.44767442],1
d1,1,0.00182,9.722315,[48 64] ; [142  92],[61.50289017 50.49710983] ; [128.49710983 105.50289017],0
d5,1,0.004124,8.228563,[80 32] ; [197  36],[89.92463768 22.07536232] ; [187.07536232  45.92463768],0
u3,1,0.004472,8.081633,[10 23] ; [40 26],[16.66666667 16.33333333] ; [33.33333333 32.66666667],0
r2,1,0.006835,7.315756,[95 16] ; [216  13],[101.53235294   9.46764706] ; [209.46764706  19.53235294],0
r1,1,0.007373,7.179697,[74 38] ; [185  48],[84.08115942 27.91884058] ; [174.91884058  58.08115942],0
u2,1,0.020479,5.370629,[12 20] ; [40 24],[17.33333333 14.66666667] ; [34.66666667 29.33333333],0
p4,1,0.031234,4.640041,[41 71] ; [114 119],[50.31884058 61.68115942] ; [104.68115942 128.31884058],0
p9,1,0.04016,4.211104,[75 35] ; [182  50],[82.66081871 27.33918129] ; [174.33918129  57.66081871],0
p10,1,0.042637,4.109748,[71 39] ; [175  58],[78.89212828 31.10787172] ; [167.10787172  65.89212828],0
a5,1,0.050471,3.825748,[74 38] ; [178  56],[81.57225434 30.42774566] ; [170.42774566  63.57225434],0
a8,1,0.050546,3.82327,[ 9 95] ; [ 35 173],[14.66666667 89.33333333] ; [ 29.33333333 178.66666667],0
p5,1,0.050585,3.821977,[ 10 100] ; [  9 222],[  6.12903226 103.87096774] ; [ 12.87096774 218.12903226],0
b1,1,0.072119,3.234126,[53 59] ; [ 87 147],[45.31791908 66.68208092] ; [ 94.68208092 139.31791908],0
n6,1,0.094822,2.790544,[84 27] ; [194  39],[89.70348837 21.29651163] ; [188.29651163  44.70348837],0
p6,1,0.101956,2.67467,[21 88] ; [ 64 169],[27.09064327 81.90935673] ; [ 57.90935673 175.09064327],0
a4,1,0.103499,2.650778,[47 63] ; [122 112],[54.04069767 55.95930233] ; [114.95930233 119.04069767],0
b3,1,0.124726,2.356954,[39 42] ; [55 91],[33.54185022 47.45814978] ; [60.45814978 85.54185022],0
b2,1,0.124726,2.356954,[39 42] ; [55 91],[33.54185022 47.45814978] ; [60.45814978 85.54185022],0
s2,1,0.199373,1.646963,[48 63] ; [117 114],[53.55263158 57.44736842] ; [111.44736842 119.55263158],0
p2,1,0.201182,1.633774,[72 38] ; [169  65],[77.06395349 32.93604651] ; [163.93604651  70.06395349],0
b4,1,0.211088,1.563946,[62 50] ; [146  88],[67.32947977 44.67052023] ; [140.67052023  93.32947977],0
s3,1,0.294369,1.099533,[56 54] ; [131  99],[60.5 49.5] ; [126.5 103.5],0
s8,1,0.30202,1.065254,[39 73] ; [ 95 139],[43.37572254 68.62427746] ; [ 90.62427746 143.37572254],0
p3,1,0.318345,0.995734,[37 74] ; [ 91 143],[41.1826087 69.8173913] ; [ 86.8173913 147.1826087],0
p7,1,0.349127,0.876627,[41 69] ; [ 98 132],[44.97058824 65.02941176] ; [ 94.02941176 135.97058824],0
n3,1,0.395724,0.72128,[26 12] ; [42 13],[27.78494624 10.21505376] ; [40.21505376 14.78494624],0
u4,1,0.406922,0.687776,[  1 111] ; [  5 229],[  1.94219653 110.05780347] ; [  4.05780347 229.94219653],0
d2,1,0.497294,0.460706,[54 56] ; [123 109],[56.92982456 53.07017544] ; [120.07017544 111.92982456],0
v1,1,0.514884,0.424129,[47 61] ; [106 118],[49.77108434 58.22891566] ; [103.22891566 120.77108434],0
p1,1,0.569544,0.323446,[  8 104] ; [ 13 220],[  6.8173913 105.1826087] ; [ 14.1826087 218.8173913],0
s6,1,0.571543,0.320107,[67 44] ; [148  85],[69.375 41.625] ; [145.625  87.375],0
p11,1,0.617334,0.249632,[77 35] ; [167  67],[78.98265896 33.01734104] ; [165.01734104  68.98265896],0
n2,1,0.620043,0.245808,[26 13] ; [40 16],[27.09473684 11.90526316] ; [38.90526316 17.09473684],0
s7,1,0.626138,0.237334,[52 55] ; [102 121],[49.93333333 57.06666667] ; [104.06666667 118.93333333],0
s1,1,0.639003,0.220049,[  6 103] ; [ 10 220],[  5.14454277 103.85545723] ; [ 10.85545723 219.14454277],0
s5,1,0.644016,0.213528,[30 76] ; [ 58 166],[28.26666667 77.73333333] ; [ 59.73333333 164.26666667],0
p12,1,0.686404,0.163006,[  8 104] ; [ 14 219],[  7.14202899 104.85797101] ; [ 14.85797101 218.14202899],0
v3,1,0.704875,0.14345,[37 69] ; [ 83 141],[38.54545455 67.45454545] ; [ 81.45454545 142.54545455],0
a3,1,0.762452,0.091363,[79 33] ; [168  65],[80.18550725 31.81449275] ; [166.81449275  66.18550725],0
n1,1,0.870158,0.026718,[18 21] ; [24 30],[17.61290323 21.38709677] ; [24.38709677 29.61290323],0
n5,1,0.886523,0.020365,[91 21] ; [187  45],[90.51162791 21.48837209] ; [187.48837209  44.51162791],0
a1,1,0.922443,0.009478,[  7 105] ; [ 14 220],[  6.79768786 105.20231214] ; [ 14.20231214 219.79768786],0
s4,1,0.931999,0.007281,[15 96] ; [ 32 199],[15.25438596 95.74561404] ; [ 31.74561404 199.25438596],0
