Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,2.7e-05,17.59351,[89  8] ; [27 16],[80.37142857 16.62857143] ; [35.62857143  7.37142857],1
p8,1,0.000163,14.213498,[36 58] ; [ 3 40],[26.75912409 67.24087591] ; [12.24087591 30.75912409],1
r3,1,0.002047,9.506864,[84 12] ; [28 15],[77.35251799 18.64748201] ; [34.64748201  8.35251799],0
n5,1,0.002863,8.89255,[76 21] ; [23 20],[68.59285714 28.40714286] ; [30.40714286 12.59285714],0
s8,1,0.004883,7.922229,[33 62] ; [ 5 38],[26.15942029 68.84057971] ; [11.84057971 31.15942029],0
p4,1,0.005204,7.807051,[44 52] ; [ 9 34],[36.60431655 59.39568345] ; [16.39568345 26.60431655],0
d1,1,0.007614,7.122095,[53 44] ; [13 30],[45.72857143 51.27142857] ; [20.27142857 22.72857143],0
s6,1,0.008224,6.983987,[54 41] ; [14 29],[46.8115942 48.1884058] ; [21.1884058 21.8115942],0
p11,1,0.012614,6.222519,[56 41] ; [15 28],[49.19285714 47.80714286] ; [21.80714286 21.19285714],0
u1,1,0.01883,5.517222,[23 74] ; [ 3 40],[18.01428571 78.98571429] ; [ 7.98571429 35.01428571],0
r4,1,0.019204,5.482806,[77 20] ; [26 17],[71.36428571 25.63571429] ; [31.63571429 11.36428571],0
s7,1,0.02215,5.233933,[42 51] ; [ 9 29],[36.20610687 56.79389313] ; [14.79389313 23.20610687],0
v2,1,0.031519,4.624464,[45 50] ; [12 31],[39.23913043 55.76086957] ; [17.76086957 25.23913043],0
p2,1,0.041567,4.152733,[65 32] ; [21 22],[59.58571429 37.41428571] ; [26.41428571 16.58571429],0
s2,1,0.05578,3.658605,[38 57] ; [10 33],[33.04347826 61.95652174] ; [14.95652174 28.04347826],0
a1,1,0.057664,3.603338,[ 6 91] ; [ 7 36],[ 9.00714286 87.99285714] ; [ 3.99285714 39.00714286],0
p6,1,0.066974,3.355657,[29 64] ; [ 7 36],[24.61764706 68.38235294] ; [11.38235294 31.61764706],0
d3,1,0.093695,2.80971,[61 36] ; [20 22],[56.52517986 40.47482014] ; [24.47482014 17.52517986],0
p7,1,0.120348,2.412784,[42 53] ; [13 30],[37.86231884 57.13768116] ; [17.13768116 25.86231884],0
b5,1,0.126638,2.333243,[65 32] ; [23 20],[60.97142857 36.02857143] ; [27.02857143 15.97142857],0
v3,1,0.137923,2.200982,[36 58] ; [10 30],[32.26865672 61.73134328] ; [13.73134328 26.26865672],0
p5,1,0.187536,1.736873,[ 8 89] ; [ 1 42],[ 6.23571429 90.76428571] ; [ 2.76428571 40.23571429],0
b4,1,0.198769,1.651397,[63 34] ; [23 20],[59.58571429 37.41428571] ; [26.41428571 16.58571429],0
d2,1,0.254146,1.300367,[53 42] ; [19 23],[49.9270073 45.0729927] ; [22.0729927 19.9270073],0
a7,1,0.269194,1.220851,[63 33] ; [24 19],[60.08633094 35.91366906] ; [26.91366906 16.08633094],0
r1,1,0.287172,1.132832,[71 25] ; [28 15],[68.37410072 27.62589928] ; [30.62589928 12.37410072],0
d5,1,0.296695,1.088993,[73 24] ; [28 14],[70.48201439 26.51798561] ; [30.51798561 11.48201439],0
b2,1,0.305143,1.05158,[21 45] ; [12 16],[23.17021277 42.82978723] ; [ 9.82978723 18.17021277],0
b3,1,0.305143,1.05158,[21 45] ; [12 16],[23.17021277 42.82978723] ; [ 9.82978723 18.17021277],0
d4,1,0.307305,1.042225,[70 26] ; [27 15],[67.47826087 28.52173913] ; [29.52173913 12.47826087],0
r2,1,0.314831,1.010298,[85 10] ; [35  7],[83.21167883 11.78832117] ; [36.78832117  5.21167883],0
s3,1,0.332604,0.938734,[46 47] ; [17 25],[43.4 49.6] ; [19.6 22.4],0
a3,1,0.333781,0.934174,[58 38] ; [29 13],[60.52173913 35.47826087] ; [26.47826087 15.52173913],0
p12,1,0.38192,0.764514,[ 2 95] ; [ 2 40],[ 2.79136691 94.20863309] ; [ 1.20863309 40.79136691],0
b1,1,0.404479,0.694971,[49 48] ; [25 18],[51.27142857 45.72857143] ; [22.72857143 20.27142857],0
u4,1,0.445806,0.581294,[ 5 92] ; [ 1 42],[ 4.15714286 92.84285714] ; [ 1.84285714 41.15714286],0
n2,1,0.4469,0.578502,[23  9] ; [13  8],[21.73584906 10.26415094] ; [14.26415094  6.73584906],0
n3,1,0.481361,0.495779,[21 10] ; [11  8],[19.84 11.16] ; [12.16  6.84],0
a4,1,0.490067,0.47638,[48 47] ; [19 24],[46.12318841 48.87681159] ; [20.87681159 22.12318841],0
u3,1,0.498996,0.457071,[18 21] ; [5 9],[16.9245283 22.0754717] ; [6.0754717 7.9245283],0
a2,1,0.502017,0.45067,[23 74] ; [ 8 35],[21.47857143 75.52142857] ; [ 9.52142857 33.47857143],0
p9,1,0.536892,0.381331,[35 57] ; [14 29],[33.39259259 58.60740741] ; [15.60740741 27.39259259],0
p3,1,0.5501,0.357138,[32 65] ; [12 31],[30.48571429 66.51428571] ; [13.51428571 29.48571429],0
a5,1,0.603824,0.269267,[61 36] ; [29 14],[62.35714286 34.64285714] ; [27.64285714 15.35714286],0
a8,1,0.61209,0.257143,[13 71] ; [ 8 34],[14. 70.] ; [ 7. 35.],0
s4,1,0.723315,0.125339,[13 81] ; [ 5 38],[12.35036496 81.64963504] ; [ 5.64963504 37.35036496],0
n1,1,0.735359,0.114247,[17 14] ; [10 10],[16.41176471 14.58823529] ; [10.58823529  9.41176471],0
p1,1,0.812202,0.056447,[ 8 88] ; [ 3 39],[ 7.65217391 88.34782609] ; [ 3.34782609 38.65217391],0
a6,1,0.844041,0.038701,[56 41] ; [25 17],[56.52517986 40.47482014] ; [24.47482014 17.52517986],0
v1,1,0.866454,0.028279,[39 56] ; [17 26],[38.55072464 56.44927536] ; [17.44927536 25.55072464],0
s5,1,0.909237,0.012996,[18 76] ; [ 8 32],[18.23880597 75.76119403] ; [ 7.76119403 32.23880597],0
s1,1,0.912435,0.012093,[ 5 91] ; [ 2 40],[ 4.86956522 91.13043478] ; [ 2.13043478 39.86956522],0
u2,1,0.980179,0.000617,[16 21] ; [6 8],[15.96078431 21.03921569] ; [6.03921569 7.96078431],0
