Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.000465,12.25,[ 8 37] ; [17 13],[15. 30.] ; [10. 20.],1
s7,1,0.001139,10.58642,[ 4 38] ; [12 16],[ 9.6 32.4] ; [ 6.4 21.6],0
p3,1,0.001329,10.302316,[ 7 38] ; [15 15],[13.2 31.8] ; [ 8.8 21.2],0
p7,1,0.008015,7.030129,[19 26] ; [22  8],[24.6 20.4] ; [16.4 13.6],0
s8,1,0.009452,6.735281,[ 6 38] ; [12 18],[10.7027027 33.2972973] ; [ 7.2972973 22.7027027],0
a5,1,0.010846,6.490385,[18 27] ; [21  9],[23.4 21.6] ; [15.6 14.4],0
p6,1,0.010949,6.473563,[ 5 38] ; [11 19],[ 9.42465753 33.57534247] ; [ 6.57534247 23.42465753],0
u2,1,0.023926,5.1,[ 9 15] ; [8 2],[12. 12.] ; [5. 5.],0
s6,1,0.033887,4.500381,[15 28] ; [18 12],[19.43835616 23.56164384] ; [13.56164384 16.43835616],0
d5,1,0.046118,3.977273,[21 24] ; [21  9],[25.2 19.8] ; [16.8 13.2],0
s2,1,0.074865,3.172995,[13 31] ; [15 15],[16.64864865 27.35135135] ; [11.35135135 18.64864865],0
d3,1,0.099845,2.708021,[14 31] ; [15 15],[17.4 27.6] ; [11.6 18.4],0
a3,1,0.107565,2.589644,[21 23] ; [20 10],[24.37837838 19.62162162] ; [16.62162162 13.37837838],0
n1,1,0.134435,2.24053,[ 6 19] ; [5 5],[ 7.85714286 17.14285714] ; [3.14285714 6.85714286],0
s1,1,0.14195,2.15669,[ 1 44] ; [ 3 27],[ 2.4 42.6] ; [ 1.6 28.4],0
p1,1,0.1645,1.932367,[ 2 43] ; [ 4 26],[ 3.6 41.4] ; [ 2.4 27.6],0
u3,1,0.198314,1.654745,[11 13] ; [7 3],[12.70588235 11.29411765] ; [5.29411765 4.70588235],0
n2,1,0.208723,1.58026,[18  7] ; [10  1],[19.44444444  5.55555556] ; [8.55555556 2.44444444],0
n6,1,0.21332,1.548754,[29 16] ; [15 15],[26.4 18.6] ; [17.6 12.4],0
s4,1,0.215517,1.533976,[ 8 37] ; [ 9 21],[10.2 34.8] ; [ 6.8 23.2],0
p10,1,0.219034,1.510686,[20 24] ; [18 12],[22.59459459 21.40540541] ; [15.40540541 14.59459459],0
n5,1,0.250655,1.319648,[21 24] ; [10 20],[18.6 26.4] ; [12.4 17.6],0
d1,1,0.254731,1.29717,[11 34] ; [11 19],[13.2 31.8] ; [ 8.8 21.2],0
s3,1,0.294442,1.099201,[17 28] ; [15 15],[19.2 25.8] ; [12.8 17.2],0
p11,1,0.38041,0.769377,[30 15] ; [17 13],[28.2 16.8] ; [18.8 11.2],0
b4,1,0.392715,0.730519,[27 18] ; [15 15],[25.2 19.8] ; [16.8 13.2],0
n3,1,0.413272,0.669369,[14 10] ; [8 3],[15.08571429  8.91428571] ; [6.91428571 4.08571429],0
a4,1,0.428111,0.627943,[14 31] ; [12 18],[15.6 29.4] ; [10.4 19.6],0
p2,1,0.448718,0.573888,[23 22] ; [18 12],[24.6 20.4] ; [16.4 13.6],0
v4,1,0.465905,0.531672,[38  6] ; [24  6],[36.86486486  7.13513514] ; [25.13513514  4.86486486],0
a1,1,0.516853,0.420168,[ 5 40] ; [ 2 28],[ 4.2 40.8] ; [ 2.8 27.2],0
p9,1,0.520577,0.41275,[24 19] ; [19 11],[25.32876712 17.67123288] ; [17.67123288 12.32876712],0
a2,1,0.529096,0.396127,[ 3 42] ; [ 1 29],[ 2.4 42.6] ; [ 1.6 28.4],0
d4,1,0.569865,0.322909,[28 16] ; [21  9],[29.13513514 14.86486486] ; [19.86486486 10.13513514],0
b1,1,0.571573,0.320057,[21 24] ; [16 14],[22.2 22.8] ; [14.8 15.2],0
v3,1,0.627469,0.235508,[ 6 38] ; [ 5 23],[ 6.72222222 37.27777778] ; [ 4.27777778 23.72222222],0
d2,1,0.696654,0.151976,[16 29] ; [12 18],[16.8 28.2] ; [11.2 18.8],0
a6,1,0.696654,0.151976,[16 29] ; [12 18],[16.8 28.2] ; [11.2 18.8],0
s5,1,0.702313,0.146077,[12 31] ; [ 9 19],[12.71830986 30.28169014] ; [ 8.28169014 19.71830986],0
r3,1,0.716642,0.131733,[36  9] ; [25  5],[36.6  8.4] ; [24.4  5.6],0
v2,1,0.769603,0.085787,[14 28] ; [11 19],[14.58333333 27.41666667] ; [10.41666667 19.58333333],0
p5,1,0.782369,0.076305,[ 1 43] ; [ 1 29],[ 1.18918919 42.81081081] ; [ 0.81081081 29.18918919],0
b2,1,0.79829,0.065311,[ 6 14] ; [ 5 14],[ 5.64102564 14.35897436] ; [ 5.35897436 13.64102564],0
b3,1,0.79829,0.065311,[ 6 14] ; [ 5 14],[ 5.64102564 14.35897436] ; [ 5.35897436 13.64102564],0
r2,1,0.808806,0.058548,[37  8] ; [24  6],[36.6  8.4] ; [24.4  5.6],0
r4,1,0.839828,0.04085,[31 14] ; [20 10],[30.6 14.4] ; [20.4  9.6],0
b5,1,0.850318,0.035613,[23 22] ; [16 14],[23.4 21.6] ; [15.6 14.4],0
v1,1,0.937667,0.006116,[18 26] ; [12 18],[17.83783784 26.16216216] ; [12.16216216 17.83783784],0
a8,1,0.989525,0.000172,[ 3 40] ; [ 2 27],[ 2.98611111 40.01388889] ; [ 2.01388889 26.98611111],0
r1,1,1.0,0.0,[24 21] ; [16 14],[24. 21.] ; [16. 14.],0
