Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,6.1e-05,16.062291,[11 20] ; [25  4],[18.6 12.4] ; [17.4 11.6],1
n4,1,0.000107,15.016685,[23  8] ; [ 7 22],[15.5 15.5] ; [14.5 14.5],1
a7,1,0.018898,5.510885,[12 19] ; [20  9],[16.53333333 14.46666667] ; [15.46666667 13.53333333],0
u3,1,0.049184,3.869048,[ 2 12] ; [6 6],[4.30769231 9.69230769] ; [3.69230769 8.30769231],0
d3,1,0.051035,3.807133,[11 19] ; [18 11],[14.74576271 15.25423729] ; [14.25423729 14.74576271],0
a1,1,0.089087,2.890794,[ 7 24] ; [ 2 27],[ 4.65 26.35] ; [ 4.35 24.65],0
n2,1,0.119437,2.424693,[12  6] ; [5 8],[9.87096774 8.12903226] ; [7.12903226 5.87096774],0
s1,1,0.138881,2.190312,[ 1 30] ; [ 4 25],[ 2.58333333 28.41666667] ; [ 2.41666667 26.58333333],0
b5,1,0.196457,1.668521,[13 18] ; [17 12],[15.5 15.5] ; [14.5 14.5],0
r3,1,0.204586,1.60933,[11 20] ; [15 14],[13.43333333 17.56666667] ; [12.56666667 16.43333333],0
n1,1,0.219836,1.505439,[ 8 10] ; [ 3 10],[ 6.38709677 11.61290323] ; [4.61290323 8.38709677],0
u2,1,0.224728,1.473923,[6 8] ; [8 4],[7.53846154 6.46153846] ; [6.46153846 5.53846154],0
r2,1,0.235533,1.407132,[19 10] ; [14 14],[16.78947368 12.21052632] ; [16.21052632 11.78947368],0
s4,1,0.261061,1.263123,[ 4 27] ; [ 7 22],[ 5.68333333 25.31666667] ; [ 5.31666667 23.68333333],0
d2,1,0.274967,1.1918,[15 16] ; [10 19],[12.91666667 18.08333333] ; [12.08333333 16.91666667],0
d5,1,0.274967,1.1918,[16 15] ; [19 10],[18.08333333 12.91666667] ; [16.91666667 12.08333333],0
a6,1,0.305208,1.051298,[18 13] ; [13 16],[16.01666667 14.98333333] ; [14.98333333 14.01666667],0
p8,1,0.308119,1.03872,[ 5 24] ; [ 8 20],[ 6.61403509 22.38596491] ; [ 6.38596491 21.61403509],0
s6,1,0.313017,1.017905,[ 8 23] ; [11 18],[ 9.81666667 21.18333333] ; [ 9.18333333 19.81666667],0
d1,1,0.316333,1.004046,[ 9 22] ; [12 17],[10.85 20.15] ; [10.15 18.85],0
v1,1,0.361431,0.832914,[ 9 21] ; [12 17],[10.6779661 19.3220339] ; [10.3220339 18.6779661],0
n3,1,0.408942,0.681875,[ 7 11] ; [7 6],[8.12903226 9.87096774] ; [5.87096774 7.12903226],0
p7,1,0.412279,0.672218,[15 15] ; [11 17],[13.44827586 16.55172414] ; [12.55172414 15.44827586],0
p10,1,0.426357,0.632727,[14 15] ; [11 18],[12.5 16.5] ; [12.5 16.5],0
s2,1,0.459309,0.547578,[ 7 24] ; [ 9 20],[ 8.26666667 22.73333333] ; [ 7.73333333 21.26666667],0
r1,1,0.459309,0.547578,[ 7 24] ; [ 9 20],[ 8.26666667 22.73333333] ; [ 7.73333333 21.26666667],0
p4,1,0.493494,0.4689,[ 6 24] ; [ 8 21],[ 7.11864407 22.88135593] ; [ 6.88135593 22.11864407],0
s8,1,0.510123,0.433815,[ 5 26] ; [ 3 26],[ 4.13333333 26.86666667] ; [ 3.86666667 25.13333333],0
p9,1,0.513538,0.426852,[16 14] ; [13 16],[14.74576271 15.25423729] ; [14.25423729 14.74576271],0
b1,1,0.533365,0.387977,[19 12] ; [20  9],[20.15 10.85] ; [18.85 10.15],0
p11,1,0.533365,0.387977,[12 19] ; [ 9 20],[10.85 20.15] ; [10.15 18.85],0
p3,1,0.63444,0.226088,[ 4 26] ; [ 5 23],[ 4.65517241 25.34482759] ; [ 4.34482759 23.65517241],0
p1,1,0.696932,0.151684,[ 3 28] ; [ 2 27],[ 2.58333333 28.41666667] ; [ 2.41666667 26.58333333],0
v2,1,0.712572,0.135721,[ 9 21] ; [10 19],[ 9.66101695 20.33898305] ; [ 9.33898305 19.66101695],0
s7,1,0.75702,0.095726,[ 7 23] ; [ 7 19],[ 7.5 22.5] ; [ 6.5 19.5],0
a2,1,0.757712,0.095164,[ 4 27] ; [ 3 26],[ 3.61666667 27.38333333] ; [ 3.38333333 25.61666667],0
p2,1,0.790896,0.070303,[12 17] ; [13 16],[12.5 16.5] ; [12.5 16.5],0
b3,1,0.812524,0.05625,[ 7 13] ; [ 5 11],[ 6.66666667 13.33333333] ; [ 5.33333333 10.66666667],0
b2,1,0.812524,0.05625,[ 7 13] ; [ 5 11],[ 6.66666667 13.33333333] ; [ 5.33333333 10.66666667],0
a4,1,0.855052,0.03337,[10 21] ; [10 19],[10.33333333 20.66666667] ; [ 9.66666667 19.33333333],0
s5,1,0.859769,0.031212,[ 5 26] ; [ 5 23],[ 5.25423729 25.74576271] ; [ 4.74576271 23.25423729],0
a3,1,0.879308,0.023057,[17 13] ; [17 12],[17.28813559 12.71186441] ; [16.71186441 12.28813559],0
v4,1,0.894641,0.017539,[15 15] ; [15 14],[15.25423729 14.74576271] ; [14.74576271 14.25423729],0
v3,1,0.908022,0.013348,[ 5 26] ; [ 5 24],[ 5.16666667 25.83333333] ; [ 4.83333333 24.16666667],0
s3,1,0.942968,0.005118,[13 18] ; [12 16],[13.13559322 17.86440678] ; [11.86440678 16.13559322],0
p6,1,0.951275,0.003734,[ 5 24] ; [ 5 23],[ 5.0877193 23.9122807] ; [ 4.9122807 23.0877193],0
a5,1,0.979286,0.000674,[14 17] ; [13 16],[13.95 17.05] ; [13.05 15.95],0
b4,1,0.993125,7.4e-05,[15 16] ; [14 15],[14.98333333 16.01666667] ; [14.01666667 14.98333333],0
