Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,2e-06,22.246937,[26  6] ; [ 9 28],[16.23188406 15.76811594] ; [18.76811594 18.23188406],1
p7,1,0.000226,13.600936,[25  6] ; [12 22],[17.64615385 13.35384615] ; [19.35384615 14.64615385],1
p6,1,0.000707,11.470734,[16 15] ; [ 5 32],[ 9.57352941 21.42647059] ; [11.42647059 25.57352941],1
p8,1,0.003829,8.363088,[21 11] ; [11 25],[15.05882353 16.94117647] ; [16.94117647 19.05882353],0
d1,1,0.003983,8.291476,[24  8] ; [15 22],[18.08695652 13.91304348] ; [20.91304348 16.08695652],0
a5,1,0.009312,6.762078,[26  6] ; [19 18],[20.86956522 11.13043478] ; [24.13043478 12.86956522],0
s6,1,0.012611,6.2229,[31  1] ; [28  9],[27.36231884  4.63768116] ; [31.63768116  5.36231884],0
d3,1,0.02947,4.73994,[26  6] ; [21 16],[21.79710145 10.20289855] ; [25.20289855 11.79710145],0
p1,1,0.041588,4.151904,[ 7 24] ; [ 2 34],[ 4.1641791 26.8358209] ; [ 4.8358209 31.1641791],0
u2,1,0.084978,2.967033,[8 4] ; [ 5 10],[5.77777778 6.22222222] ; [7.22222222 7.77777778],0
a7,1,0.087117,2.92686,[19 13] ; [29  8],[22.26086957  9.73913043] ; [25.73913043 11.26086957],0
n6,1,0.123056,2.377991,[20 11] ; [30  7],[22.79411765  8.20588235] ; [27.20588235  9.79411765],0
p5,1,0.125233,2.350617,[ 4 28] ; [ 1 35],[ 2.35294118 29.64705882] ; [ 2.64705882 33.35294118],0
b1,1,0.147128,2.101779,[12 20] ; [ 8 29],[ 9.27536232 22.72463768] ; [10.72463768 26.27536232],0
p2,1,0.173654,1.851111,[26  6] ; [24 12],[23.52941176  8.47058824] ; [26.47058824  9.52941176],0
v4,1,0.19639,1.669018,[31  1] ; [31  4],[29.6119403  2.3880597] ; [32.3880597  2.6119403],0
n5,1,0.19679,1.666037,[ 6 26] ; [12 25],[ 8.34782609 23.65217391] ; [ 9.65217391 27.34782609],0
d4,1,0.197225,1.662806,[30  2] ; [31  6],[28.28985507  3.71014493] ; [32.71014493  4.28985507],0
u3,1,0.246671,1.342059,[9 3] ; [8 7],[7.55555556 4.44444444] ; [9.44444444 5.55555556],0
v3,1,0.258176,1.278509,[11 20] ; [ 8 27],[ 8.92424242 22.07575758] ; [10.07575758 24.92424242],0
b4,1,0.280219,1.166026,[23  9] ; [22 15],[20.86956522 11.13043478] ; [24.13043478 12.86956522],0
b5,1,0.28117,1.161427,[18 14] ; [16 21],[15.76811594 16.23188406] ; [18.23188406 18.76811594],0
s8,1,0.295864,1.092743,[17 15] ; [15 22],[14.84057971 17.15942029] ; [17.15942029 19.84057971],0
a1,1,0.296951,1.087838,[ 4 28] ; [ 2 35],[ 2.7826087 29.2173913] ; [ 3.2173913 33.7826087],0
r4,1,0.318821,0.993777,[28  4] ; [29  8],[26.43478261  5.56521739] ; [30.56521739  6.43478261],0
p11,1,0.361542,0.832529,[24  8] ; [24 13],[22.26086957  9.73913043] ; [25.73913043 11.26086957],0
a4,1,0.464651,0.534669,[14 18] ; [13 24],[12.52173913 19.47826087] ; [14.47826087 22.52173913],0
p12,1,0.525907,0.402294,[ 3 29] ; [ 2 35],[ 2.31884058 29.68115942] ; [ 2.68115942 34.31884058],0
b3,1,0.548997,0.359118,[ 6 11] ; [ 9 11],[ 6.89189189 10.10810811] ; [ 8.10810811 11.89189189],0
b2,1,0.548997,0.359118,[ 6 11] ; [ 9 11],[ 6.89189189 10.10810811] ; [ 8.10810811 11.89189189],0
a2,1,0.553478,0.351124,[ 6 26] ; [ 5 32],[ 5.10144928 26.89855072] ; [ 5.89855072 31.10144928],0
d5,1,0.575601,0.313401,[26  6] ; [28  9],[25.04347826  6.95652174] ; [28.95652174  8.04347826],0
r1,1,0.613449,0.255184,[20 11] ; [26 11],[20.97058824 10.02941176] ; [25.02941176 11.97058824],0
n1,1,0.679365,0.170842,[5 6] ; [ 6 10],[4.48148148 6.51851852] ; [6.51851852 9.48148148],0
p9,1,0.680062,0.170056,[27  5] ; [29  7],[26.35294118  5.64705882] ; [29.64705882  6.35294118],0
p10,1,0.723752,0.124927,[26  6] ; [28  8],[25.41176471  6.58823529] ; [28.58823529  7.41176471],0
s2,1,0.732802,0.116554,[22 10] ; [24 13],[21.33333333 10.66666667] ; [24.66666667 12.33333333],0
v1,1,0.746907,0.104148,[15 16] ; [16 20],[14.34328358 16.65671642] ; [16.65671642 19.34328358],0
