Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,32.90443,[12 56] ; [31 12],[26.34234234 41.65765766] ; [16.65765766 26.34234234],1
d5,1,0.0,27.284032,[32 36] ; [41  2],[44.72072072 23.27927928] ; [28.27927928 14.72072072],1
d3,1,1e-06,23.885111,[26 41] ; [37  6],[38.37272727 28.62727273] ; [24.62727273 18.37272727],1
d4,1,2e-06,22.345918,[38 30] ; [41  1],[48.83636364 19.16363636] ; [30.16363636 11.83636364],1
a4,1,3.9e-05,16.93789,[13 55] ; [25 19],[23.07142857 44.92857143] ; [14.92857143 29.07142857],1
a2,1,0.008474,6.930481,[ 4 64] ; [10 34],[ 8.5 59.5] ; [ 5.5 38.5],0
a3,1,0.017945,5.601494,[37 30] ; [34 10],[42.85585586 24.14414414] ; [28.14414414 15.85585586],0
a5,1,0.024079,5.088898,[30 38] ; [29 15],[35.82142857 32.17857143] ; [23.17857143 20.82142857],0
b4,1,0.040603,4.192513,[33 35] ; [30 14],[38.25 29.75] ; [24.75 19.25],0
s5,1,0.050282,3.832041,[ 7 59] ; [10 30],[10.58490566 55.41509434] ; [ 6.41509434 33.58490566],0
a8,1,0.093959,2.805195,[10 56] ; [ 2 40],[ 7.33333333 58.66666667] ; [ 4.66666667 37.33333333],0
v2,1,0.09397,2.805007,[19 44] ; [19 22],[23.01923077 39.98076923] ; [14.98076923 26.01923077],0
s6,1,0.0965,2.762461,[21 47] ; [20 23],[25.11711712 42.88288288] ; [15.88288288 27.11711712],0
s2,1,0.110062,2.553335,[18 50] ; [18 26],[21.85714286 46.14285714] ; [14.14285714 29.85714286],0
u1,1,0.158062,1.992668,[ 2 66] ; [ 4 40],[ 3.64285714 64.35714286] ; [ 2.35714286 41.64285714],0
s3,1,0.162859,1.947479,[29 38] ; [25 19],[32.59459459 34.40540541] ; [21.40540541 22.59459459],0
s7,1,0.172639,1.859875,[15 49] ; [14 25],[18.01941748 45.98058252] ; [10.98058252 28.01941748],0
r2,1,0.17977,1.799525,[53 15] ; [37  5],[55.63636364 12.36363636] ; [34.36363636  7.63636364],0
n5,1,0.204963,1.606655,[33 35] ; [16 28],[29.75 38.25] ; [19.25 24.75],0
b5,1,0.227081,1.459055,[37 31] ; [29 15],[40.07142857 27.92857143] ; [25.92857143 18.07142857],0
p2,1,0.24947,1.326272,[40 28] ; [21 23],[37.03571429 30.96428571] ; [23.96428571 20.03571429],0
n2,1,0.252939,1.306995,[17  7] ; [12 10],[15.13043478  8.86956522] ; [13.86956522  8.13043478],0
a1,1,0.274398,1.19463,[ 7 61] ; [ 2 42],[ 5.46428571 62.53571429] ; [ 3.53571429 40.46428571],0
s1,1,0.311771,1.02316,[ 3 64] ; [ 4 39],[ 4.26363636 62.73636364] ; [ 2.73636364 40.26363636],0
r3,1,0.322318,0.979515,[46 21] ; [34 10],[48.28828829 18.71171171] ; [31.71171171 12.28828829],0
n1,1,0.33849,0.916141,[ 7 17] ; [ 9 12],[ 8.53333333 15.46666667] ; [ 7.46666667 13.53333333],0
r1,1,0.345796,0.888824,[42 26] ; [31 13],[44.32142857 23.67857143] ; [28.67857143 15.32142857],0
a7,1,0.345796,0.888824,[42 26] ; [31 13],[44.32142857 23.67857143] ; [28.67857143 15.32142857],0
s8,1,0.346813,0.885083,[12 56] ; [11 33],[13.96428571 54.03571429] ; [ 9.03571429 34.96428571],0
u2,1,0.355842,0.852515,[16 14] ; [7 3],[17.25 12.75] ; [5.75 4.25],0
p6,1,0.38002,0.770637,[10 55] ; [ 4 38],[ 8.5046729 56.4953271] ; [ 5.4953271 36.5046729],0
v1,1,0.411829,0.673513,[25 42] ; [19 23],[27.04587156 39.95412844] ; [16.95412844 25.04587156],0
p11,1,0.429011,0.625498,[33 35] ; [18 26],[30.96428571 37.03571429] ; [20.03571429 23.96428571],0
p7,1,0.430257,0.622129,[23 41] ; [12 30],[21.13207547 42.86792453] ; [13.86792453 28.13207547],0
v4,1,0.480294,0.498195,[49 18] ; [34  9],[50.55454545 16.44545455] ; [32.44545455 10.55454545],0
n4,1,0.489296,0.478074,[37 31] ; [21 23],[35.21428571 32.78571429] ; [22.78571429 21.21428571],0
p10,1,0.504651,0.445143,[29 36] ; [22 21],[30.69444444 34.30555556] ; [20.30555556 22.69444444],0
p9,1,0.660265,0.193202,[35 30] ; [25 18],[36.11111111 28.88888889] ; [23.88888889 19.11111111],0
p8,1,0.732564,0.11677,[15 51] ; [11 32],[15.74311927 50.25688073] ; [10.25688073 32.74311927],0
p3,1,0.739448,0.110613,[14 54] ; [10 33],[14.7027027 53.2972973] ; [ 9.2972973 33.7027027],0
p5,1,0.749661,0.101816,[ 1 66] ; [ 1 42],[ 1.21818182 65.78181818] ; [ 0.78181818 42.21818182],0
b3,1,0.751,0.100693,[ 9 23] ; [ 8 17],[ 9.54385965 22.45614035] ; [ 7.45614035 17.54385965],0
b2,1,0.751,0.100693,[ 9 23] ; [ 8 17],[ 9.54385965 22.45614035] ; [ 7.45614035 17.54385965],0
p12,1,0.757987,0.094941,[ 1 65] ; [ 1 42],[ 1.21100917 64.78899083] ; [ 0.78899083 42.21100917],0
p1,1,0.758532,0.094501,[ 5 62] ; [ 4 40],[ 5.43243243 61.56756757] ; [ 3.56756757 40.43243243],0
r4,1,0.788859,0.071713,[40 28] ; [27 17],[40.67857143 27.32142857] ; [26.32142857 17.67857143],0
a6,1,0.792527,0.069185,[41 27] ; [27 16],[41.65765766 26.34234234] ; [26.34234234 16.65765766],0
n3,1,0.801712,0.063067,[14  9] ; [12  9],[13.59090909  9.40909091] ; [12.40909091  8.59090909],0
s4,1,0.810843,0.057283,[12 56] ; [ 7 37],[11.53571429 56.46428571] ; [ 7.46428571 36.53571429],0
v3,1,0.859554,0.031308,[15 49] ; [ 9 32],[14.62857143 49.37142857] ; [ 9.37142857 31.62857143],0
u3,1,0.929299,0.007873,[15 16] ; [5 5],[15.12195122 15.87804878] ; [4.87804878 5.12195122],0
b1,1,0.933874,0.006884,[33 35] ; [21 23],[32.78571429 35.21428571] ; [21.21428571 22.78571429],0
