Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,109.021563,[ 6 45] ; [135  16],[35.5990099 15.4009901] ; [105.4009901  45.5990099],1
s6,1,0.0,25.399161,[35 16] ; [146   8],[45.02926829  5.97073171] ; [135.97073171  18.02926829],1
s7,1,2e-06,23.131431,[18 29] ; [112  35],[31.49484536 15.50515464] ; [98.50515464 48.49484536],1
p9,1,3.2e-05,17.273937,[40 11] ; [145   5],[46.94029851  4.05970149] ; [138.05970149  11.94029851],1
s8,1,0.002493,9.145496,[20 31] ; [97 56],[29.25 21.75] ; [87.75 65.25],0
p6,1,0.008145,7.00134,[16 36] ; [79 73],[24.21568627 27.78431373] ; [70.78431373 81.21568627],0
r2,1,0.016735,5.723906,[47  4] ; [151   2],[49.5  1.5] ; [148.5   4.5],0
s4,1,0.021022,5.324999,[ 6 45] ; [ 42 110],[12.0591133 38.9408867] ; [ 35.9408867 116.0591133],0
b5,1,0.023088,5.161858,[25 27] ; [102  53],[31.90338164 20.09661836] ; [95.09661836 59.90338164],0
p10,1,0.03088,4.659596,[42  9] ; [141  11],[45.97536946  5.02463054] ; [137.02463054  14.97536946],0
v1,1,0.042205,4.126969,[25 27] ; [98 55],[31.2 20.8] ; [91.8 61.2],0
a2,1,0.045802,3.988844,[11 41] ; [56 99],[16.83091787 35.16908213] ; [ 50.16908213 104.83091787],0
v4,1,0.046832,3.9514,[47  4] ; [149   3],[49.24137931  1.75862069] ; [146.75862069   5.24137931],0
n6,1,0.083713,2.99129,[44  8] ; [140  11],[47.13300493  4.86699507] ; [136.86699507  14.13300493],0
n5,1,0.085375,2.959495,[35 17] ; [121  32],[39.57073171 12.42926829] ; [116.42926829  36.57073171],0
p4,1,0.08653,2.937775,[30 21] ; [109  43],[34.92118227 16.07881773] ; [104.07881773  47.92118227],0
a1,1,0.110045,2.553574,[ 5 47] ; [  6 149],[ 2.76328502 49.23671498] ; [  8.23671498 146.76328502],0
a8,1,0.127524,2.322388,[10 36] ; [ 17 119],[ 6.82417582 39.17582418] ; [ 20.17582418 115.82417582],0
d1,1,0.134723,2.237222,[30 22] ; [107  48],[34.41545894 17.58454106] ; [102.58454106  52.41545894],0
n2,1,0.144584,2.128478,[11  5] ; [26  4],[12.86956522  3.13043478] ; [24.13043478  5.86956522],0
r3,1,0.178525,1.809864,[48  4] ; [148   5],[49.71707317  2.28292683] ; [146.28292683   6.71707317],0
