Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.001584,9.977927,[ 7 87] ; [ 7 15],[11.34482759 82.65517241] ; [ 2.65517241 19.34482759],0
p6,1,0.002973,8.824242,[13 78] ; [ 9 12],[17.875 73.125] ; [ 4.125 16.875],0
s3,1,0.008226,6.983638,[17 74] ; [10 12],[21.74336283 69.25663717] ; [ 5.25663717 16.74336283],0
n4,1,0.014137,6.020943,[33 61] ; [14  8],[38.0862069 55.9137931] ; [ 8.9137931 13.0862069],0
s2,1,0.018984,5.50295,[11 83] ; [ 7 15],[14.5862069 79.4137931] ; [ 3.4137931 18.5862069],0
a2,1,0.020312,5.384913,[ 4 90] ; [ 4 18],[ 6.48275862 87.51724138] ; [ 1.51724138 20.48275862],0
n1,1,0.03265,4.564043,[ 5 25] ; [3 2],[ 6.85714286 23.14285714] ; [1.14285714 3.85714286],0
a8,1,0.033021,4.544677,[ 5 85] ; [ 4 16],[ 7.36363636 82.63636364] ; [ 1.63636364 18.36363636],0
a4,1,0.037245,4.339182,[22 72] ; [10 12],[25.93103448 68.06896552] ; [ 6.06896552 15.93103448],0
p3,1,0.05331,3.734188,[23 70] ; [10 12],[26.68695652 66.31304348] ; [ 6.31304348 15.68695652],0
a3,1,0.079597,3.073108,[53 40] ; [17  5],[56.60869565 36.39130435] ; [13.39130435  8.60869565],0
d3,1,0.079597,3.073108,[53 40] ; [17  5],[56.60869565 36.39130435] ; [13.39130435  8.60869565],0
p11,1,0.088599,2.899643,[59 35] ; [18  4],[62.39655172 31.60344828] ; [14.60344828  7.39655172],0
p4,1,0.095621,2.777106,[29 64] ; [11 11],[32.34782609 60.65217391] ; [ 7.65217391 14.34782609],0
u1,1,0.096235,2.766855,[ 4 90] ; [ 3 19],[ 5.67241379 88.32758621] ; [ 1.32758621 20.67241379],0
p2,1,0.117421,2.451382,[65 28] ; [19  3],[67.93043478 25.06956522] ; [16.06956522  5.93043478],0
s4,1,0.121841,2.393489,[ 7 87] ; [ 4 18],[ 8.9137931 85.0862069] ; [ 2.0862069 19.9137931],0
u3,1,0.12713,2.327199,[18 23] ; [4 1],[19.60869565 21.39130435] ; [2.39130435 2.60869565],0
u2,1,0.155289,2.019512,[19 22] ; [4 1],[20.5 20.5] ; [2.5 2.5],0
b1,1,0.159809,1.976032,[41 53] ; [ 6 16],[38.0862069 55.9137931] ; [ 8.9137931 13.0862069],0
d4,1,0.201003,1.63507,[69 25] ; [19  3],[71.31034483 22.68965517] ; [16.68965517  5.31034483],0
r2,1,0.207603,1.588065,[79 14] ; [20  1],[80.76315789 12.23684211] ; [18.23684211  2.76315789],0
a5,1,0.223036,1.48473,[42 52] ; [13  9],[44.56896552 49.43103448] ; [10.43103448 11.56896552],0
p7,1,0.227043,1.459293,[44 49] ; [13  8],[46.5 46.5] ; [10.5 10.5],0
s5,1,0.237627,1.394617,[ 9 82] ; [ 4 17],[10.5625 80.4375] ; [ 2.4375 18.5625],0
d2,1,0.270496,1.214232,[31 63] ; [10 12],[33.22413793 60.77586207] ; [ 7.77586207 14.22413793],0
r3,1,0.2712,1.210667,[82 12] ; [21  1],[83.46551724 10.53448276] ; [19.53448276  2.46551724],0
d5,1,0.291544,1.112479,[61 32] ; [17  5],[63.07826087 29.92173913] ; [14.92173913  7.07826087],0
r4,1,0.314503,1.011672,[67 27] ; [18  4],[68.87931034 25.12068966] ; [16.12068966  5.87931034],0
b2,1,0.36933,0.805919,[16 37] ; [6 8],[17.40298507 35.59701493] ; [4.59701493 9.40298507],0
b3,1,0.36933,0.805919,[16 37] ; [6 8],[17.40298507 35.59701493] ; [4.59701493 9.40298507],0
p10,1,0.443331,0.587645,[46 46] ; [13  9],[47.61403509 44.38596491] ; [11.38596491 10.61403509],0
v3,1,0.457502,0.551998,[21 68] ; [ 3 16],[19.77777778 69.22222222] ; [ 4.22222222 14.77777778],0
d1,1,0.468072,0.526525,[39 55] ; [11 11],[40.51724138 53.48275862] ; [ 9.48275862 12.51724138],0
a6,1,0.478244,0.502864,[52 42] ; [14  8],[53.48275862 40.51724138] ; [12.51724138  9.48275862],0
n6,1,0.595678,0.281564,[54 40] ; [14  8],[55.10344828 38.89655172] ; [12.89655172  9.10344828],0
v1,1,0.648587,0.207687,[28 65] ; [ 5 15],[27.15929204 65.84070796] ; [ 5.84070796 14.15929204],0
a7,1,0.650223,0.205619,[63 30] ; [16  6],[63.88695652 29.11304348] ; [15.11304348  6.88695652],0
p8,1,0.67631,0.174309,[34 59] ; [ 7 15],[33.15652174 59.84347826] ; [ 7.84347826 14.15652174],0
r1,1,0.700688,0.147757,[60 34] ; [15  7],[60.77586207 33.22413793] ; [14.22413793  7.77586207],0
s1,1,0.744562,0.106157,[ 6 88] ; [ 1 21],[ 5.67241379 88.32758621] ; [ 1.32758621 20.67241379],0
p9,1,0.746766,0.104268,[54 39] ; [13  8],[54.65789474 38.34210526] ; [12.34210526  8.65789474],0
v2,1,0.759634,0.093613,[43 50] ; [10 10],[43.61946903 49.38053097] ; [ 9.38053097 10.61946903],0
p5,1,0.761291,0.092286,[ 3 90] ; [ 1 21],[ 3.23478261 89.76521739] ; [ 0.76521739 21.23478261],0
n2,1,0.840867,0.040315,[16 13] ; [3 2],[16.20588235 12.79411765] ; [2.79411765 2.20588235],0
v4,1,0.865578,0.028655,[81 12] ; [18  3],[80.76315789 12.23684211] ; [18.23684211  2.76315789],0
b4,1,0.888234,0.019751,[54 40] ; [13  9],[54.29310345 39.70689655] ; [12.70689655  9.29310345],0
b5,1,0.966826,0.00173,[56 38] ; [13  9],[55.9137931 38.0862069] ; [13.0862069  8.9137931],0
