Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,42.043438,[ 3 23] ; [66 15],[16.76635514  9.23364486] ; [52.23364486 28.76635514],1
r3,1,4e-06,21.301163,[12 14] ; [72  9],[20.41121495  5.58878505] ; [63.58878505 17.41121495],1
p2,1,1.4e-05,18.879246,[ 5 20] ; [56 25],[14.38679245 10.61320755] ; [46.61320755 34.38679245],1
r2,1,2.1e-05,18.1379,[13 12] ; [73  8],[20.28301887  4.71698113] ; [65.71698113 15.28301887],1
a6,1,0.000212,13.725974,[10 16] ; [62 18],[17.66037736  8.33962264] ; [54.33962264 25.66037736],1
r1,1,0.0003,13.06769,[ 9 17] ; [59 21],[16.67924528  9.32075472] ; [51.32075472 28.67924528],1
p10,1,0.00048,12.191582,[ 5 20] ; [48 32],[12.61904762 12.38095238] ; [40.38095238 39.61904762],1
p11,1,0.001928,9.616375,[ 6 20] ; [47 34],[12.87850467 13.12149533] ; [40.12149533 40.87850467],0
d3,1,0.002319,9.278238,[ 9 17] ; [54 25],[15.6 10.4] ; [47.4 31.6],0
a1,1,0.002635,9.044338,[ 5 21] ; [ 2 79],[ 1.70093458 24.29906542] ; [ 5.29906542 75.70093458],0
n3,1,0.002908,8.864469,[ 4 10] ; [20  6],[8.4 5.6] ; [15.6 10.4],0
d5,1,0.006189,7.494344,[12 14] ; [60 20],[17.66037736  8.33962264] ; [54.33962264 25.66037736],0
u2,1,0.008653,6.893107,[4 9] ; [24  9],[7.91304348 5.08695652] ; [20.08695652 12.91304348],0
b2,1,0.009767,6.676905,[8 9] ; [ 7 38],[ 4.11290323 12.88709677] ; [10.88709677 34.11290323],0
b3,1,0.009767,6.676905,[8 9] ; [ 7 38],[ 4.11290323 12.88709677] ; [10.88709677 34.11290323],0
a7,1,0.012223,6.27823,[12 14] ; [59 22],[17.25233645  8.74766355] ; [53.74766355 27.25233645],0
s6,1,0.012245,6.275005,[ 5 21] ; [38 43],[10.44859813 15.55140187] ; [32.55140187 48.44859813],0
s8,1,0.019888,5.421715,[ 1 25] ; [20 61],[ 5.10280374 20.89719626] ; [15.89719626 65.10280374],0
p9,1,0.026678,4.911523,[ 9 16] ; [49 31],[13.80952381 11.19047619] ; [44.19047619 35.80952381],0
p7,1,0.035963,4.398871,[ 8 18] ; [42 35],[12.62135922 13.37864078] ; [37.37864078 39.62135922],0
s7,1,0.044064,4.054096,[ 2 22] ; [21 53],[ 5.63265306 18.36734694] ; [17.36734694 56.63265306],0
p8,1,0.044639,4.032243,[ 4 20] ; [31 49],[ 8.07692308 15.92307692] ; [26.92307692 53.07692308],0
s2,1,0.049837,3.846951,[ 4 22] ; [29 52],[ 8.01869159 17.98130841] ; [24.98130841 56.01869159],0
n2,1,0.072267,3.230769,[6 8] ; [20  8],[8.66666667 5.33333333] ; [17.33333333 10.66666667],0
v3,1,0.078822,3.089017,[ 2 23] ; [18 56],[ 5.05050505 19.94949495] ; [14.94949495 59.05050505],0
p4,1,0.127518,2.322466,[ 7 19] ; [35 45],[10.30188679 15.69811321] ; [31.69811321 48.30188679],0
b5,1,0.130505,2.286486,[11 15] ; [48 33],[14.3364486 11.6635514] ; [44.6635514 36.3364486],0
p1,1,0.135436,2.229058,[ 3 23] ; [ 3 77],[ 1.47169811 24.52830189] ; [ 4.52830189 75.47169811],0
n1,1,0.144424,2.130178,[7 7] ; [ 7 19],[4.9 9.1] ; [ 9.1 16.9],0
p3,1,0.20822,1.583758,[ 5 21] ; [26 55],[ 7.53271028 18.46728972] ; [23.46728972 57.53271028],0
v2,1,0.222925,1.485443,[ 6 19] ; [28 47],[ 8.5 16.5] ; [25.5 49.5],0
d4,1,0.234373,1.414122,[16 10] ; [59 21],[18.39622642  7.60377358] ; [56.60377358 23.39622642],0
d2,1,0.25945,1.271687,[13 13] ; [30 50],[10.54716981 15.45283019] ; [32.45283019 47.54716981],0
n5,1,0.311834,1.022892,[13 13] ; [31 49],[10.79245283 15.20754717] ; [33.20754717 46.79245283],0
b1,1,0.338854,0.914761,[15 11] ; [38 43],[12.87850467 13.12149533] ; [40.12149533 40.87850467],0
s3,1,0.353004,0.862631,[10 15] ; [41 40],[12.02830189 12.97169811] ; [38.97169811 42.02830189],0
a8,1,0.506859,0.440546,[ 3 22] ; [ 6 72],[ 2.18446602 22.81553398] ; [ 6.81553398 71.18446602],0
a3,1,0.52092,0.412072,[13 12] ; [48 33],[14.38679245 10.61320755] ; [46.61320755 34.38679245],0
s5,1,0.521726,0.410479,[ 4 22] ; [ 8 67],[ 3.08910891 22.91089109] ; [ 8.91089109 66.08910891],0
b4,1,0.544719,0.366863,[13 13] ; [46 35],[14.3364486 11.6635514] ; [44.6635514 36.3364486],0
a2,1,0.574672,0.314928,[ 3 23] ; [13 68],[ 3.88785047 22.11214953] ; [12.11214953 68.88785047],0
n4,1,0.613136,0.255634,[14 12] ; [39 42],[12.87850467 13.12149533] ; [40.12149533 40.87850467],0
s4,1,0.619093,0.247145,[ 4 22] ; [16 65],[ 4.85981308 21.14018692] ; [15.14018692 65.85981308],0
a5,1,0.626627,0.236663,[14 12] ; [48 33],[15.06542056 10.93457944] ; [46.93457944 34.06542056],0
p6,1,0.656627,0.197647,[ 4 21] ; [16 64],[ 4.76190476 20.23809524] ; [15.23809524 64.76190476],0
d1,1,0.669571,0.182105,[10 16] ; [35 46],[10.93457944 15.06542056] ; [34.06542056 46.93457944],0
p5,1,0.694354,0.154412,[ 1 24] ; [ 2 78],[ 0.71428571 24.28571429] ; [ 2.28571429 77.71428571],0
a4,1,0.718129,0.130293,[10 16] ; [28 53],[ 9.23364486 16.76635514] ; [28.76635514 52.23364486],0
s1,1,0.796976,0.066184,[ 2 24] ; [ 5 75],[ 1.71698113 24.28301887] ; [ 5.28301887 74.71698113],0
