Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,67.100195,[26 64] ; [132  31],[56.2055336 33.7944664] ; [101.7944664  61.2055336],1
s6,1,1.7e-05,18.492336,[36 52] ; [111  50],[51.95180723 36.04819277] ; [95.04819277 65.95180723],1
p10,1,1.9e-05,18.317974,[45 40] ; [129  34],[59.63709677 25.36290323] ; [114.36290323  48.63709677],1
n6,1,9.9e-05,15.164653,[59 31] ; [140  22],[71.07142857 18.92857143] ; [127.92857143  34.07142857],1
p4,1,0.000318,12.958732,[29 61] ; [91 72],[42.68774704 47.31225296] ; [77.31225296 85.68774704],1
p7,1,0.000979,10.86757,[40 49] ; [105  53],[52.24696356 36.75303644] ; [92.75303644 65.24696356],1
p9,1,0.001215,10.466839,[54 32] ; [132  30],[64.5 21.5] ; [121.5  40.5],0
p3,1,0.001381,10.230747,[22 68] ; [73 90],[33.7944664 56.2055336] ; [ 61.2055336 101.7944664],0
v1,1,0.001538,10.032529,[26 60] ; [82 78],[37.75609756 48.24390244] ; [70.24390244 89.75609756],0
p5,1,0.002381,9.229535,[ 2 87] ; [ 23 138],[ 8.9 80.1] ; [ 16.1 144.9],0
v3,1,0.00735,7.185287,[18 66] ; [61 98],[27.30864198 56.69135802] ; [ 51.69135802 107.30864198],0
p6,1,0.011499,6.386512,[19 67] ; [ 61 100],[27.85425101 58.14574899] ; [ 52.14574899 108.85425101],0
s2,1,0.011805,6.339866,[31 59] ; [82 79],[40.51792829 49.48207171] ; [72.48207171 88.51792829],0
p2,1,0.013175,6.145524,[61 28] ; [134  29],[68.86904762 20.13095238] ; [126.13095238  36.86904762],0
s7,1,0.014594,5.964883,[23 64] ; [65 89],[31.76763485 55.23236515] ; [56.23236515 97.76763485],0
s3,1,0.014776,5.942952,[41 49] ; [99 62],[50.19920319 39.80079681] ; [89.80079681 71.19920319],0
p11,1,0.017902,5.605751,[59 31] ; [129  34],[66.87747036 23.12252964] ; [121.12252964  41.87747036],0
p8,1,0.021311,5.301192,[30 59] ; [79 83],[38.64940239 50.35059761] ; [70.35059761 91.64940239],0
r4,1,0.025873,4.964499,[70 20] ; [144  19],[76.12648221 13.87351779] ; [137.87351779  25.12648221],0
p12,1,0.062747,3.463235,[ 1 88] ; [ 10 153],[ 3.88492063 85.11507937] ; [  7.11507937 155.88492063],0
s8,1,0.067959,3.331636,[23 67] ; [ 60 103],[29.5256917 60.4743083] ; [ 53.4743083 109.5256917],0
a1,1,0.107368,2.592544,[ 4 86] ; [  2 161],[ 2.13438735 87.86561265] ; [  3.86561265 159.13438735],0
u1,1,0.11854,2.436511,[ 1 89] ; [  8 155],[ 3.20158103 86.79841897] ; [  5.79841897 157.20158103],0
a8,1,0.121391,2.399277,[ 7 78] ; [ 23 128],[10.80508475 74.19491525] ; [ 19.19491525 131.80508475],0
r1,1,0.142751,2.148053,[54 36] ; [112  50],[59.28571429 30.71428571] ; [106.71428571  55.28571429],0
