Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,26.352398,[22  6] ; [ 8 37],[11.50684932 16.49315068] ; [18.49315068 26.50684932],1
s6,1,9e-06,19.703029,[22  5] ; [12 32],[12.92957746 14.07042254] ; [21.07042254 22.92957746],1
s8,1,0.000242,13.474778,[12 16] ; [ 3 41],[ 5.83333333 22.16666667] ; [ 9.16666667 34.83333333],1
s5,1,0.003159,8.713038,[12 14] ; [ 6 37],[ 6.7826087 19.2173913] ; [11.2173913 31.7826087],0
v1,1,0.011504,6.385769,[15 13] ; [11 34],[ 9.97260274 18.02739726] ; [16.02739726 28.97260274],0
n2,1,0.016205,5.780534,[11  2] ; [ 9 12],[7.64705882 5.35294118] ; [12.35294118  8.64705882],0
r3,1,0.019295,5.474604,[27  1] ; [34 11],[23.39726027  4.60273973] ; [37.60273973  7.39726027],0
p7,1,0.019676,5.440378,[13 15] ; [ 9 35],[ 8.55555556 19.44444444] ; [13.44444444 30.55555556],0
s7,1,0.038817,4.268849,[10 15] ; [ 7 34],[ 6.43939394 18.56060606] ; [10.56060606 30.43939394],0
r4,1,0.071285,3.253171,[23  5] ; [28 17],[19.56164384  8.43835616] ; [31.43835616 13.56164384],0
s4,1,0.095752,2.774917,[ 9 19] ; [ 7 38],[ 6.1369863 21.8630137] ; [ 9.8630137 35.1369863],0
a1,1,0.121078,2.403316,[ 3 25] ; [ 1 44],[ 1.53424658 26.46575342] ; [ 2.46575342 42.53424658],0
r2,1,0.147371,2.099252,[25  3] ; [34 11],[22.63013699  5.36986301] ; [36.36986301  8.63013699],0
v4,1,0.147371,2.099252,[25  3] ; [34 11],[22.63013699  5.36986301] ; [36.36986301  8.63013699],0
a4,1,0.157055,2.002351,[14 14] ; [15 30],[11.12328767 16.87671233] ; [17.87671233 27.12328767],0
p4,1,0.17146,1.87013,[12 16] ; [12 32],[ 9.33333333 18.66666667] ; [14.66666667 29.33333333],0
a3,1,0.175038,1.839254,[20  8] ; [25 20],[17.26027397 10.73972603] ; [27.73972603 17.26027397],0
p10,1,0.188364,1.730366,[16 11] ; [19 25],[13.30985915 13.69014085] ; [21.69014085 22.30985915],0
p3,1,0.197141,1.663431,[ 8 20] ; [ 7 37],[ 5.83333333 22.16666667] ; [ 9.16666667 34.83333333],0
a7,1,0.214673,1.53963,[12 16] ; [26 19],[14.57534247 13.42465753] ; [23.42465753 21.57534247],0
p6,1,0.221686,1.493422,[ 7 21] ; [ 6 38],[ 5.05555556 22.94444444] ; [ 7.94444444 36.05555556],0
a5,1,0.269981,1.216843,[18 10] ; [23 22],[15.7260274 12.2739726] ; [25.2739726 19.7260274],0
p9,1,0.27684,1.182536,[15 11] ; [19 24],[12.8115942 13.1884058] ; [21.1884058 21.8115942],0
u2,1,0.280828,1.163077,[3 5] ; [12  8],[4.28571429 3.71428571] ; [10.71428571  9.28571429],0
p11,1,0.304286,1.055317,[14 14] ; [17 28],[11.89041096 16.10958904] ; [19.10958904 25.89041096],0
p8,1,0.376859,0.780923,[ 9 19] ; [10 34],[ 7.38888889 20.61111111] ; [11.61111111 32.38888889],0
b4,1,0.402425,0.701067,[14 14] ; [27 18],[15.7260274 12.2739726] ; [25.2739726 19.7260274],0
s1,1,0.410326,0.677857,[ 2 26] ; [ 6 39],[ 3.06849315 24.93150685] ; [ 4.93150685 40.06849315],0
a2,1,0.415,0.664431,[ 5 23] ; [ 5 40],[ 3.83561644 24.16438356] ; [ 6.16438356 38.83561644],0
v3,1,0.417657,0.656899,[ 5 21] ; [12 31],[ 6.4057971 19.5942029] ; [10.5942029 32.4057971],0
