Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,81.737836,[149 178] ; [202  42],[201.01050788 125.98949212] ; [149.98949212  94.01050788],1
v1,1,5e-06,20.847143,[168 165] ; [170  75],[194.73010381 138.26989619] ; [143.26989619 101.73010381],1
p12,1,8e-06,19.84119,[ 18 320] ; [ 41 207],[ 34.03071672 303.96928328] ; [ 24.96928328 223.03071672],1
p5,1,0.000316,12.971119,[ 30 309] ; [ 47 200],[ 44.5443686 294.4556314] ; [ 32.4556314 214.5443686],1
n5,1,0.000456,12.286785,[246  89] ; [212  36],[263.17324185  71.82675815] ; [194.82675815  53.17324185],1
p3,1,0.000705,11.476453,[162 178] ; [152  94],[182.18430034 157.81569966] ; [131.81569966 114.18430034],1
s8,1,0.001016,10.797713,[151 189] ; [142 102],[170.58219178 169.41780822] ; [122.41780822 121.58219178],0
a1,1,0.001101,10.650177,[  7 333] ; [ 19 229],[ 15.03401361 324.96598639] ; [ 10.96598639 237.03401361],0
s7,1,0.003887,8.336017,[162 167] ; [144  90],[178.81705151 150.18294849] ; [127.18294849 106.81705151],0
v4,1,0.004735,7.977839,[324  14] ; [246   1],[329.33333333   8.66666667] ; [240.66666667   6.33333333],0
p1,1,0.011614,6.368817,[ 21 318] ; [ 30 217],[ 29.50341297 309.49658703] ; [ 21.49658703 225.50341297],0
s4,1,0.02144,5.290674,[ 68 267] ; [ 32 214],[ 57.65920826 277.34079174] ; [ 42.34079174 203.65920826],0
d1,1,0.030211,4.697217,[202 138] ; [169  79],[214.52380952 125.47619048] ; [156.47619048  91.52380952],0
p10,1,0.035636,4.414418,[306  34] ; [235  13],[312.82312925  27.17687075] ; [228.17687075  19.82312925],0
n4,1,0.035711,4.410863,[262  77] ; [209  39],[272.00851789  66.99148211] ; [198.99148211  49.00851789],0
p7,1,0.035879,4.402842,[216 114] ; [179  64],[227.48691099 102.51308901] ; [167.51308901  75.48691099],0
a5,1,0.038206,4.295844,[260  80] ; [207  41],[270.03401361  69.96598639] ; [196.96598639  51.03401361],0
p8,1,0.039068,4.25792,[183 153] ; [155  91],[195.13402062 140.86597938] ; [142.86597938 103.13402062],0
p4,1,0.057167,3.617734,[204 134] ; [168  79],[214.93333333 123.06666667] ; [157.06666667  89.93333333],0
u1,1,0.061071,3.508053,[ 62 278] ; [ 61 187],[ 71.12244898 268.87755102] ; [ 51.87755102 196.12244898],0
s2,1,0.071214,3.25481,[171 167] ; [143 103],[181.73287671 156.26712329] ; [132.26712329 113.73287671],0
u4,1,0.082624,3.012524,[  4 336] ; [  8 240],[  6.93877551 333.06122449] ; [  5.06122449 242.93877551],0
a3,1,0.096296,2.765848,[250  89] ; [196  50],[258.45128205  80.54871795] ; [187.54871795  58.45128205],0
d2,1,0.108168,2.580788,[163 177] ; [135 112],[172.60647359 167.39352641] ; [125.39352641 121.60647359],0
n1,1,0.134632,2.238261,[32 45] ; [11 29],[28.2991453 48.7008547] ; [14.7008547 25.2991453],0
s5,1,0.142026,2.155865,[118 209] ; [102 140],[126.43233743 200.56766257] ; [ 93.56766257 148.43233743],0
u2,1,0.165581,1.922499,[47 41] ; [34 18],[50.91428571 37.08571429] ; [30.08571429 21.91428571],0
n6,1,0.170225,1.880958,[290  47] ; [221  25],[295.38078902  41.61921098] ; [215.61921098  30.38078902],0
p11,1,0.232065,1.428159,[278  62] ; [212  36],[283.33333333  56.66666667] ; [206.66666667  41.33333333],0
