Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.000112,14.916006,[206  35] ; [13 11],[199.16603774  41.83396226] ; [19.83396226  4.16603774],1
n4,1,0.00017,14.135156,[217  24] ; [16  9],[211.10150376  29.89849624] ; [21.89849624  3.10150376],1
a5,1,0.000394,12.55999,[198  43] ; [13 12],[191.16917293  49.83082707] ; [19.83082707  5.16917293],1
r2,1,0.00223,9.349862,[235   4] ; [22  3],[232.66287879   6.33712121] ; [24.33712121  0.66287879],0
b1,1,0.005869,7.590181,[ 95 146] ; [17  8],[101.47368421 139.52631579] ; [10.52631579 14.47368421],0
p9,1,0.006225,7.484051,[222  18] ; [19  6],[218.26415094  21.73584906] ; [22.73584906  2.26415094],0
s7,1,0.020285,5.387184,[151  79] ; [10 14],[145.78740157  84.21259843] ; [15.21259843  8.78740157],0
p10,1,0.022341,5.219011,[211  28] ; [18  7],[207.31439394  31.68560606] ; [21.68560606  3.31439394],0
p11,1,0.029327,4.748343,[198  43] ; [16  9],[193.88721805  47.11278195] ; [20.11278195  4.88721805],0
p5,1,0.033274,4.53162,[ 53 188] ; [ 1 24],[ 48.92481203 192.07518797] ; [ 5.07518797 19.92481203],0
s4,1,0.035405,4.425532,[ 43 192] ; [ 9 16],[ 47. 188.] ; [ 5. 20.],0
v4,1,0.079163,3.082007,[235   5] ; [23  2],[233.66037736   6.33962264] ; [24.33962264  0.66037736],0
u1,1,0.102393,2.667863,[ 65 176] ; [ 3 22],[ 61.60902256 179.39097744] ; [ 6.39097744 18.60902256],0
a3,1,0.120791,2.407039,[186  53] ; [16  9],[182.87121212  56.12878788] ; [19.12878788  5.87121212],0
r4,1,0.124665,2.357714,[235   6] ; [23  2],[233.7518797   7.2481203] ; [24.2481203  0.7518797],0
s5,1,0.154987,2.022473,[106 125] ; [ 7 16],[102.76771654 128.23228346] ; [10.23228346 12.76771654],0
s8,1,0.161035,1.964477,[140  99] ; [11 14],[136.70075758 102.29924242] ; [14.29924242 10.70075758],0
p12,1,0.176817,1.824172,[ 32 207] ; [ 1 24],[ 29.875 209.125] ; [ 3.125 21.875],0
b5,1,0.177682,1.816903,[140 101] ; [18  7],[143.15037594  97.84962406] ; [14.84962406 10.15037594],0
d1,1,0.240578,1.377201,[163  78] ; [14 11],[160.36466165  80.63533835] ; [16.63533835  8.36466165],0
p7,1,0.271923,1.207021,[208  29] ; [20  5],[206.24427481  30.75572519] ; [21.75572519  3.24427481],0
v3,1,0.316655,1.002712,[100 136] ; [ 8 17],[ 97.65517241 138.34482759] ; [10.34482759 14.65517241],0
n3,1,0.329867,0.949418,[30 10] ; [4 3],[28.93617021 11.06382979] ; [5.06382979 1.93617021],0
p1,1,0.369671,0.804771,[ 35 206] ; [ 2 23],[ 33.52255639 207.47744361] ; [ 3.47744361 21.52255639],0
