Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,30.46458,[ 8 34] ; [32  8],[20.48780488 21.51219512] ; [19.51219512 20.48780488],1
p11,1,0.0002,13.832479,[11 31] ; [28 14],[19.5 22.5] ; [19.5 22.5],1
p2,1,0.002348,9.255393,[16 26] ; [28 11],[22.81481481 19.18518519] ; [21.18518519 17.81481481],0
v1,1,0.004178,8.204727,[ 8 34] ; [20 21],[14.1686747 27.8313253] ; [13.8313253 27.1686747],0
p4,1,0.011061,6.455433,[ 9 32] ; [20 21],[14.5 26.5] ; [14.5 26.5],0
s8,1,0.013535,6.097778,[ 1 41] ; [ 8 34],[ 4.5 37.5] ; [ 4.5 37.5],0
r3,1,0.034617,4.463944,[15 25] ; [25 16],[19.75308642 20.24691358] ; [20.24691358 20.75308642],0
n5,1,0.037636,4.321405,[22 19] ; [31 10],[26.5 14.5] ; [26.5 14.5],0
p3,1,0.0507,3.818153,[ 6 36] ; [13 27],[ 9.73170732 32.26829268] ; [ 9.26829268 30.73170732],0
p6,1,0.069664,3.290928,[ 4 37] ; [10 30],[ 7.08641975 33.91358025] ; [ 6.91358025 33.08641975],0
p5,1,0.084314,2.979726,[ 1 41] ; [ 5 36],[ 3.03614458 38.96385542] ; [ 2.96385542 38.03614458],0
s7,1,0.096312,2.765581,[ 4 35] ; [10 31],[ 6.825 32.175] ; [ 7.175 33.825],0
r1,1,0.119189,2.427947,[14 27] ; [ 8 34],[10.86746988 30.13253012] ; [11.13253012 30.86746988],0
n2,1,0.121075,2.403355,[11 14] ; [11  5],[13.41463415 11.58536585] ; [8.58536585 7.41463415],0
a5,1,0.126523,2.334657,[18 24] ; [25 17],[21.5 20.5] ; [21.5 20.5],0
p8,1,0.127819,2.318797,[ 9 33] ; [15 26],[12.14457831 29.85542169] ; [11.85542169 29.14457831],0
b1,1,0.188414,1.729977,[20 22] ; [26 16],[23. 19.] ; [23. 19.],0
n6,1,0.221372,1.495458,[21 19] ; [27 14],[23.7037037 16.2962963] ; [24.2962963 16.7037037],0
v4,1,0.226019,1.46574,[22 19] ; [28 14],[24.69879518 16.30120482] ; [25.30120482 16.69879518],0
a6,1,0.268481,1.22449,[20 22] ; [15 27],[17.5 24.5] ; [17.5 24.5],0
n1,1,0.354052,0.858879,[ 6 19] ; [ 6 10],[ 7.31707317 17.68292683] ; [ 4.68292683 11.31707317],0
d4,1,0.446013,0.580763,[23 18] ; [27 15],[24.69879518 16.30120482] ; [25.30120482 16.69879518],0
p1,1,0.457244,0.552632,[ 3 39] ; [ 5 37],[ 4. 38.] ; [ 4. 38.],0
p7,1,0.469295,0.523636,[11 29] ; [14 26],[12.5 27.5] ; [12.5 27.5],0
s2,1,0.500416,0.454054,[ 4 38] ; [ 6 36],[ 5. 37.] ; [ 5. 37.],0
a2,1,0.500416,0.454054,[ 6 36] ; [ 4 38],[ 5. 37.] ; [ 5. 37.],0
b4,1,0.506729,0.440816,[23 19] ; [26 16],[24.5 17.5] ; [24.5 17.5],0
s4,1,0.532884,0.388889,[ 7 35] ; [ 5 37],[ 6. 36.] ; [ 6. 36.],0
a3,1,0.585582,0.297297,[20 21] ; [23 19],[21.24096386 19.75903614] ; [21.75903614 20.24096386],0
a8,1,0.586667,0.295579,[ 1 37] ; [ 2 38],[ 1.46153846 36.53846154] ; [ 1.53846154 38.46153846],0
n4,1,0.58984,0.290594,[22 19] ; [25 17],[23.21686747 17.78313253] ; [23.78313253 18.21686747],0
n3,1,0.606185,0.265768,[12 13] ; [9 7],[12.80487805 12.19512195] ; [8.19512195 7.80487805],0
u1,1,0.644692,0.212658,[ 2 40] ; [ 3 39],[ 2.5 39.5] ; [ 2.5 39.5],0
