Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,34.408279,[150   8] ; [59 29],[134.23577236  23.76422764] ; [74.76422764 13.23577236],1
p10,1,0.0,31.153992,[121  38] ; [34 51],[101.00409836  57.99590164] ; [53.99590164 31.00409836],1
p9,1,1e-06,23.709589,[129  29] ; [43 40],[112.76348548  45.23651452] ; [59.23651452 23.76348548],1
n6,1,2e-06,22.695551,[135  24] ; [50 37],[119.57317073  39.42682927] ; [65.42682927 21.57317073],1
r4,1,3e-06,21.620091,[132  27] ; [49 39],[116.51417004  42.48582996] ; [64.48582996 23.51417004],1
p2,1,4.9e-05,16.472921,[120  39] ; [44 44],[105.5708502  53.4291498] ; [58.4291498 29.5708502],1
b1,1,5.5e-05,16.268359,[ 47 112] ; [49 39],[61.79757085 97.20242915] ; [34.20242915 53.79757085],1
a1,1,0.000676,11.553168,[  1 158] ; [ 8 80],[  5.79352227 153.20647773] ; [ 3.20647773 84.79352227],1
v4,1,0.003377,8.591931,[141  17] ; [66 22],[132.95121951  25.04878049] ; [74.04878049 13.95121951],0
r2,1,0.006627,7.371292,[143  15] ; [67 19],[135.98360656  22.01639344] ; [74.01639344 11.98360656],0
n3,1,0.009846,6.66256,[32 11] ; [23 25],[25.98901099 17.01098901] ; [29.01098901 18.98901099],0
s1,1,0.021345,5.298387,[  4 155] ; [ 8 80],[  7.72469636 151.27530364] ; [ 4.27530364 83.72469636],0
a5,1,0.02599,4.956684,[111  48] ; [49 39],[102.99595142  56.00404858] ; [57.00404858 30.99595142],0
a6,1,0.033553,4.517327,[105  54] ; [46 42],[97.20242915 61.79757085] ; [53.79757085 34.20242915],0
u3,1,0.034972,4.44654,[37 22] ; [16 23],[31.90816327 27.09183673] ; [21.09183673 17.90816327],0
n4,1,0.036645,4.366841,[113  46] ; [51 37],[105.5708502  53.4291498] ; [58.4291498 29.5708502],0
u2,1,0.042091,4.131533,[32 27] ; [13 26],[27.09183673 31.90816327] ; [17.90816327 21.09183673],0
b4,1,0.045984,3.982169,[102  57] ; [45 43],[94.62753036 64.37246964] ; [52.37246964 35.62753036],0
n2,1,0.047193,3.938509,[33 10] ; [28 21],[28.51086957 14.48913043] ; [32.48913043 16.51086957],0
a2,1,0.08676,2.933478,[ 21 138] ; [19 69],[ 25.74898785 133.25101215] ; [14.25101215 73.74898785],0
b5,1,0.107682,2.587916,[105  54] ; [49 39],[99.13360324 59.86639676] ; [54.86639676 33.13360324],0
b2,1,0.140306,2.174596,[28 60] ; [23 29],[32.05714286 55.94285714] ; [18.94285714 33.05714286],0
b3,1,0.140306,2.174596,[28 60] ; [23 29],[32.05714286 55.94285714] ; [18.94285714 33.05714286],0
n5,1,0.14415,2.133087,[108  50] ; [52 36],[102.76422764  55.23577236] ; [57.23577236 30.76422764],0
a8,1,0.171646,1.868511,[ 18 135] ; [ 5 76],[ 15.03846154 137.96153846] ; [ 7.96153846 73.03846154],0
s7,1,0.17471,1.84206,[ 46 108] ; [32 51],[ 50.6835443 103.3164557] ; [27.3164557 55.6835443],0
p4,1,0.189217,1.7237,[64 95] ; [28 60],[59.22267206 99.77732794] ; [32.77732794 55.22267206],0
r1,1,0.198843,1.650849,[108  50] ; [53 35],[103.40650407  54.59349593] ; [57.59349593 30.40650407],0
v1,1,0.205379,1.603702,[59 93] ; [27 61],[54.46666667 97.53333333] ; [31.53333333 56.46666667],0
d1,1,0.228198,1.452056,[74 85] ; [48 40],[78.53441296 80.46558704] ; [43.46558704 44.53441296],0
s6,1,0.229017,1.446958,[83 74] ; [39 48],[78.5 78.5] ; [43.5 43.5],0
p8,1,0.23074,1.436293,[ 39 118] ; [16 72],[ 35.24489796 121.75510204] ; [19.75510204 68.24489796],0
p12,1,0.231026,1.434532,[  6 151] ; [ 1 86],[  4.50409836 152.49590164] ; [ 2.49590164 84.50409836],0
v2,1,0.247212,1.338993,[58 96] ; [26 60],[ 53.9 100.1] ; [30.1 55.9],0
s4,1,0.291591,1.112263,[ 27 130] ; [20 68],[ 30.11836735 126.88163265] ; [16.88163265 71.11836735],0
p3,1,0.298598,1.080445,[ 48 110] ; [21 66],[ 44.49795918 113.50204082] ; [24.50204082 62.49795918],0
p1,1,0.320772,0.985796,[ 12 146] ; [10 78],[ 14.1300813 143.8699187] ; [ 7.8699187 80.1300813],0
d2,1,0.326491,0.962765,[66 92] ; [42 45],[69.64897959 88.35102041] ; [38.35102041 48.64897959],0
a3,1,0.365237,0.819804,[100  59] ; [49 37],[96.69795918 62.30204082] ; [52.30204082 33.69795918],0
n1,1,0.403203,0.698753,[16 28] ; [22 27],[17.97849462 26.02150538] ; [20.02150538 28.97849462],0
a4,1,0.499432,0.456142,[65 94] ; [39 47],[67.49387755 91.50612245] ; [36.50612245 49.49387755],0
u4,1,0.545079,0.366208,[  2 157] ; [ 2 86],[  2.57489879 156.42510121] ; [ 1.42510121 86.57489879],0
d4,1,0.614974,0.252996,[122  37] ; [65 23],[120.37651822  38.62348178] ; [66.62348178 21.37651822],0
d3,1,0.659553,0.194067,[93 66] ; [54 34],[94.62753036 64.37246964] ; [52.37246964 35.62753036],0
p5,1,0.662281,0.190764,[  7 151] ; [ 5 83],[  7.70731707 150.29268293] ; [ 4.29268293 83.70731707],0
a7,1,0.763491,0.09054,[106  53] ; [57 31],[104.92712551  54.07287449] ; [58.07287449 29.92712551],0
s8,1,0.780144,0.077915,[ 39 120] ; [23 65],[ 39.91093117 119.08906883] ; [22.08906883 65.91093117],0
s5,1,0.81772,0.05312,[ 33 118] ; [19 63],[ 33.69957082 117.30042918] ; [18.30042918 63.69957082],0
u1,1,0.873999,0.025148,[ 21 138] ; [11 77],[ 20.59919028 138.40080972] ; [11.40080972 76.59919028],0
d5,1,0.884021,0.021279,[117  42] ; [64 24],[116.51417004  42.48582996] ; [64.48582996 23.51417004],0
s3,1,0.905301,0.014153,[69 90] ; [38 48],[69.44081633 89.55918367] ; [37.55918367 48.44081633],0
s2,1,0.978267,0.000742,[57 99] ; [32 56],[56.90163934 99.09836066] ; [32.09836066 55.90163934],0
p6,1,0.979827,0.000639,[ 22 137] ; [12 74],[ 22.06530612 136.93469388] ; [11.93469388 74.06530612],0
