Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,52.930531,[ 6 27] ; [70  9],[22.39285714 10.60714286] ; [53.60714286 25.39285714],1
p11,1,3.1e-05,17.377703,[13 20] ; [63 16],[22.39285714 10.60714286] ; [53.60714286 25.39285714],1
a5,1,0.006576,7.385179,[18 15] ; [63 16],[23.86607143  9.13392857] ; [57.13392857 21.86607143],0
a7,1,0.009842,6.663207,[19 14] ; [64 15],[24.45535714  8.54464286] ; [58.54464286 20.45535714],0
a3,1,0.01042,6.561586,[14 19] ; [54 25],[20.03571429 12.96428571] ; [47.96428571 31.03571429],0
s8,1,0.021378,5.295691,[ 7 26] ; [35 44],[12.375 20.625] ; [29.625 49.375],0
u2,1,0.028456,4.80025,[ 8 11] ; [18  6],[11.48837209  7.51162791] ; [14.51162791  9.48837209],0
b1,1,0.030483,4.681849,[19 14] ; [28 51],[13.84821429 19.15178571] ; [33.15178571 45.84821429],0
v4,1,0.03342,4.524151,[28  5] ; [76  3],[30.64285714  2.35714286] ; [73.35714286  5.64285714],0
r4,1,0.036968,4.351884,[24  9] ; [70  9],[27.69642857  5.30357143] ; [66.30357143 12.69642857],0
r1,1,0.038489,4.283267,[20 13] ; [62 16],[24.37837838  8.62162162] ; [57.62162162 20.37837838],0
r2,1,0.042902,4.099241,[26  7] ; [72  6],[29.13513514  3.86486486] ; [68.86486486  9.13513514],0
d4,1,0.04291,4.098945,[23 10] ; [68 11],[26.8125  6.1875] ; [64.1875 14.8125],0
s7,1,0.076802,3.131312,[ 8 23] ; [34 43],[12.05555556 18.94444444] ; [29.94444444 47.05555556],0
n6,1,0.101074,2.68852,[17 16] ; [53 25],[20.81081081 12.18918919] ; [49.18918919 28.81081081],0
n3,1,0.106312,2.608199,[8 5] ; [18  3],[9.94117647 3.05882353] ; [16.05882353  4.94117647],0
v3,1,0.109101,2.56719,[12 21] ; [16 58],[ 8.63551402 24.36448598] ; [19.36448598 54.63551402],0
p7,1,0.132121,2.2674,[19 14] ; [57 22],[22.39285714 10.60714286] ; [53.60714286 25.39285714],0
d1,1,0.136624,2.215573,[15 18] ; [48 31],[18.5625 14.4375] ; [44.4375 34.5625],0
p6,1,0.168264,1.898346,[10 23] ; [35 44],[13.25892857 19.74107143] ; [31.74107143 47.25892857],0
a8,1,0.181244,1.787394,[ 1 31] ; [ 8 64],[ 2.76923077 29.23076923] ; [ 6.23076923 65.76923077],0
d3,1,0.189829,1.718944,[23 10] ; [64 15],[25.63392857  7.36607143] ; [61.36607143 17.63392857],0
a2,1,0.19534,1.676878,[ 4 29] ; [18 61],[ 6.48214286 26.51785714] ; [15.51785714 63.48214286],0
b2,1,0.19934,1.647206,[ 4 19] ; [15 32],[ 6.24285714 16.75714286] ; [12.75714286 34.24285714],0
b3,1,0.19934,1.647206,[ 4 19] ; [15 32],[ 6.24285714 16.75714286] ; [12.75714286 34.24285714],0
p2,1,0.200127,1.641448,[24  9] ; [65 13],[26.45945946  6.54054054] ; [62.54054054 15.45945946],0
a6,1,0.209037,1.578085,[18 15] ; [53 26],[20.91964286 12.08035714] ; [50.08035714 28.91964286],0
s6,1,0.226508,1.462654,[18 15] ; [52 26],[20.81081081 12.18918919] ; [49.18918919 28.81081081],0
n4,1,0.231597,1.431025,[11 22] ; [36 43],[13.84821429 19.15178571] ; [33.15178571 45.84821429],0
p3,1,0.246511,1.34297,[17 16] ; [50 29],[19.74107143 13.25892857] ; [47.25892857 31.74107143],0
a4,1,0.25522,1.294499,[10 23] ; [33 46],[12.66964286 20.33035714] ; [30.33035714 48.66964286],0
s1,1,0.256711,1.286406,[ 3 30] ; [ 3 76],[ 1.76785714 31.23214286] ; [ 4.23214286 74.76785714],0
b4,1,0.261072,1.263061,[18 15] ; [52 27],[20.625 12.375] ; [49.375 29.625],0
u3,1,0.280859,1.162929,[12  7] ; [18  5],[13.57142857  5.42857143] ; [16.42857143  6.57142857],0
n2,1,0.304979,1.052296,[9 3] ; [12  9],[7.63636364 4.36363636] ; [13.36363636  7.63636364],0
b5,1,0.387611,0.746423,[18 15] ; [50 29],[20.03571429 12.96428571] ; [47.96428571 31.03571429],0
v1,1,0.4624,0.54008,[11 22] ; [31 45],[12.71559633 20.28440367] ; [29.28440367 46.71559633],0
s2,1,0.465167,0.533433,[14 19] ; [39 39],[15.75675676 17.24324324] ; [37.24324324 40.75675676],0
s5,1,0.504095,0.446304,[ 9 24] ; [25 49],[10.48598131 22.51401869] ; [23.51401869 50.48598131],0
p1,1,0.561875,0.336468,[ 3 30] ; [10 67],[ 3.9 29.1] ; [ 9.1 67.9],0
v2,1,0.573136,0.317463,[15 18] ; [38 36],[16.34579439 16.65420561] ; [36.65420561 37.34579439],0
s4,1,0.666127,0.186165,[ 7 26] ; [14 65],[ 6.1875 26.8125] ; [14.8125 64.1875],0
n1,1,0.724159,0.124542,[ 3 10] ; [ 6 15],[3.44117647 9.55882353] ; [ 5.55882353 15.44117647],0
s3,1,0.739168,0.110859,[16 17] ; [40 37],[16.8 16.2] ; [39.2 37.8],0
p8,1,0.741804,0.108547,[16 17] ; [41 38],[16.79464286 16.20535714] ; [40.20535714 38.79464286],0
