Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,9e-06,19.809745,[76 28] ; [ 3 14],[67.90082645 36.09917355] ; [11.09917355  5.90082645],1
p9,1,9e-06,19.733872,[96  9] ; [8 8],[90.24793388 14.75206612] ; [13.75206612  2.24793388],1
p10,1,4.6e-05,16.598992,[95 11] ; [8 8],[89.49180328 16.50819672] ; [13.50819672  2.49180328],1
s1,1,0.002462,9.168392,[  4 100] ; [ 4 13],[ 6.87603306 97.12396694] ; [ 1.12396694 15.87603306],0
p8,1,0.011277,6.421121,[60 46] ; [ 4 13],[55.15447154 50.84552846] ; [8.84552846 8.15447154],0
p11,1,0.023751,5.112699,[84 23] ; [9 8],[80.25 26.75] ; [12.75  4.25],0
p6,1,0.035554,4.418378,[54 52] ; [ 4 13],[49.98373984 56.01626016] ; [8.01626016 8.98373984],0
p1,1,0.044815,4.025601,[12 94] ; [ 5 12],[14.6504065 91.3495935] ; [ 2.3495935 14.6504065],0
b1,1,0.058223,3.587293,[43 64] ; [11  6],[46.59677419 60.40322581] ; [7.40322581 9.59677419],0
v3,1,0.061728,3.490337,[17 88] ; [ 6 11],[19.79508197 85.20491803] ; [ 3.20491803 13.79508197],0
p4,1,0.066926,3.356848,[72 35] ; [7 9],[68.72357724 38.27642276] ; [10.27642276  5.72357724],0
u2,1,0.100379,2.699504,[19 13] ; [1 4],[17.2972973 14.7027027] ; [2.7027027 2.2972973],0
n4,1,0.124844,2.355469,[81 25] ; [10  7],[78.42276423 27.57723577] ; [12.57723577  4.42276423],0
p3,1,0.147227,2.100751,[58 49] ; [ 6 11],[55.22580645 51.77419355] ; [8.77419355 8.22580645],0
v4,1,0.151967,2.052397,[103   4] ; [15  2],[101.82258065   5.17741935] ; [16.17741935  0.82258065],0
d5,1,0.15222,2.049858,[85 21] ; [11  6],[82.73170732 23.26829268] ; [13.26829268  3.73170732],0
s3,1,0.180239,1.795654,[77 29] ; [9 7],[74.72131148 31.27868852] ; [11.27868852  4.72131148],0
d2,1,0.21719,1.522838,[52 55] ; [11  6],[54.36290323 52.63709677] ; [8.63709677 8.36290323],0
r3,1,0.237541,1.395128,[97  9] ; [14  3],[95.65853659 10.34146341] ; [15.34146341  1.65853659],0
d4,1,0.26366,1.249437,[92 14] ; [13  4],[90.48780488 15.51219512] ; [14.51219512  2.48780488],0
d3,1,0.310618,1.028047,[76 31] ; [10  7],[74.20967742 32.79032258] ; [11.79032258  5.20967742],0
r1,1,0.315922,1.005753,[86 20] ; [12  5],[84.45528455 21.54471545] ; [13.54471545  3.45528455],0
d1,1,0.322197,0.980007,[64 43] ; [8 9],[62.12903226 44.87096774] ; [9.87096774 7.12903226],0
s4,1,0.335807,0.926372,[31 74] ; [ 7 10],[32.70491803 72.29508197] ; [ 5.29508197 11.70491803],0
r2,1,0.337092,0.921461,[101   6] ; [15  2],[100.09677419   6.90322581] ; [15.90322581  1.09677419],0
a1,1,0.337092,0.921461,[  6 101] ; [ 2 15],[  6.90322581 100.09677419] ; [ 1.09677419 15.90322581],0
b5,1,0.353958,0.859218,[57 50] ; [ 7 10],[55.22580645 51.77419355] ; [8.77419355 8.22580645],0
a8,1,0.354678,0.856651,[14 86] ; [ 1 16],[12.82051282 87.17948718] ; [ 2.17948718 14.82051282],0
n5,1,0.383262,0.760214,[80 27] ; [11  6],[78.52419355 28.47580645] ; [12.47580645  4.52419355],0
s6,1,0.398166,0.713857,[93 11] ; [14  3],[91.96694215 12.03305785] ; [15.03305785  1.96694215],0
a7,1,0.402233,0.701641,[68 39] ; [9 8],[66.44354839 40.55645161] ; [10.55645161  6.44354839],0
n3,1,0.547045,0.362637,[18  8] ; [4 3],[17.33333333  8.66666667] ; [4.66666667 2.33333333],0
p5,1,0.569492,0.323533,[19 88] ; [ 4 13],[19.84677419 87.15322581] ; [ 3.15322581 13.84677419],0
b2,1,0.587401,0.294421,[27 39] ; [5 5],[27.78947368 38.21052632] ; [4.21052632 5.78947368],0
b3,1,0.587401,0.294421,[27 39] ; [5 5],[27.78947368 38.21052632] ; [4.21052632 5.78947368],0
a5,1,0.590511,0.289547,[75 32] ; [13  4],[75.93548387 31.06451613] ; [12.06451613  4.93548387],0
a2,1,0.600462,0.2743,[25 82] ; [ 3 14],[24.16129032 82.83870968] ; [ 3.83870968 13.16129032],0
p12,1,0.633807,0.226934,[10 96] ; [ 1 16],[ 9.4796748 96.5203252] ; [ 1.5203252 15.4796748],0
r4,1,0.651456,0.204069,[98  9] ; [15  2],[97.50806452  9.49193548] ; [15.49193548  1.50806452],0
u1,1,0.661086,0.192207,[17 90] ; [ 2 15],[16.39516129 90.60483871] ; [ 2.60483871 14.39516129],0
s7,1,0.687379,0.161938,[60 42] ; [8 7],[59.28205128 42.71794872] ; [8.71794872 6.28205128],0
n6,1,0.728829,0.12019,[91 16] ; [15  2],[91.46774194 15.53225806] ; [14.53225806  2.46774194],0
s2,1,0.792561,0.069162,[72 34] ; [11  6],[71.52845528 34.47154472] ; [11.47154472  5.52845528],0
a4,1,0.794021,0.068169,[53 54] ; [9 8],[53.5 53.5] ; [8.5 8.5],0
s8,1,0.821855,0.050697,[53 53] ; [8 9],[52.56910569 53.43089431] ; [8.43089431 8.56910569],0
b4,1,0.822145,0.050529,[66 41] ; [10  7],[65.58064516 41.41935484] ; [10.41935484  6.58064516],0
v1,1,0.907828,0.013405,[51 54] ; [8 9],[50.77868852 54.22131148] ; [8.22131148 8.77868852],0
n1,1,0.934568,0.00674,[14 13] ; [3 3],[13.90909091 13.09090909] ; [3.09090909 2.90909091],0
a6,1,0.945569,0.004661,[62 45] ; [10  7],[62.12903226 44.87096774] ; [9.87096774 7.12903226],0
u3,1,0.978881,0.000701,[19 13] ; [3 2],[19.02702703 12.97297297] ; [2.97297297 2.02702703],0
a3,1,0.988826,0.000196,[75 31] ; [12  5],[74.97560976 31.02439024] ; [12.02439024  4.97560976],0
