Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,8e-06,20.048711,[54  7] ; [22 23],[43.73584906 17.26415094] ; [32.26415094 12.73584906],1
n6,1,6.3e-05,16.022596,[47 13] ; [18 27],[37.14285714 22.85714286] ; [27.85714286 17.14285714],1
s8,1,0.009894,6.65382,[18 42] ; [ 4 40],[12.69230769 47.30769231] ; [ 9.30769231 34.69230769],0
p11,1,0.030649,4.672495,[36 25] ; [17 28],[30.5 30.5] ; [22.5 22.5],0
r2,1,0.048397,3.896141,[59  2] ; [38  6],[56.35238095  4.64761905] ; [40.64761905  3.35238095],0
n1,1,0.048642,3.887649,[13 11] ; [ 3 11],[10.10526316 13.89473684] ; [5.89473684 8.10526316],0
p10,1,0.05207,3.773509,[19 40] ; [ 7 38],[14.75 44.25] ; [11.25 33.75],0
v2,1,0.060298,3.529167,[21 39] ; [24 21],[25.71428571 34.28571429] ; [19.28571429 25.71428571],0
v4,1,0.06975,3.288887,[55  6] ; [34 10],[51.7047619  9.2952381] ; [37.2952381  6.7047619],0
s7,1,0.102236,2.670306,[22 38] ; [ 8 30],[18.36734694 41.63265306] ; [11.63265306 26.36734694],0
d2,1,0.107364,2.592593,[40 20] ; [23 22],[36. 24.] ; [27. 18.],0
a7,1,0.122993,2.378786,[44 17] ; [26 19],[40.28301887 20.71698113] ; [29.71698113 15.28301887],0
a6,1,0.143785,2.136973,[46 15] ; [28 17],[42.58490566 18.41509434] ; [31.41509434 13.58490566],0
d4,1,0.150657,2.065581,[46 15] ; [39  6],[48.91509434 12.08490566] ; [36.08490566  8.91509434],0
r3,1,0.166821,1.91128,[48 13] ; [40  5],[50.64150943 10.35849057] ; [37.35849057  7.64150943],0
n2,1,0.199101,1.648955,[19  8] ; [7 7],[17.12195122  9.87804878] ; [8.87804878 5.12195122],0
a1,1,0.19928,1.647646,[ 7 54] ; [ 2 43],[ 5.17924528 55.82075472] ; [ 3.82075472 41.17924528],0
p3,1,0.268462,1.224589,[17 43] ; [17 27],[19.61538462 40.38461538] ; [14.38461538 29.61538462],0
r4,1,0.26924,1.220617,[49 12] ; [32 13],[46.61320755 14.38679245] ; [34.38679245 10.61320755],0
p1,1,0.313343,1.016534,[ 6 55] ; [ 2 42],[ 4.64761905 56.35238095] ; [ 3.35238095 40.64761905],0
v1,1,0.354686,0.856622,[23 38] ; [21 24],[25.32075472 35.67924528] ; [18.67924528 26.32075472],0
d1,1,0.354686,0.856622,[38 23] ; [24 21],[35.67924528 25.32075472] ; [26.32075472 18.67924528],0
u2,1,0.377822,0.777778,[8 8] ; [4 8],[6.85714286 9.14285714] ; [5.14285714 6.85714286],0
b5,1,0.380799,0.768121,[30 31] ; [26 19],[32.22641509 28.77358491] ; [23.77358491 21.22641509],0
p2,1,0.418067,0.655742,[36 25] ; [23 22],[33.95283019 27.04716981] ; [25.04716981 19.95283019],0
s1,1,0.436337,0.605896,[ 4 55] ; [ 5 40],[ 5.10576923 53.89423077] ; [ 3.89423077 41.10576923],0
p8,1,0.443295,0.587738,[23 37] ; [14 31],[21.14285714 38.85714286] ; [15.85714286 29.14285714],0
u1,1,0.454073,0.560466,[13 48] ; [ 7 38],[11.50943396 49.49056604] ; [ 8.49056604 36.50943396],0
p4,1,0.49564,0.464259,[28 32] ; [18 27],[26.28571429 33.71428571] ; [19.71428571 25.28571429],0
p7,1,0.50305,0.448497,[27 34] ; [17 28],[25.32075472 35.67924528] ; [18.67924528 26.32075472],0
n3,1,0.503083,0.448427,[16 10] ; [6 6],[15.05263158 10.94736842] ; [6.94736842 5.05263158],0
r1,1,0.555739,0.347136,[49 12] ; [34 11],[47.76415094 13.23584906] ; [35.23584906  9.76415094],0
s3,1,0.586613,0.295665,[29 32] ; [19 26],[27.62264151 33.37735849] ; [20.37735849 24.62264151],0
b1,1,0.615566,0.252149,[35 26] ; [28 17],[36.25471698 24.74528302] ; [26.74528302 18.25471698],0
a4,1,0.718713,0.129729,[32 27] ; [26 19],[32.90384615 26.09615385] ; [25.09615385 19.90384615],0
s2,1,0.720014,0.128479,[19 40] ; [16 29],[19.85576923 39.14423077] ; [15.14423077 29.85576923],0
b4,1,0.721605,0.12696,[36 25] ; [25 20],[35.10377358 25.89622642] ; [25.89622642 19.10377358],0
a2,1,0.748208,0.103043,[18 43] ; [12 33],[17.26415094 43.73584906] ; [12.73584906 32.26415094],0
d5,1,0.798055,0.065467,[50 11] ; [36  9],[49.49056604 11.50943396] ; [36.50943396  8.49056604],0
s4,1,0.822432,0.050363,[ 7 52] ; [ 6 39],[ 7.375 51.625] ; [ 5.625 39.375],0
s6,1,0.853666,0.034019,[27 33] ; [19 25],[26.53846154 33.46153846] ; [19.46153846 24.53846154],0
b3,1,0.8576,0.032195,[14 27] ; [ 8 17],[13.66666667 27.33333333] ; [ 8.33333333 16.66666667],0
b2,1,0.8576,0.032195,[14 27] ; [ 8 17],[13.66666667 27.33333333] ; [ 8.33333333 16.66666667],0
u3,1,0.875948,0.02437,[9 8] ; [6 6],[8.79310345 8.20689655] ; [6.20689655 5.79310345],0
p6,1,0.881959,0.022048,[ 9 51] ; [ 6 37],[ 8.73786408 51.26213592] ; [ 6.26213592 36.73786408],0
d3,1,0.952848,0.003496,[41 20] ; [30 15],[40.85849057 20.14150943] ; [30.14150943 14.85849057],0
v3,1,0.98322,0.000442,[19 42] ; [13 29],[18.95145631 42.04854369] ; [13.04854369 28.95145631],0
s5,1,0.988511,0.000207,[12 47] ; [ 9 35],[12.02912621 46.97087379] ; [ 8.97087379 35.02912621],0
a3,1,1.0,0.0,[44 16] ; [33 12],[44. 16.] ; [33. 12.],0
