Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.00371,8.420328,[12 47] ; [13 12],[17.55952381 41.44047619] ; [ 7.44047619 17.55952381],0
b4,1,0.005859,7.59322,[28 31] ; [20  5],[33.71428571 25.28571429] ; [14.28571429 10.71428571],0
u1,1,0.04019,4.209857,[ 2 57] ; [ 4 21],[ 4.21428571 54.78571429] ; [ 1.78571429 23.21428571],0
p1,1,0.042587,4.111729,[ 1 58] ; [ 3 22],[ 2.80952381 56.19047619] ; [ 1.19047619 23.80952381],0
v3,1,0.049082,3.872542,[ 8 51] ; [ 8 17],[11.23809524 47.76190476] ; [ 4.76190476 20.23809524],0
a2,1,0.097942,2.738737,[ 3 56] ; [ 4 21],[ 4.91666667 54.08333333] ; [ 2.08333333 22.91666667],0
d3,1,0.097982,2.738079,[28 30] ; [17  8],[31.44578313 26.55421687] ; [13.55421687 11.44578313],0
d4,1,0.112841,2.513972,[36 23] ; [19  5],[39.09638554 19.90361446] ; [15.90361446  8.09638554],0
p10,1,0.121488,2.398026,[35 22] ; [19  5],[38. 19.] ; [16.  8.],0
a5,1,0.139147,2.187365,[25 34] ; [15 10],[28.0952381 30.9047619] ; [11.9047619 13.0952381],0
p12,1,0.159911,1.975066,[ 1 57] ; [ 2 23],[ 2.09638554 55.90361446] ; [ 0.90361446 24.09638554],0
s4,1,0.170411,1.879322,[15 44] ; [ 3 22],[12.64285714 46.35714286] ; [ 5.35714286 19.64285714],0
p5,1,0.188098,1.732453,[ 4 55] ; [ 4 21],[ 5.61904762 53.38095238] ; [ 2.38095238 22.61904762],0
d5,1,0.21489,1.538175,[34 25] ; [18  7],[36.52380952 22.47619048] ; [15.47619048  9.52380952],0
v4,1,0.218987,1.510994,[47 11] ; [15  7],[44.95 13.05] ; [17.05  4.95],0
v2,1,0.219012,1.510833,[22 37] ; [12 11],[24.46341463 34.53658537] ; [ 9.53658537 13.46341463],0
s2,1,0.258087,1.278991,[26 33] ; [ 7 16],[23.74390244 35.25609756] ; [ 9.25609756 13.74390244],0
n6,1,0.282613,1.154482,[39 20] ; [18  5],[41.01219512 17.98780488] ; [15.98780488  7.01219512],0
d1,1,0.315518,1.007434,[17 42] ; [10 15],[18.96428571 40.03571429] ; [ 8.03571429 16.96428571],0
v1,1,0.324756,0.969697,[20 35] ; [12 13],[22. 33.] ; [10. 15.],0
a3,1,0.326737,0.961788,[28 30] ; [15 10],[30.04819277 27.95180723] ; [12.95180723 12.04819277],0
s5,1,0.349886,0.873869,[11 45] ; [ 7 17],[12.6 43.4] ; [ 5.4 18.6],0
r2,1,0.355124,0.855064,[32 22] ; [11 12],[30.15584416 23.84415584] ; [12.84415584 10.15584416],0
b1,1,0.390776,0.736527,[32 27] ; [11 14],[30.20238095 28.79761905] ; [12.79761905 12.20238095],0
n3,1,0.396377,0.719289,[15  7] ; [7 6],[13.82857143  8.17142857] ; [8.17142857 4.82857143],0
p8,1,0.508325,0.437513,[23 35] ; [ 8 17],[21.6626506 36.3373494] ; [ 9.3373494 15.6626506],0
s7,1,0.508724,0.43669,[22 34] ; [10 11],[23.27272727 32.72727273] ; [ 8.72727273 12.27272727],0
p11,1,0.514787,0.424324,[42 17] ; [16  9],[40.73809524 18.26190476] ; [17.26190476  7.73809524],0
s1,1,0.526356,0.401422,[ 1 58] ; [ 1 24],[ 1.4047619 57.5952381] ; [ 0.5952381 24.4047619],0
p3,1,0.544246,0.367726,[23 36] ; [ 8 17],[21.77380952 37.22619048] ; [ 9.22619048 15.77380952],0
b3,1,0.602348,0.271469,[ 8 25] ; [ 5 11],[ 8.75510204 24.24489796] ; [ 4.24489796 11.75510204],0
b2,1,0.602348,0.271469,[ 8 25] ; [ 5 11],[ 8.75510204 24.24489796] ; [ 4.24489796 11.75510204],0
r3,1,0.649536,0.206486,[40 18] ; [14  8],[39.15 18.85] ; [14.85  7.15],0
s3,1,0.650566,0.205187,[27 31] ; [ 9 13],[26.1 31.9] ; [ 9.9 12.1],0
p7,1,0.699298,0.149203,[30 27] ; [12 13],[29.19512195 27.80487805] ; [12.80487805 12.19512195],0
d2,1,0.726134,0.122691,[15 44] ; [ 7 17],[15.63855422 43.36144578] ; [ 6.36144578 17.63855422],0
p9,1,0.726134,0.122691,[44 15] ; [17  7],[43.36144578 15.63855422] ; [17.63855422  6.36144578],0
n4,1,0.73051,0.118644,[33 26] ; [15 10],[33.71428571 25.28571429] ; [14.28571429 10.71428571],0
n2,1,0.736183,0.11351,[14  8] ; [9 4],[14.45714286  7.54285714] ; [8.54285714 4.45714286],0
u2,1,0.769943,0.085526,[15 15] ; [5 4],[15.38461538 14.61538462] ; [4.61538462 4.38461538],0
